filename,nb pub,nb pubs in journals,nb clean pubs in j,% clean pubJ / pubJ,% clean pubJ / pub,nb_articles in journals,nb clean articles in j,% clean artJ / artJ,% clean artJ / pub
AGRI.csv,232343,219940,219176,99.65%,94.33%,197348,196587,99.61%,84.61%
ARTS.csv,119694,92971,92938,99.96%,77.65%,69327,69301,99.96%,57.90%
BIOC.csv,498880,482637,481543,99.77%,96.52%,412131,411078,99.74%,82.40%
BUSI.csv,57386,41479,41235,99.41%,71.86%,36510,36266,99.33%,63.20%
CENG.csv,135108,122393,122379,99.99%,90.58%,111327,111314,99.99%,82.39%
COMP.csv,348972,125107,124978,99.90%,35.81%,111374,111258,99.90%,31.88%
DECI.csv,39288,27409,27409,100.00%,69.76%,25464,25464,100.00%,64.81%
DENT.csv,7603,7146,7119,99.62%,93.63%,5876,5849,99.54%,76.93%
EART.csv,217455,182062,176174,96.77%,81.02%,169666,163779,96.53%,75.32%
ECON.csv,58136,46690,46688,100.00%,80.31%,41258,41257,100.00%,70.97%
ENER.csv,75478,53180,53078,99.81%,70.32%,47533,47445,99.81%,62.86%
ENGI.csv,517193,288533,286032,99.13%,55.30%,260992,258547,99.06%,49.99%
ENVI.csv,154090,137390,132590,96.51%,86.05%,121758,116959,96.06%,75.90%
HEAL.csv,35568,32906,32891,99.95%,92.47%,25425,25410,99.94%,71.44%
IMMU.csv,133141,130612,130549,99.95%,98.05%,107954,107925,99.97%,81.06%
MATE.csv,358813,289084,288965,99.96%,80.53%,265858,265745,99.96%,74.06%
MATH.csv,295291,189242,189146,99.95%,64.05%,178493,178431,99.97%,60.43%
MEDI.csv,1057143,1028703,1005738,97.77%,95.14%,759662,737277,97.05%,69.74%
MULT.csv,53388,50011,50001,99.98%,93.66%,45492,45482,99.98%,85.19%
NEUR.csv,102304,96738,96310,99.56%,94.14%,80519,80115,99.50%,78.31%
NURS.csv,51225,50710,50635,99.85%,98.85%,34855,34780,99.78%,67.90%
PHAR.csv,107369,105472,105376,99.91%,98.14%,87122,87052,99.92%,81.08%
PHYS.csv,592310,490591,490534,99.99%,82.82%,452544,452490,99.99%,76.39%
PSYC.csv,65054,62453,61793,98.94%,94.99%,51945,51286,98.73%,78.84%
SOCI.csv,182328,141763,141065,99.51%,77.37%,116433,115740,99.40%,63.48%
VETE.csv,23473,23126,23050,99.67%,98.20%,19509,19435,99.62%,82.80%
Overall,5519033,4518348,4477392,99.09%,81.13%,3836375,3796272,98.95%,68.79%
