ISSN,Nombre de publications
00034487,4264
00137006,3887
00014966,2293
00143855,1317
02773791,1029
03054403,639
00352624,621
00035033,546
2352409X,545
11612770,542
00142115,542
16101928,499
02941759,492
17642507,490
00035521,489
02497638,487
03355985,485
01674544,485
00165522,484
00272671,474
09842292,455
00080055,451
00488593,450
00351776,435
00706760,418
00351326,406
01814095,403
02779536,402
04394216,400
02229838,388
00488003,387
00238368,383
00137545,377
0458726X,368
00378984,368
05567807,367
00124273,360
0071190X,353
00474800,351
03977870,350
00034436,342
00310387,337
03990826,335
00039942,331
00015342,329
00100277,328
0014195X,326
00039632,319
00352209,312
00352411,300
00314773,297
00016918,293
09596836,287
09971327,284
00335894,280
17605393,276
12651354,271
01676393,270
02782626,267
00405833,264
07557256,263
02205610,257
0003598X,256
03952649,253
00043702,251
00341258,251
12729752,249
00351571,248
19606052,245
16280482,244
00397857,240
11476753,236
12962074,232
00351423,227
0003813X,221
09672567,220
07653697,219
00224812,218
09821783,217
18669557,211
02233711,209
00802557,207
17409292,203
22575405,202
00079731,199
16310438,197
02678179,197
00377686,193
17623162,190
00351466,190
00353833,189
0955792X,189
00074640,188
00033901,187
00353264,186
04848942,185
03400727,184
00338222,184
0093934X,183
00353841,179
00142239,176
00272841,176
00352004,175
12667706,175
1254728X,174
00379069,173
00351849,171
00142166,170
0075966X,170
02216280,169
00961523,168
13307274,167
1622468X,167
08997667,165
14992027,164
09592695,160
09396314,159
0021762X,158
05705398,158
16375823,157
07690886,156
00122173,154
0300953X,151
12507334,147
1047482X,146
01811525,146
00260452,145
01679236,144
02235102,144
00371998,143
00142182,142
00350737,141
1554351X,141
00140759,140
12912530,138
10699384,138
12526576,138
00351652,136
12660078,136
00140767,135
03782166,135
19601360,134
00079871,132
00207594,130
00074217,129
07716524,127
07508069,126
0090502X,125
00393630,125
00826049,125
03921921,124
03430758,123
07475632,123
00478105,123
00350907,122
12489433,121
00354295,119
00243841,118
09523367,116
07525656,116
17777852,116
01916599,116
00498661,114
00238856,111
0076230X,110
11663081,110
0269994X,107
00187267,104
13861204,104
00182702,103
05715865,103
00322024,103
09057196,102
03009483,101
19433921,100
09640282,99
03150860,99
02787393,97
00802654,97
00488143,96
03436993,94
01726404,94
17686520,94
09571558,93
00845388,93
09912894,91
00353280,89
00074322,89
00130567,89
22669035,88
09658211,88
0749596X,88
00293970,87
04848616,87
07341512,87
00241415,86
00239054,85
13554794,85
00954470,85
00039519,84
14355558,84
03038300,83
08836353,83
02643294,82
24945757,82
00309230,82
02784165,82
03175065,80
0969725X,80
1369183X,80
12700835,79
00448613,78
10924388,78
03919714,78
09116044,78
02691191,78
03050009,77
07525702,77
00243949,76
17689260,76
15825647,75
00122017,74
01489267,74
00424935,73
15494950,73
02260174,73
09528059,72
0361073X,72
03080188,72
10572414,72
00352381,71
03007839,71
00379050,70
09335846,70
23273798,69
00393215,69
02757206,69
02489430,69
14808986,68
13506285,68
0024094X,68
09273131,68
09262644,68
03066800,67
00442526,67
16183169,66
00392936,66
03244652,66
00097497,65
15400085,65
18799817,65
11227893,65
00113204,65
1574020X,65
00096067,64
01652516,64
01677411,64
24964646,64
1081602X,63
00358118,63
13546783,63
0014200X,63
1357650X,62
13698486,62
09639489,61
13500775,61
00351601,61
0144929X,61
01533320,61
00235962,61
01548344,60
02699931,60
09602011,60
10725369,60
00204536,60
10427716,59
17744466,58
0003990X,58
0307661X,58
14614103,57
02698897,57
0730479X,57
1262022X,57
00935301,57
0342734X,57
00040002,56
03736237,56
09515666,56
09258531,56
03016307,56
07307829,56
03025160,55
09574239,55
04587251,55
13507486,55
07716494,54
09298215,54
09560599,54
00906905,54
02699206,54
0096140X,54
01654004,54
08884080,54
00238309,54
00352047,54
02681064,53
00393681,53
19516088,53
03736032,53
10217762,53
00486493,53
15555542,53
21135207,53
01539337,53
01427237,53
17449855,53
03063127,53
11228792,52
10905138,52
00353906,52
03880001,52
13557718,52
12331821,51
0920427X,51
22482547,51
18797865,51
00318388,51
07665075,50
00224995,50
00040088,50
14715880,50
01650157,49
02681145,49
01690965,49
10752196,49
00305472,49
00392944,49
18754791,48
17663059,48
00076791,48
15720373,48
00077704,48
0304422X,47
09638180,47
12468185,47
03534510,47
13558250,46
01847678,46
0034429X,46
00352039,46
00181005,46
00350818,46
05639751,45
14661381,45
0123885X,45
01622439,44
00035459,44
07745141,44
00088994,44
09642633,44
15687759,44
00159409,44
01372475,44
00934690,44
16994949,44
20315937,43
0167806X,43
00169161,43
