ISSN,Nombre de publications
00404039,9146
00219258,8634
07670974,6376
00074551,5783
00027863,5161
00145793,4901
03051048,4604
00404020,4365
0006291X,4229
00142956,4108
03009084,3797
00064971,3783
00062960,3326
00033898,3270
0022328X,3131
16616596,3101
00219673,2849
00068993,2825
00207136,2810
00222836,2582
09598049,2498
00034266,2460
02614189,2198
00219193,2175
00379026,2152
00085472,2069
0021972X,2036
00992240,2035
02943506,1984
02646021,1957
07644469,1948
09509232,1911
0264410X,1804
02484900,1792
00319422,1772
08876924,1768
00070920,1743
00223042,1686
0950382X,1672
00222623,1671
02496313,1669
09281258,1665
00224936,1661
14248220,1637
15237060,1628
00137227,1626
00320889,1622
0732183X,1622
00034967,1548
00062952,1533
0028646X,1507
00268976,1494
00219533,1452
09646906,1432
00086215,1422
09501991,1386
09621083,1333
00063495,1316
00220957,1306
00144827,1295
0960894X,1271
0008543X,1263
12623636,1255
00052736,1253
09609822,1247
00032670,1229
03781119,1195
02707306,1183
03406717,1177
00029297,1175
09628452,1156
0302766X,1149
00223751,1145
00222313,1138
03781097,1137
02636352,1131
12467820,1117
03767388,1115
00144754,1113
13674803,1113
00219525,1112
13813455,1104
0022202X,1102
09232532,1101
14770520,1092
10614036,1074
09607412,1072
00217948,1071
00405752,1058
15537366,1057
00121606,1049
15537390,1041
03603016,1033
00928674,1032
00166480,1028
00218898,1014
00488062,1012
10184813,1011
08926638,1007
00220302,997
16182642,993
00223565,988
12928941,972
00032697,967
00243205,947
00221139,945
00098981,936
00052728,934
00316768,932
12401307,932
02507005,922
00268925,916
03037207,915
12588210,903
09232508,899
16310691,873
10597794,870
01757598,864
09680896,861
00225193,861
10428194,855
03044165,840
1553734X,826
07374038,811
03704475,810
00319317,794
01633864,786
00223077,778
00222593,772
00320935,769
15524825,763
00278874,749
00220949,739
01689452,735
01429612,733
01811916,732
1420682X,730
08044643,728
03381684,728
14346621,725
10426507,706
00318655,703
17599954,687
01418130,683
08887543,681
10780432,672
87507587,671
01615890,661
0026895X,652
0018067X,648
01674412,648
00063525,647
10788956,644
01730835,644
00033995,632
00218812,631
00095893,628
00099147,620
09628436,617
15671348,615
01433334,615
00166731,605
0018019X,604
00219290,600
00219541,596
00099163,596
1742464X,595
01661280,594
10557903,588
87563282,588
1469221X,587
10591524,577
09277765,577
10972765,575
08915849,572
00220795,572
13645072,571
01407791,571
00217689,570
00224731,566
15700232,562
01632116,560
00225142,559
00283835,558
15449173,554
01969781,553
00143820,552
0301472X,552
00039861,551
01674889,547
09074449,547
09819428,545
19590318,543
07317085,536
13509047,534
01695002,530
00221910,530
00222275,529
01082701,526
01418955,525
08873585,525
01455680,524
03005127,523
03043835,519
00032654,514
10907807,510
00097330,509
01452126,506
03445704,505
14394227,504
00086363,502
00942405,499
15384101,498
09265287,498
0148639X,498
00244201,498
16159853,497
01676806,496
0999193X,494
03624803,493
08940282,488
00011541,488
00063592,487
03636135,472
01674838,470
12950661,468
00139351,464
09565663,463
07248741,461
01415492,460
03050491,456
12979562,455
00937711,455
09600760,453
13594184,449
01425463,449
01761617,449
17697212,446
16136810,446
00012815,442
00052760,441
1940087X,441
00320862,439
23146133,439
01728083,439
01974580,438
10431802,436
15345807,435
03015548,435
09692126,433
00185043,430
03051978,429
01654608,429
00913057,427
00222828,426
03015629,417
0167594X,417
09538194,413
12959359,411
14657392,410
00142972,408
00320943,408
01719335,398
00142336,397
00084166,396
09456317,394
10478477,392
00222844,386
00260495,386
01677012,384
0140525X,381
02146282,380
09388990,379
01970186,379
08888809,377
07415400,377
09923039,376
1755098X,374
10889051,373
10643745,373
0039128X,372
0030493X,369
09396411,368
09618368,368
01666851,367
03000664,367
01653806,367
0829318X,365
13558382,363
03043886,361
00029513,359
10430342,359
0171967X,358
00337587,356
09697128,356
15353893,351
07328311,350
20592302,349
07420528,349
01681656,349
09066705,348
01757571,348
02659247,344
15250016,343
01620134,343
01681702,343
03009629,341
09575243,341
17427061,341
03010171,339
14628902,337
10404651,333
03636143,333
00093084,331
00980331,331
00275107,329
00015342,329
03008177,327
11485493,326
10967192,325
10452257,325
14730197,325
10588388,324
09254773,324
07391102,323
14796694,322
0749503X,320
16632818,320
15548627,319
01410229,319
02689146,318
00320781,317
03407004,317
10196439,314
09666362,314
00320994,312
01668595,312
09594973,311
07302312,309
19597568,309
02220776,308
17425689,307
14726483,306
22726977,305
14747596,305
15699048,305
09598278,304
09567135,304
03028933,304
13572725,303
00224251,302
00282766,302
10408746,300
0145305X,299
09254439,299
0730725X,298
00166707,297
21050678,294
00015598,294
03636119,293
09702067,290
10870156,289
18743919,289
00222631,288
15459993,287
11201797,286
08909369,285
10434666,283
18607179,282
01931849,282
13501925,281
00099120,280
03440338,279
09574530,278
00221198,277
03056651,276
10111344,275
08986568,275
10956433,274
16617800,274
13860291,273
03643190,273
01689525,272
01674781,272
07335210,272
03014681,271
10440305,271
1040452X,268
01931857,268
05315565,266
0033183X,264
09680004,264
09252738,264
18777821,261
15359476,260
03914097,260
00084212,258
03014622,258
13595113,258
09298673,257
15487091,257
10447431,256
14387697,255
09394451,254
00345687,251
09311890,251
10849521,251
17574676,251
00063363,249
03987604,248
00236837,247
10715762,247
08853177,247
09523480,246
0169328X,246
13881981,246
15228517,245
01670115,244
03010163,243
00095915,241
03785122,240
0379864X,240
03064530,239
03678377,239
15504131,239
09311785,238
00032719,237
00255564,236
14248581,233
10462023,232
0006355X,231
01679457,231
10465928,231
26508427,231
07422091,231
15357163,230
07423071,230
07328303,230
03630269,228
1931857X,228
01434004,227
05388066,227
09651748,226
09550674,226
15940667,226
16134125,225
09596658,225
14786419,224
01087681,223
01964763,223
15709639,221
00029122,221
01434179,221
01434160,219
13835718,219
14718278,217
10507256,217
13688375,216
16121872,216
00218782,216
03014851,215
03784320,215
02682575,214
01799541,214
13989219,214
17524563,213
1774640X,213
00302414,213
15675394,213
01483919,212
00906980,212
0959440X,212
10400605,212
07366205,211
0304324X,210
00039969,210
09525041,209
02820080,208
15230864,207
03032647,204
09552863,204
10837159,204
14655411,204
15821838,203
09498257,203
16142942,202
00476374,202
00225320,201
10441549,201
02680033,200
23742437,198
03401200,198
08312796,197
13510088,196
17470218,196
00959782,196
09698051,195
15438384,195
15257770,194
00928240,194
14701626,193
13504533,193
10665099,192
09628924,192
03003256,192
19307381,192
10635157,190
10871845,190
00036072,189
09523278,189
20461402,189
00408166,189
00498254,189
1021335X,188
13815148,187
1099498X,187
01340719,187
21522650,186
00452068,186
14646722,184
09406360,183
00166723,182
01715216,182
00020729,180
00316865,180
15687864,180
09684328,179
01634984,179
14732262,178
02732289,177
01688227,177
0959437X,177
03407594,176
15356108,176
03051870,175
10451056,175
16625099,175
10580468,175
09242244,174
13811177,174
15476286,174
15548929,172
14647931,172
01741578,172
09201742,170
