ISSN,Nombre de publications
03384551,1084
09596526,992
00207543,818
01482963,782
00380296,732
00401625,552
11612770,542
12674982,507
09255273,490
01674544,485
02494744,406
00411868,398
0337307X,388
07596340,380
01672681,355
00487333,318
11674687,307
00251909,295
10108831,285
02632373,283
12864892,280
01543229,274
02244365,252
00198501,250
09696989,243
14761297,236
02755319,218
01432095,216
03785920,197
09537287,192
01708406,192
01677187,186
12408095,185
09507051,179
12460125,179
0921898X,178
08927626,176
09590552,170
09585192,161
21107017,159
09601627,151
10477039,148
01605682,148
00954918,146
01679236,144
09696016,143
09275371,141
16194500,141
16258312,140
09369937,138
22697195,136
09291261,135
09644733,135
00163287,132
00251747,132
02756668,127
0267257X,126
02675730,125
12622788,123
13665545,123
01664972,121
10769307,120
07426046,118
17404754,117
15266125,116
10438599,115
03090566,115
03050483,112
00189391,111
14709511,107
01692070,106
00187267,104
09695931,104
01678116,104
00178012,103
09291199,102
13505084,102
09534814,100
0304405X,98
00472506,97
13673270,97
09255001,97
10591478,95
13552554,92
08939454,92
00222380,89
00213624,88
02637863,88
00014273,88
08955646,87
07673701,87
01437720,86
10586407,86
10453172,86
08858624,85
00130613,84
02621711,84
17793572,83
07730543,81
09638180,80
15241904,80
00246301,80
01436570,80
00472778,80
02776693,79
02684012,79
03787206,78
09658564,77
00336807,77
14708272,77
13547798,76
10452354,76
15353958,75
08985626,74
1546542X,74
13669877,74
19322054,73
00222879,73
10185895,73
00018791,72
12946303,72
09230645,71
00205346,71
07363761,70
08929912,69
09262644,68
14808986,68
02642751,68
01443577,68
09513574,67
09275940,67
14779056,67
0034379X,66
00219886,66
08250383,65
02784319,65
00221090,65
13662716,65
10610421,65
10647570,65
15660141,64
10964762,64
87550024,64
17435110,64
10253866,63
12604984,63
15691721,63
02191989,63
09631690,63
01436228,61
0955534X,61
02586770,60
09571787,59
10909516,58
14636689,58
13853457,58
10564926,57
00221821,57
0895562X,57
00935301,57
00076503,57
05150361,57
00483486,56
08876045,56
09537325,55
02651335,55
00920703,54
15329194,54
10422587,54
14637154,54
09318658,54
09686673,53
18624472,53
14720701,53
08839026,53
14778238,53
09696997,53
0965254X,53
14626004,53
17516757,53
0960085X,52
10579214,52
13683500,52
13639196,52
09570411,52
0889938X,51
07495978,50
17511062,50
13522752,50
00221082,50
00208825,50
09660879,50
15234614,50
14705931,50
14706423,49
09675426,49
02642069,49
10627375,49
00952583,49
14601060,48
1554964X,48
13533452,48
09574093,48
00076791,48
01492063,48
03613682,48
15547191,47
12507970,47
1350231X,46
15723097,46
00207780,46
13548166,45
10834346,45
07376782,45
10468781,45
01672533,45
14707853,45
01492136,44
09596119,44
14757702,44
09606491,44
01425455,43
01471767,43
03074358,43
87569728,43
10577408,42
1368275X,42
01607383,42
14646668,42
08943796,42
0306686X,42
00904848,42
08853134,42
19348835,42
00081256,41
02580543,41
18632386,41
02650487,41
10596011,40
00076813,40
09264957,40
0160791X,40
02683962,39
0924865X,39
26946416,39
13511610,39
01976729,39
18747655,39
10860266,39
00218499,39
09600035,39
16607112,38
00989258,38
13620436,38
03637425,38
17468809,38
10242589,37
17449480,37
00224367,37
00071080,37
20408021,37
17662524,37
13527266,36
14784092,36
14761270,36
11092858,36
10754253,36
13505076,36
02761467,35
09556222,35
13675567,35
1860711X,35
17575818,35
09578765,35
09711554,35
09596801,35
02615177,35
09565221,35
09727272,35
14709589,34
09500170,34
10946705,34
09593969,34
02635577,34
24970107,34
13602381,33
1741038X,33
18636683,33
0143831X,33
00380121,32
0007070X,32
02683946,32
02174561,32
13682148,32
02662426,32
02707314,32
22105395,31
10835601,31
1537260X,31
17533627,31
16378962,30
21939438,30
02767783,30
10548408,30
14635771,30
17277051,30
07322399,30
17427967,30
13598546,30
17279232,30
00472875,30
03085961,30
09208550,29
09638687,29
09669582,29
10445005,28
14705958,28
1619697X,28
12303666,28
19314361,28
09628770,28
11217081,28
10534822,27
08276331,27
23173963,27
1471678X,27
02652323,27
09545395,27
14608545,27
10323732,27
00224359,27
00475394,26
17422043,26
17410398,26
01678000,26
08955638,26
20414161,25
00222429,25
08843848,25
09504222,25
09388249,25
09648410,25
03912078,24
10949968,24
00198676,24
0015198X,24
21680256,24
14691930,24
07981015,24
00902616,24
17465680,24
1525383X,24
15230406,24
15707385,24
13527258,23
10478310,23
17542731,23
0023656X,23
03090590,23
10632921,23
07421222,23
01937197,23
01900692,23
14657503,23
1359432X,23
09234748,23
10468188,23
14759551,22
10944281,22
03925048,22
10927026,22
19324391,22
20869614,22
02726963,22
00222437,22
00347590,22
09636048,22
14766930,21
16184742,21
13806653,21
1741847X,21
13552511,21
00922102,21
0734306X,21
00207063,21
10489843,21
15475816,21
01686291,21
17554217,21
16843703,20
22130780,20
20349130,20
19478186,20
18714757,20
09521895,20
17427150,20
17538378,20
87566222,20
13094297,20
18778585,20
00223980,20
23781815,20
0265671X,20
00197939,20
15589080,20
01435671,20
08943257,19
14668297,19
09631798,19
02692333,19
10196781,19
10477047,19
14747472,19
16102932,19
01475479,19
17449359,19
07303564,18
14502194,18
01497189,18
02673649,18
1755425X,18
14775085,18
1618954X,18
08239150,18
09647775,18
10245294,18
22119736,18
0022166X,18
17408776,18
09696474,18
14616688,18
08944865,18
21552851,17
10444068,17
14672227,17
18167403,17
20932685,17
02508281,17
02784254,17
0954478X,17
17511348,17
14717727,17
20436238,17
10680896,17
02702592,17
10725245,17
00333352,17
10992340,17
15592448,17
14758962,17
19416520,17
14724782,17
17403812,17
1052150X,17
23302674,17
