ISSN,Nombre de publications
00027863,5186
09476539,3819
13597345,3539
16616596,3139
14337851,3110
00134686,3077
10706631,2374
00219797,2353
08974756,2239
11440546,1884
00397881,1649
00092509,1495
00219517,1492
00220728,1434
00179310,1418
09277757,1406
16310748,1383
09205861,1368
15306984,1121
03767388,1116
0926860X,1109
09574484,1096
08885885,1069
13858947,1054
09574166,1050
0010938X,1010
02997258,982
00102180,910
09263373,906
00325910,883
00162361,860
10106030,778
12944475,773
10255842,763
15726657,761
00119164,753
02728842,742
01429612,733
09608524,731
15257797,730
03783812,728
07555016,710
07234864,705
00334545,697
17599954,689
16154150,648
0021891X,640
08870624,624
13811169,623
0018019X,604
09277765,579
13835866,564
00219568,558
18673880,550
01693913,512
05700833,506
0268005X,503
15407489,494
13642812,494
02638762,489
00011541,488
00063592,487
01415492,460
1011372X,457
0303402X,457
01425463,451
00102202,447
1940087X,442
10431802,437
00218502,421
00084034,414
02552701,409
03770257,405
03019322,389
10498923,373
20444753,361
13504177,350
01681656,350
00981354,348
01437208,343
07373937,343
03009440,343
18645631,342
15499596,339
14730197,328
08968446,323
15334880,323
0749503X,321
01410229,319
0003021X,316
0142727X,316
00084042,311
10225528,309
17425689,309
01437496,305
03684466,302
01697439,296
08941777,295
10870156,289
01496395,284
09574530,278
13866184,271
13595113,260
15667367,257
08990042,254
0094114X,252
13880764,252
02724324,240
09307516,234
00018686,227
01331736,224
09477047,223
03645916,217
16121872,217
0160564X,216
17483387,214
02682575,214
09504230,209
22839216,199
16102940,194
17554330,192
00353159,188
13590294,188
16159306,187
07351933,187
13815148,187
14387492,187
07213115,185
00405175,184
09477411,184
01464760,183
03783820,182
00820784,182
08927022,181
14732262,180
02732289,179
03913988,179
10451056,175
07366299,175
13811177,174
21662746,168
01677799,161
10990062,160
1369703X,160
13594311,156
09575820,143
09295607,138
09354964,138
1062936X,134
21555435,130
10582916,126
19355130,124
01695983,124
02652048,124
14757435,123
07349750,122
00986445,118
01457632,116
16165187,115
08878722,114
17599660,113
0930777X,112
09603085,112
18785352,111
09356304,109
00109312,109
17435889,108
09581669,107
09209069,106
22147144,100
24688231,100
13647830,99
09205063,99
11769114,99
25225758,98
15499634,98
09218831,96
09491775,94
1788618X,92
09481907,87
10445110,86
08998221,85
03928764,83
00354511,83
0399077x,81
03612317,80
00225215,80
17517907,79
13852000,77
16157591,76
03666352,75
10242422,74
03346447,73
09640568,73
18785190,72
18761070,72
08854513,72
0268005x,72
0006291x,71
00978485,71
15278999,71
18716784,71
10967176,70
1023666X,70
00212180,70
15733149,69
1478422X,69
0009286X,66
19373341,66
22129820,66
19321058,65
20516347,64
10736085,64
20428898,63
19708734,63
19749821,62
03681874,62
23747943,62
15280837,61
1862832X,60
10973958,60
2214157X,59
02726351,58
07173644,56
17410126,53
01458892,53
09287329,53
01458876,53
24522236,51
24519308,51
09284931,51
21934126,51
1226086X,49
21945748,49
19447442,48
13675435,48
01480545,47
21964378,47
00231584,45
03237648,45
00201685,44
15361241,43
17585082,43
01722190,43
0340255X,43
02773813,43
12299197,42
09239820,42
17486041,42
08839115,41
13309862,41
02636174,40
01614940,40
03601285,39
2062249X,39
11766336,39
19373384,38
16180240,38
01425919,38
13890344,38
0219581X,37
10739149,36
0940483X,36
02561115,35
10916466,35
13891723,35
87559129,34
21911630,34
19402503,34
09298266,34
15571858,34
2287528X,34
0015038X,34
1582540X,34
14658011,34
16742001,33
15470091,33
1932104X,32
02884534,32
0904213X,31
10668527,31
00322725,31
01046632,31
02368722,31
10835601,31
1064122X,31
01964321,31
09655441,30
13811991,30
11762322,29
00914037,29
17480132,29
16187229,28
1385772X,28
08625468,28
10049541,28
1364727X,27
17509548,27
10703284,26
21919542,26
08266220,26
15623920,26
15422119,26
19373368,25
10579257,25
15507033,25
16726529,25
18788181,24
13895567,24
19485085,24
10840184,23
01937197,23
21907188,22
13147471,22
01964305,22
09636048,22
10820132,22
22133291,22
10642285,22
07306679,22
02567679,21
19322135,21
00019704,21
15985032,20
17497728,20
03529568,20
10613862,19
10261265,19
00105082,19
14399598,18
20937911,18
02656582,18
19395116,18
10655131,18
1509409X,18
22201319,18
00372366,18
15734137,17
0042790X,17
13458957,17
00375225,17
10219986,17
00905054,17
0923179X,17
03602559,17
11235063,17
20058624,16
10683739,16
00329592,16
15723887,16
20958099,16
01041428,16
01384988,16
21919089,15
1687806X,15
0174173x,15
00219592,15
00151882,15
09323414,15
10704272,15
12268372,15
18725325,15
00059021,15
01678299,14
03270793,14
14723581,14
02648725,14
00405795,14
10495398,14
14220067,13
14764865,13
00480134,13
03346005,13
02539837,13
10162372,13
20908865,13
20506252,12
22897879,12
14519372,12
0039095X,12
08859248,12
21579083,12
18722067,12
26884534,12
10543414,12
09667822,12
16652738,12
01330276,12
10893156,12
10971963,12
21655979,11
16625986,11
18575552,11
04381157,11
08957533,11
10408436,10
00029726,10
00219487,9
20101325,9
00035599,9
13637681,9
11204826,9
01621432,9
00154628,9
10007555,9
0269915x,9
17458080,9
13408054,9
14786451,9
23225521,9
03245853,8
09710426,8
1061933X,8
00330655,8
01462520,8
15511286,8
24519294,8
22969837,8
01440322,8
20950179,8
17568250,8
03795462,8
0020708x,8
13350617,8
10407685,8
23744731,8
00092479,8
09741496,8
07366574,8
20901968,8
19737459,7
1935472X,7
03615219,7
13000160,7
21919151,7
26729156,7
09542299,7
19491018,7
0971457X,7
07341415,7
09574522,6
00332496,6
19342659,6
18722083,6
14752859,6
09720626,6
10039953,6
13417215,6
14639246,6
21905444,6
23656379,6
07246145,6
09744290,6
16431049,6
00092347,6
11207183,6
25715135,5
29499097,5
19764251,5
26618869,5
25094238,5
15566560,5
22237038,5
23144904,5
21660468,5
21535493,5
3346447,5
13117629,5
0011748X,5
16879325,5
19276311,5
