ISSN,Nombre de publications
16616596,3086
03043975,2406
00219991,1672
03772217,1455
14248220,1416
00189286,1292
00457825,1181
13674803,1111
1053587X,1071
01651684,955
00189448,947
10847529,886
1553734X,825
09270256,821
12696935,807
10255842,761
00457930,733
15710661,706
02683768,696
15499618,680
00104655,665
09240136,653
08883270,628
03784754,613
0277786X,607
01678655,603
01677055,599
00207179,580
10577149,577
0992499X,575
02665611,566
00313203,558
02712091,534
09670661,528
00200190,523
01676911,516
13891286,508
03050548,496
09252312,485
13807501,454
01628828,450
09574174,428
08905401,422
08981221,418
02780062,415
09253467,414
00255610,398
09249907,398
10709908,396
15361276,392
03321649,388
00457949,385
0167739X,384
01636804,377
03608352,375
13618415,370
15324435,370
01663615,365
01403664,356
09521976,354
01692968,354
01784617,353
10772626,351
00981354,346
01400118,343
01679473,341
01650114,341
00189340,336
15499596,334
00200255,331
09641726,329
00207721,325
07300301,324
07338716,324
01692607,321
09205691,316
13648152,313
15320626,312
17593433,309
10773142,309
0266352X,297
01676423,295
01697439,294
15249050,288
00973165,287
01787675,285
10897798,282
09218890,282
00958956,280
08857474,277
09601295,273
00104825,271
0888613X,271
01676393,268
00405833,263
16871472,261
08957177,261
00983004,258
17689791,255
01795376,255
15523098,254
10526234,252
0094114X,250
01389130,249
0168874X,249
00043702,249
00978493,248
07437315,247
09251022,245
09235965,243
14635003,243
09255001,238
09251030,238
01678191,234
14627264,233
01681699,233
10179909,232
00220000,231
12962074,230
00104485,226
15232867,223
09650393,220
01676377,220
15403459,219
08936080,219
03645916,217
02628856,217
16331311,216
03990559,215
01665316,214
18616410,213
09565515,212
09603174,210
09210296,207
09242716,205
14324350,205
00189219,201
02783649,200
03401200,198
08906327,197
02635747,196
00928240,194
16102940,194
09296212,193
01782789,193
0368492X,192
14200597,191
16876172,190
09537287,189
00160032,189
00283045,188
0364765X,188
10636692,188
0955792X,188
03621340,187
09467076,186
01290541,183
01687433,180
08927022,180
10122443,177
10459219,176
09507051,175
15684946,174
15708705,172
17468094,172
01641212,169
03029743,169
10512004,168
02780070,167
1615147X,167
02570130,165
09883754,165
14332779,164
08956111,163
10834435,162
08856125,162
15561801,159
0951192X,159
1569190X,159
01419331,159
19324553,153
16191366,151
09277099,149
11108657,147
17518644,147
00045411,145
02644401,144
00015903,143
10429832,143
09591524,143
01679236,142
10946136,142
13675788,141
09696016,140
13826905,140
03010066,139
16194500,139
01296264,138
09208542,137
10848045,137
00952338,137
13837133,135
00010782,135
03782166,134
16153375,134
10500472,133
03064379,133
09410643,132
13837621,132
19398018,131
15566013,131
10535888,130
17415977,129
00190578,129
09659978,129
01630563,128
03600300,127
09328092,127
00975397,127
15803139,126
15361233,126
10636706,126
10715819,125
09259856,125
02675730,125
15513203,125
10665277,124
14327643,124
09333657,124
00380644,123
09615539,123
1751570X,122
00985589,122
0920654X,122
07475632,122
19430620,121
18631703,120
10473203,119
08943370,119
12489433,119
09262245,116
10414347,116
10964290,116
09635483,116
01291831,114
15293785,114
00457906,113
01782770,113
08848173,113
10220038,113
0030364X,112
09324194,112
15749541,111
12460125,111
10943420,111
0924669X,110
09574158,110
00220434,109
00104620,108
18777503,108
15399087,107
09505849,107
15430537,107
20407939,106
00207160,106
09295593,104
00063835,104
00189545,104
18618200,103
15708667,103
08852308,103
21682194,102
10745351,102
02191377,101
01678094,100
03064573,100
00375497,100
1450216X,99
01635808,99
14675463,99
09257721,98
01678396,98
02180014,97
15209210,97
15662535,97
01674048,96
0010485X,96
15677818,96
21530785,95
18681743,95
1536125X,94
00963518,94
19328184,94
23299290,94
13811231,94
15308669,92
15710645,92
02684012,92
10638210,91
0958695X,91
15320464,90
1383469X,90
19362447,89
08908044,88
0749596X,88
01691864,88
10407790,87
