ISSN,Nombre de publications
03772217,1472
02545330,861
00207543,818
01788051,760
02460203,635
1470160X,623
01677152,573
00911798,569
10505164,538
00223239,509
03050548,508
09255273,490
19357524,395
0047259X,387
17425468,361
03783758,344
00200255,332
00905364,329
00487333,318
08949840,317
00219002,297
00251909,295
01654896,267
00405833,264
09255001,238
01676377,223
03990559,215
09603174,214
09504230,209
02331888,197
09537287,192
0364765X,189
09507051,179
10485252,176
02570130,167
07362994,166
0003486X,165
07488017,157
10512004,156
01605682,148
02331934,148
03036898,146
01679236,144
09696016,143
10946136,142
16194500,141
16258312,140
01676687,140
0169023X,137
00207276,135
00251747,133
0968090X,132
09658564,118
15266125,116
09492984,116
09434062,114
03050483,112
0030364X,112
0040585X,110
03233847,110
02664763,107
01621459,106
10665307,104
03064573,100
09534814,100
10591478,95
13811231,94
01439782,94
11330686,90
21154430,87
00949655,86
00063444,85
14322994,81
15241904,80
01436570,80
02684012,79
02776693,79
03787206,78
10919856,78
14708272,77
10452354,76
0305215X,73
00359254,69
01443577,68
15487660,68
09262644,68
10618600,65
17435110,64
13697412,64
02191989,64
00261335,63
01764268,62
19326157,59
09325026,58
10198385,58
18629679,58
07350015,57
10170405,56
16174909,55
09537325,55
15329194,54
03195724,54
10579214,52
0960085X,52
02699648,51
15234614,50
10627375,49
03613682,48
03059049,46
08834237,44
09268782,43
10857117,41
17517575,41
14778238,40
20103263,40
18747655,39
21924406,39
01716468,37
23636203,36
11092858,36
13505076,36
13675567,35
11345764,35
21909733,35
0976836X,34
0894069X,34
24970107,34
19391374,33
13682148,32
00380121,32
21931402,32
02683946,32
09675426,31
19366582,31
22105395,31
17427967,30
17277051,30
21939438,30
02767783,30
03461238,30
09638687,29
13528505,29
03067734,29
00390402,28
10445005,28
1471678X,27
09727671,27
14608545,27
0324721X,26
17410398,26
17421772,25
1471082X,25
20511310,24
16182510,24
23301635,24
21924376,24
17457645,24
07981015,24
17542731,23
09234748,23
10478310,23
07421222,23
00347590,22
11092769,22
02726963,22
10944281,22
10927026,22
00922102,21
13691473,21
00031305,20
16843703,20
14256908,20
14654644,20
17575850,20
02175959,19
14668297,19
08943257,19
10477047,19
1435246X,18
01017438,18
15697371,18
2311004X,18
19361955,18
14758962,17
2452414X,17
0954478X,17
23302674,17
09641998,17
00949000,17
2040106X,16
10920277,16
17566517,16
23332050,16
23299460,15
16962281,15
00163287,15
03540243,15
17460972,15
00117315,14
17438187,14
19826907,14
17477778,13
20894872,13
14624621,13
14636689,13
1741539X,13
14709503,12
10276084,12
03153681,12
17465664,12
16879147,12
09206299,12
09768386,11
20808208,11
14413523,11
22147160,11
17555345,11
22116923,10
17589401,10
18745482,10
03409422,10
17567017,10
1619697X,10
17418763,10
19369735,10
17438268,10
17484995,9
19355688,9
26403943,9
15483657,9
09470085,9
17509653,9
03155986,8
10705511,8
20503326,8
23250984,8
10836489,8
17835917,8
0038271X,8
00219398,8
21643962,7
23268298,7
17442370,7
20474954,7
1866749X,7
10821910,7
20404166,7
23985038,7
15458490,7
20903359,7
15480518,7
17501806,7
17528887,7
1026597X,7
19393555,7
23516046,7
22178309,6
23831359,6
00410241,6
1381298X,6
19952880,6
2245800X,6
22109706,6
1097198X,6
09604529,6
17402832,6
25002597,5
16798171,5
20925212,5
03935108,5
23259965,5
01202596,5
14684330,5
15553396,5
17350654,5
11108665,5
19416253,5
19488289,5
15719545,5
08884773,4
25097962,4
23672390,4
12347655,4
11219130,4
14793059,4
0322788X,4
07353766,4
19478283,4
00224065,4
18546250,4
7653697,4
21914761,4
17262135,4
19387741,4
23985364,4
21676461,4
15574679,4
02560909,4
15481115,3
20503318,3
20957513,3
19437536,3
16168658,3
15551229,3
17481252,3
17400589,3
1865035X,3
20426747,3
1735188X,3
17558077,3
00303887,3
15586898,3
0033524X,3
20962320,3
22916822,3
0742597X,3
20404468,3
14498618,3
20085893,3
20476965,3
17506166,3
20818858,3
26661888,3
23270012,3
17382122,2
11251964,2
18006450,2
23069856,2
10128255,2
18480225,2
20967527,2
15389472,2
00390631,2
23337486,2
14789906,2
20513771,2
14793121,2
1758938X,2
12264717,2
19454481,2
2044124X,2
2573234X,2
1083589X,2
11739126,2
10248072,2
18162711,2
25211870,2
14156555,2
17558050,2
21933677,2
07377797,2
0390590X,2
23322071,2
20564961,2
20534620,2
20088302,2
19295804,2
23405317,2
25606018,1
08887985,1
23063289,1
2194668X,1
15510123,1
18952038,1
13573217,1
04534514,1
10976736,1
10496505,1
19302975,1
21985804,1
18684238,1
18893805,1
20777973,1
15404595,1
09685227,1
00057940,1
09607919,1
09731385,1
20934009,1
20362404,1
23375787,1
09573720,1
22877843,1
18246672,1
17510589,1
16138392,1
24754269,1
18033814,1
24099066,1
20547544,1
20084889,1
19473435,1
