ISSN,Nombre de publications
00351768,1161
17617227,255
22136533,244
13688375,217
10105182,215
00039969,210
00220345,194
12732761,188
00992399,143
09015027,138
01095641,134
00223913,130
14326981,126
13886150,124
02782391,123
03036979,118
00223492,104
01432885,89
02664356,83
10792104,81
13965883,79
09098836,76
03005712,74
08822786,69
0305182X,59
09057161,59
00070610,58
01987569,53
10556656,51
00223484,50
11581336,49
00206539,47
09042512,46
00304220,44
1354523X,43
00017000,42
08895406,42
03015661,41
00086568,41
22124403,34
08869634,33
17625661,33
15230899,30
10566163,29
18186300,29
16004469,28
01415387,27
01606972,23
08932174,22
00220337,22
02751879,22
09607439,22
09020055,21
17696844,20
00336572,20
1059941X,20
08948275,19
17696836,18
02874547,17
07340664,16
14615185,15
14964155,14
0250832X,14
15518949,14
16878728,13
10534628,13
16984447,13
0265539X,12
03617734,12
23330384,12
13057456,12
16021622,12
00028177,12
00154725,12
18742106,11
10506934,11
16016335,11
16181247,11
00016357,11
20906447,10
22116923,10
00264970,10
14634201,9
19917902,9
09728279,9
10646655,9
14182874,9
00450421,9
00118524,8
16787757,8
18831958,8
23800844,8
22310762,8
20411006,8
11214171,7
13291947,7
03010503,7
18651550,7
13434934,7
10454411,6
87502186,6
03055000,6
18068324,6
00118532,6
02048043,6
09066713,6
20932278,6
09747052,5
14620049,5
18272452,5
17562406,5
22124268,5
09709290,4
1309100X,4
1591996X,4
10738746,4
16742818,4
13490079,4
09724052,4
01641263,4
00114553,3
17357497,3
20089783,3
17522471,3
03009785,3
22125558,3
09116028,3
0976237X,3
01092502,3
00026417,3
10613315,3
27849015,3
14345293,3
00224006,3
13417649,3
07098936,3
16851994,2
15323382,2
22337822,2
22966498,2
22347550,2
1644387X,2
20057806,2
2008210X,2
21769451,2
02131285,2
00029416,2
00033219,2
08958831,2
1829006X,2
00347507,2
15263711,2
16015029,2
10423699,2
17237785,2
15835251,2
16591046,2
10432256,2
21783713,2
18827616,2
03636771,2
26306158,1
15190501,1
27246329,1
19395833,1
09172394,1
16585984,1
23105194,1
10139052,1
00017019,1
23214600,1
09720707,1
17419409,1
09767428,1
14155419,1
03009777,1
01455508,1
11372834,1
09439692,1
14329417,1
14882159,1
14726831,1
09704388,1
00288047,1
0973029X,1
02881012,1
20726406,1
01036440,1
09721363,1
09264970,1
03479994,1
2036413X,1
25030817,1
19783728,1
