ISSN,Nombre de publications
00046361,16186
00358711,7676
0004637X,7153
00948276,4152
0012821X,3269
00167037,2193
16807316,2136
0956540X,2097
00191035,2087
21699313,1951
00092541,1826
02731177,1818
00401951,1807
00166995,1461
01480227,1440
16310713,1359
20418205,1265
00320633,1241
00310182,1229
01962892,1174
00344257,1097
17264170,1076
13522310,1047
02773791,1029
00046256,1029
00379409,985
09307575,957
12401307,940
00380938,920
0025326X,919
03770273,916
10406182,896
00253227,848
00917613,832
00323632,819
0004640X,815
02727714,814
00045322,808
00359009,803
00386308,789
00034010,753
09927689,746
16310683,741
01431161,716
00319201,698
00670049,688
21699380,659
08832927,648
11422904,625
01918141,623
01466380,621
0169555X,619
21699275,614
00462497,613
00244937,606
0003004X,605
00107999,601
18671381,595
02787407,594
01691317,591
08948755,580
01681923,569
1991959X,568
02648172,542
10275606,531
10543139,528
00346667,526
00796611,495
17520894,493
01956671,492
09670637,487
00168033,484
15618633,459
00351121,454
09670645,452
03991784,452
09247963,449
09351221,444
03029263,442
03019268,434
18149324,433
08995362,431
19940416,428
00370738,426
10869379,423
21699097,422
00218502,421
09226435,412
02784343,412
1464343X,407
09218181,407
01411136,402
08866236,401
01698095,400
00224928,399
09544879,396
00371106,391
00334553,389
00223670,388
00046337,386
03639061,384
03044203,382
07490208,382
2169897X,373
00137952,370
07533969,363
02588900,363
12809659,362
19391404,360
01979337,359
03421791,356
00128252,350
00223530,349
03418162,345
1545598X,338
00168025,326
00030007,323
18663508,322
08959811,318
00243590,318
07390572,309
00264598,307
0266352X,306
00068314,305
02724634,301
14373254,297
02536730,295
18666280,291
08998418,288
09596836,287
09853111,285
09232958,283
00098604,282
13651609,280
00098558,279
00335894,278
00270644,278
01650009,275
00370746,273
15252027,272
17453925,272
12665304,266
13679120,265
18120784,262
03756742,260
00983004,259
01820745,251
14635003,247
13851101,243
00046280,243
03783774,240
09269851,237
00167568,237
00963941,235
00221430,230
13438832,230
13772368,226
03661326,225
00351598,224
10235809,222
09204105,219
00741612,218
07232632,218
1342937X,218
02182718,213
14312174,210
14747065,209
09242716,208
00167606,208
15311074,207
00310239,205
01693298,204
03778398,203
09645691,203
02603055,201
02634929,200
13876473,198
00219169,198
01682563,197
02678179,197
02806509,194
01671987,194
02643707,194
00167649,193
14200597,192
01691368,191
18667511,188
0026461X,187
18711014,186
14390108,185
01447815,185
16207742,184
00338222,183
16167341,182
08838305,182
18611125,180
0921030X,179
00168505,175
0950091X,175
13646826,172
02677261,171
00353221,170
1570761X,168
08950695,167
03756505,167
00084476,164
09497714,163
07484658,162
09396314,159
00084077,158
00777749,156
18699510,155
03091929,154
01677764,154
15698432,153
03610128,153
00241164,152
00168009,152
00486604,149
00224650,149
01401963,149
01679295,148
00046264,147
00167835,146
21699003,145
15588424,142
00253235,140
0177798X,140
02760460,140
15271404,139
02806495,138
01491423,135
05677920,135
02148358,134
14359529,133
00223360,132
0165232X,130
07315090,127
00088714,127
1070485X,125
14693062,124
17453933,124
1525755X,119
08926875,118
08948763,117
17652553,116
18115209,116
00046981,115
01490419,115
03728854,115
08878722,114
02659646,112
00083674,111
01696149,110
13834649,110
13231650,108
14772019,107
10428275,107
00207128,106
13132989,105
1108393X,105
07707576,104
15694445,104
21904979,103
00487163,101
00258296,101
03009483,101
21698953,100
13233580,100
1450216X,99
09541020,99
18671616,98
08867798,98
21966311,97
09212728,96
09300708,95
00310220,95
03017516,95
03969657,95
22124209,95
01665162,93
03770265,93
00129402,93
15935213,92
0017467X,92
02635046,92
08828121,90
01505505,90
14672960,89
16618726,89
23294124,89
00721050,88
02661144,87
22120955,86
16394488,86
01980149,85
00206814,84
18748961,84
08836353,83
09603182,83
2410339X,83
00222402,82
00351822,81
01729179,80
10900241,80
00380806,79
1086055X,79
14482517,79
14724677,79
13841076,79
01489062,78
0936577X,77
02411407,75
00029599,75
10546006,75
1612510X,74
87551209,73
16747755,72
10572414,72
25724517,72
01777971,72
14688115,72
07053797,71
03764265,71
16807340,70
13706071,70
01490451,70
18682502,70
10456740,70
22116753,68
13806165,67
13920049,66
00217972,66
17697298,66
03972844,65
00442798,65
16749871,65
20358008,65
16274911,64
00283630,64
07038992,63
22131337,62
00207233,62
0262821X,61
00221376,61
00988847,61
14641909,60
00074632,60
00791946,60
10184325,59
14735504,59
01916122,59
19360584,59
02694042,58
01496115,58
14000350,58
10693513,58
00961191,58
00356883,58
00948373,57
07057199,56
00074977,56
08858985,56
03660176,56
07643470,56
13540793,55
15732479,54
02506335,54
0366483X,54
10726349,54
09412948,54
15323641,53
13504827,53
25903330,53
13091042,53
03369994,53
00262803,53
00382353,53
16744527,52
10009515,52
08831351,51
1028334X,51
10637729,50
00322474,50
08828156,50
03670449,50
0007084X,49
03733629,49
01416421,49
10020721,49
00167002,48
18671594,48
13554565,47
00167878,47
18647782,47
09354956,47
10946470,46
10805370,46
17451000,46
0016626X,46
08845891,46
00380946,46
16956133,46
18672477,45
12141119,45
24732397,45
0010406X,44
0366483x,44
10709622,44
14641895,44
10006915,44
15299074,43
03735834,42
08000395,42
21930856,42
00780421,42
22133054,42
13748505,42
18739652,41
03115518,41
18739318,40
1755876X,40
15230430,40
10036326,40
00015687,40
10637737,39
10016279,39
23248858,39
00393169,39
00777579,39
00045500,39
01950738,39
18759637,38
03912612,38
10256059,38
2150704X,37
01811797,37
22126864,37
01689622,37
13632469,37
10183337,37
23636203,36
02461528,36
03926672,36
19648995,36
07439547,36
10069313,36
00991112,36
10004548,36
00015113,36
05567432,36
20374631,36
00015733,35
00167746,35
18956572,35
19418264,35
10916466,35
00092819,35
00438243,35
01444565,34
03021688,34
02718529,34
00224588,34
16986180,34
02635933,34
2005307X,34
18424090,34
00066729,33
10384871,33
2214790X,33
00017132,33
00300608,33
17577780,33
11035897,33
14641917,33
04353676,33
14647141,33
10007598,32
00109525,32
13000985,32
03919838,32
03085694,31
00367699,31
03711951,31
02757540,31
17683572,31
01811789,30
09655441,30
16747313,30
00288306,30
03066746,30
2661863X,30
17556910,30
01650807,30
00789682,30
10825010,29
0031868X,29
1871174X,29
0733-9410,29
13350552,29
08120099,29
16340744,29
00179957,28
0306400X,28
00775630,28
18425135,28
12119520,28
00221392,28
19411405,28
08903069,28
16726316,28
13611682,28
09231730,27
03962687,27
00014338,27
03704467,27
18755100,27
87552930,27
00783234,26
00167460,26
1838675X,26
00167169,26
02460874,26
03036936,26
22120947,26
00332151,26
01851101,26
00253324,26
03091333,26
15564894,26
16807367,25
10268774,25
25334050,25
09630651,25
07055900,25
17711150,25
08912556,25
00142158,25
0016-7312,25
17421772,25
00167932,24
00664812,24
22797327,24
01431471,24
00211753,24
01810839,24
00167282,24
1064119X,24
00167398,24
00270903,23
00015709,23
00261165,23
00323764,23
01671731,23
21930066,23
02986663,23
05536626,23
07507186,23
09484280,23
08123985,23
00205958,22
18026222,22
13300083,22
01977385,22
00087041,22
03650359,22
03734633,22
14053322,22
16879309,21
09168370,21
07160208,21
02534126,21
02561530,21
13532618,21
13875868,21
17486025,21
23644176,21
03613666,21
00790419,21
17422132,21
00167622,21
09273522,20
20965508,20
00167029,20
00318663,20
16642376,20
1438387X,20
10962247,19
10000569,19
05836050,19
10120750,19
02105462,19
04121961,19
02125919,19
0102261X,19
12205168,19
00167363,19
17338387,19
20381719,19
07381360,19
16877969,19
03757633,19
17538947,19
10170839,18
1093474X,18
04305027,18
22550550,18
00021571,18
00413763,18
1687885X,18
10687971,18
10420940,18
00206946,18
14418126,18
09524592,18
03652556,18
13668781,18
1674487X,17
26283697,17
1539607X,17
07187092,17
00253359,17
08827508,17
19488327,17
18650473,17
10259112,17
1747423X,17
00291951,17
10248560,17
17499518,17
15677230,17
1346213X,16
10831363,16
24056758,16
0245484X,16
10683739,16
19475705,16
02544059,16
00310301,16
00372110,15
20530196,15
26159783,15
00465828,15
21912203,15
19475721,15
20962754,15
18106277,15
00058173,15
22256253,15
16744799,15
02121573,15
09823816,14
10095020,14
00167853,14
03177173,14
10525173,14
17085284,14
03698963,14
16725107,14
00015237,14
00280798,14
10642293,14
00283649,14
00161152,14
00074802,14
03005402,14
00378763,14
08695911,14
11146834,14
19386362,13
1365781X,13
0253505X,13
23474327,13
07173326,13
00788554,13
15481603,13
00221945,13
0182564X,13
00044822,13
0873948X,13
18657362,13
07665105,13
00916773,13
13441698,13
07984065,13
0146664X,13
20402244,12
0256596X,12
03732568,12
12264806,12
00777757,12
01876236,12
20707401,12
03393267,12
