ISSN,Nombre de publications
17739578,1846
00352764,1215
03384551,1073
03023052,642
12659576,628
01651765,607
02649993,574
00036846,568
09218009,548
11612770,542
00142921,540
12674982,507
09255273,487
01674544,481
03044068,419
03380599,413
00220531,407
02494744,406
01409883,389
03361454,377
01672681,354
1295926X,324
01418130,324
03784266,318
15446123,309
01651889,302
09382259,295
10108831,285
0308597X,277
01543229,274
01761714,272
00405833,264
00472727,261
0305750X,260
13504851,258
00342971,254
02244365,252
03044076,244
14761297,235
12962074,230
08998256,224
14697688,224
09672567,219
02755319,217
12454060,217
09246460,212
10973923,209
03785920,196
10575219,195
03014207,188
09213449,186
12408095,185
07704518,183
16187598,180
14681218,177
05900239,177
0921898X,176
02615606,174
13704788,167
00028282,163
01651587,160
03043878,158
21107017,158
09606491,152
09277099,151
09601627,151
00221996,146
00954918,144
00142182,142
11456396,142
09275371,141
01676687,139
09369937,137
01677187,137
09291261,135
00207276,135
00485829,135
10424431,132
10629769,130
00346586,129
01660462,128
00130133,127
12622788,122
03732630,121
00950696,121
00346527,119
01448188,117
13651005,117
01475967,116
09492984,116
02190249,116
10769307,115
10438599,115
00029092,114
0309166X,113
13522523,113
02659646,112
01762680,107
03069192,106
09695931,103
00178012,103
15424766,101
00182702,101
09291199,101
00129682,100
0304405X,98
01674870,97
00472506,97
0020871X,94
03777332,93
09331433,91
08939454,91
00130567,89
02664666,88
00213624,88
16102878,87
08955646,87
21154430,87
03043932,86
00941190,86
10586407,86
10909443,85
07416261,85
13861999,84
00130613,84
01640704,84
16261682,83
0954349X,82
00307653,81
03470520,81
00246301,80
09237992,78
09287655,77
09638024,76
09500804,75
13547798,75
13899341,75
10452354,74
14751461,74
1043951X,74
08985626,74
10185895,73
00222879,73
08837252,73
15723089,72
00084085,71
01956574,71
09393625,71
00205346,71
12946303,70
08887233,70
09230645,70
01695150,70
14631377,68
14779056,67
21530785,66
00206598,66
00221090,66
00219886,66
00130427,66
15945685,66
14682702,66
09275940,64
09538259,64
24964646,64
03073378,64
09513574,64
15660141,63
10427716,63
1351847X,63
10253866,62
15691721,62
02583690,60
01548344,60
00235962,60
02586770,60
10942025,58
10909516,58
18629679,58
10590560,58
07350015,57
0895562X,57
05150361,57
10242694,57
00221821,56
00346535,55
0922680X,55
01618938,55
00261386,55
00129976,54
17441374,54
09318658,54
00935301,54
09275398,53
1355770X,53
00920703,53
1387585X,53
10422587,53
09324569,53
11228792,52
09670750,52
14344742,52
01676245,51
19457669,51
17427355,51
21135207,51
0889938X,51
00221082,50
1350178X,50
1225651X,49
00952583,49
14706423,49
00224995,49
01603477,49
14636786,49
1554964X,48
10535357,48
07398859,48
09638180,47
01492063,47
10598596,47
0021857X,47
18687865,47
10741240,47
09603107,47
22148043,47
10811826,46
03059049,46
1350486X,46
10834346,45
14707853,45
15723097,45
13864157,45
03074358,43
01622439,43
14757702,43
0306686X,42
1368275X,42
11755652,42
14646668,42
14735903,42
19336837,41
02727757,41
15265943,41
04866134,40
09264957,40
1054853X,40
15203255,40
17585880,39
26946416,39
1432847X,39
0040747X,39
01976729,39
03085147,39
18747655,39
0266903X,38
00989258,38
16607112,38
00083976,38
0924865X,38
10629408,37
17449480,37
19952848,37
15938883,37
00223808,37
07526180,37
00224367,37
13864181,37
02692171,37
02664658,37
00346764,37
1610241X,36
09692290,36
15695239,35
00130079,35
08434379,35
07424477,35
09711554,35
10754253,35
21909733,35
1860711X,35
07474938,35
00428736,34
09593969,34
16142446,34
09500170,34
03135926,33
22807659,32
13760971,32
02707314,32
11046899,32
02174561,32
09645292,32
18632505,32
03614476,31
00220507,31
08852545,31
00380121,31
10116702,31
22105395,31
02776693,31
03085961,30
10429573,30
09675426,30
20527764,30
03461238,30
19457782,29
14601559,29
08893047,29
09944524,29
00335533,29
1540496X,29
09208550,28
08891583,28
09628770,28
14792931,28
18154654,28
10445005,28
21606544,28
1361374X,27
00384038,27
14798409,27
1471678X,27
10538372,27
1611311X,27
00144983,27
13814338,26
1042444X,26
19457707,26
16124804,26
02662671,26
00475394,26
08955638,26
00130117,25
10168737,25
17473616,25
20414161,25
00369292,25
08953309,25
01443585,25
17421772,25
03912078,24
22146350,24
16120663,24
13524739,24
0015198X,24
13614916,24
10440283,23
15739414,23
14780917,23
10490078,23
0013063X,23
13691066,23
09541985,22
19324391,22
0927538X,22
19457731,22
03925048,22
18683967,22
09535314,22
00222437,22
1570677X,22
00207063,21
03068293,21
00237639,21
13684221,21
0734306X,21
10511377,21
25776975,20
18778585,20
87566222,20
14656485,20
15679764,20
14766930,20
01435671,20
22133968,20
07360932,20
09668136,20
00225258,20
09685650,20
17597323,20
14747472,19
07381360,19
