ISSN,Nombre de publications
19327447,3606
00223115,2739
00189499,2147
09203796,2088
00134651,1892
09214534,1789
03603199,1568
03787753,1418
00295493,1156
07413335,1031
09596526,992
00102180,910
00162361,861
12944475,773
09608524,731
13594311,657
00338451,650
08870624,624
20507488,617
03014215,603
09601481,595
09270248,588
0038092X,537
03064549,497
03062619,483
02365731,463
03605442,459
00102202,447
01968904,444
02552701,409
01409883,400
13640321,345
18645631,342
15361055,340
17489318,337
01652370,327
01418130,319
10933611,300
08941777,296
0303240X,279
00295639,279
00295450,266
07424795,257
03787796,248
18772641,244
01491970,235
08858977,221
09204105,219
02682575,214
09504230,209
16146832,188
17545692,185
09619534,183
00820784,182
03783820,182
17505836,172
08858969,169
03756505,167
10238166,165
07203322,164
01420615,164
07484658,162
08858950,161
00223131,152
0020708X,146
16156846,146
01676105,146
0363907X,143
01491423,135
10627995,121
22112855,114
13522523,113
17546834,104
10618562,100
22106707,99
13647830,99
21906815,98
01665162,93
01996231,92
00189510,86
02668920,83
09547118,82
1086055X,79
03549836,75
17385733,72
01956574,71
05693799,67
1110662X,66
22146296,65
15325008,64
19463936,62
21944288,58
20954956,55
13540793,55
09576509,54
18168957,53
14802422,50
01640313,50
21686777,50
00354066,50
18755100,50
00295922,49
01416421,49
19493029,49
19447442,48
19963599,47
21683565,46
10946470,46
19391234,46
24682047,46
16876075,46
17518687,45
14328488,45
22131388,44
01492136,44
17571693,44
10954244,43
01722190,43
09323902,42
23328983,42
0309524X,40
1054853X,40
02185393,39
14315254,39
01950738,39
03601285,39
1570646X,39
16829344,38
01425919,38
20408021,37
1430144X,37
17521416,37
10772618,36
18276660,35
23667443,35
10916466,35
08434379,35
19402503,34
01430750,34
15567036,34
00300608,33
1932104X,33
25225731,33
19417012,32
20888694,32
22807659,32
10646671,32
15407977,32
2211467X,32
03614476,31
09655441,30
02759306,29
1362363X,29
21953880,29
0306400X,28
15435075,28
09730826,28
19463952,28
09231730,27
00167169,26
00167460,26
21919542,26
19366612,25
1550624X,25
17428297,25
21680256,24
0958305X,24
20711050,23
09680802,23
22815295,22
08904332,22
18683967,22
01404067,22
19322135,21
17437601,20
21945756,20
17597269,20
00105082,19
03683281,19
23338326,18
10783466,18
21986444,18
10018042,18
09571787,18
15583724,16
00301388,16
20958099,16
00222739,16
00139157,16
1741640X,15
10549811,15
16130200,15
00368792,15
21919089,15
15402800,15
1064668X,15
16725107,14
17439671,14
00074802,14
21605882,14
0003701X,14
10440046,14
20951701,13
0873948X,13
08843759,13
19301855,13
21941459,13
20089163,13
01442600,13
22286179,13
07339402,12
10519998,12
0256596X,12
17563607,11
21900558,11
10634258,11
23638419,11
17408822,11
02731371,11
19422431,10
19986041,10
17460573,10
00219487,9
14786451,9
17549957,9
21994668,9
20101325,9
1476914X,9
14746778,9
17514088,9
2074272X,9
23635037,9
17568277,9
17506220,8
09741496,8
21628726,8
21965625,8
17550084,8
08698643,8
24056561,8
00962015,8
01462520,8
20901968,8
02533219,8
20418396,7
0972057X,7
25154230,7
2730597X,7
03615219,7
22524940,7
13150855,7
10406190,7
20952686,7
00047120,7
15568318,7
02646811,7
02580926,7
23298774,6
22391959,6
17416361,6
14728923,6
1943815X,6
25001019,6
10039953,6
25750348,6
01445987,6
00139998,6
09720626,6
07168756,6
20466099,6
14642859,5
15566560,5
22886206,5
19764251,5
00908312,5
15614417,5
26618869,5
17533309,5
01300997,5
14513994,5
29499097,5
21871094,5
1553779X,5
26667843,5
17293774,5
09726268,5
08936188,5
14753219,5
20528418,5
00222755,5
02546086,5
25094238,5
22894659,4
16743962,4
04247760,4
18793886,4
10063471,4
21501173,4
23816872,4
00093092,4
09724443,4
11122242,4
20962797,4
00316423,4
25099930,4
25434950,4
10008144,4
1007449X,4
0208189X,4
17571154,4
10006931,4
17532116,4
00380741,4
08905487,4
1478646X,4
17489237,4
15567249,4
02357208,4
10036520,3
09582118,3
23672617,3
23637692,3
11100621,3
10183639,3
00406015,3
22212701,3
13468804,3
17452058,3
24682039,3
10066748,3
00282448,3
1869876X,3
10563466,3
14724561,3
22079963,3
01660810,3
1308772X,3
1513718X,3
03097846,3
0020708x,3
14514117,3
03703908,3
15112780,3
17424267,2
20958293,2
15294900,2
20297017,2
10868259,2
2097213X,2
10798765,2
03923029,2
22528814,2
07376278,2
13047191,2
20563272,2
09743154,2
10044388,2
24150436,2
01998595,2
26922924,2
10003436,2
26913747,2
20960042,2
23568518,2
20961529,2
10067043,2
17453194,2
13921649,2
02625091,2
09744207,2
14514869,2
00972460,2
00092355,2
10485236,2
02750473,2
22126090,2
00206067,2
09703888,2
23251166,2
08708312,2
02602814,2
18748341,2
21503621,2
18153852,2
15407985,2
24575011,1
18660134,1
20054238,1
14498596,1
16735005,1
25780646,1
1055677X,1
00282421,1
24766674,1
01128116,1
07386532,1
20962495,1
23327707,1
20459831,1
25247980,1
10000976,1
25383604,1
0945358X,1
24113336,1
14296675,1
25883097,1
01225383,1
09168753,1
15406008,1
00137308,1
20961693,1
