ISSN,Nombre de publications
09258388,3673
09214526,3429
00221120,2747
00189464,2728
00135194,2679
00304018,2527
1559128X,2484
10706631,2357
00189499,2135
03796779,2108
14346044,2102
09203796,2069
00222461,1998
09215093,1945
02731177,1814
09214534,1789
00223654,1750
00255408,1741
00034347,1715
14248220,1638
00092509,1491
01679317,1421
01487191,1415
03787753,1413
00179310,1412
0022460X,1388
16310721,1363
09215107,1343
00262714,1337
00189286,1292
10518223,1283
00381101,1223
09500618,1214
00051098,1200
00457825,1181
01962892,1161
12518050,1154
00295493,1144
15306984,1110
09574484,1090
00088846,1086
09253467,1079
00207683,1074
1053587X,1072
08885885,1063
00223719,1045
00431354,1043
09254005,1039
13858947,1035
01413910,1028
09359648,1021
13871811,1005
00261394,977
09596526,970
02997258,962
01651684,955
13596462,938
00945765,936
00189383,903
0018926X,845
19360851,838
09270256,821
10411135,814
02638223,811
12696935,808
00207543,806
00214922,775
09244247,774
08952477,769
00295981,765
10255842,761
18626300,761
00189480,753
00225088,753
00119164,750
00431648,746
00457930,733
01429612,733
0167577X,723
08853010,711
07555016,710
09259635,710
02681242,705
07234864,701
02683768,698
00189197,692
00011452,687
12900729,682
19648189,677
00039527,665
00189456,664
13594311,654
09240136,653
09570233,652
00338451,650
02663538,646
00225096,638
12962139,633
07496036,633
1364503X,631
08883270,629
03784363,619
1359835X,616
0277786X,607
03654877,600
00219290,599
0301679X,598
03605442,589
09518320,589
00207179,580
05848539,575
10735623,575
01421123,571
09977538,567
01704214,551
00137944,549
19590318,543
02712091,534
13595997,533
09670661,530
12928119,524
03787788,523
01676911,516
15407489,494
00906778,491
03054608,488
09255273,487
01676636,487
02641275,486
00189545,485
02780046,482
1530437X,478
07496419,477
14761122,476
00939994,476
03062619,473
00369748,471
00936413,468
08842914,466
00189294,463
09565663,462
13807501,455
10709878,441
10431802,436
09574174,428
09284931,425
03615235,424
00913286,422
00218502,420
02780062,415
09532048,415
09574522,408
02552701,407
13645021,407
01410296,405
03770257,404
13598368,403
00016160,402
10709908,396
15361276,392
03321649,388
03019322,385
00457949,385
03639061,382
00262692,379
01636804,377
03608352,375
12506559,374
15324435,370
10498923,368
07413106,368
09669795,368
01407007,367
10445803,367
01663615,365
19443994,364
03043886,361
03769429,361
07424787,359
09521976,358
08858993,350
08899746,348
00207225,347
03601323,346
00207403,345
01400118,344
11554320,344
15361055,340
17427061,339
01486055,339
10711023,339
12691496,337
1545598X,334
12709638,332
00200255,331
00298018,329
09641726,329
00189375,327
00189219,326
00207721,325
14730197,325
07338716,324
15334880,323
0142727X,314
03068919,314
15361225,312
00219304,312
19597568,309
14544164,309
17593433,309
07390572,308
01694243,307
17425689,307
22577777,305
17516161,304
00223735,304
00144851,303
03684466,302
10933611,300
10636536,299
00219983,298
00982202,298
0730725X,297
10634584,296
08941777,295
09473580,291
10870156,289
15249050,288
01787675,285
1077260X,285
10897798,283
09218890,282
02181274,281
13698001,280
08857474,278
26422085,278
09574530,278
12656534,273
02630346,271
09601317,270
07351917,267
00189200,266
03611981,264
09589465,260
8756758X,260
00255432,257
07424795,255
17689791,255
00202274,255
15523098,254
14387697,254
09257535,251
0094114X,250
0168874X,249
00014575,248
00978493,248
03787796,248
0924090X,247
09235965,243
03045102,242
00442267,241
03797112,241
09505423,240
02632241,238
09307516,234
01491970,233
10179909,232
10238883,232
00218464,231
00189251,230
00255416,230
00207462,226
00104485,226
09638695,224
00078506,223
09477047,221
14328488,221
01676377,221
09650393,220
08858977,220
02446014,219
0734743X,219
00741612,218
18616410,214
10833668,213
0160564X,213
07232632,213
17483387,213
14680629,212
09565515,212
17590787,211
09475117,209
09504230,208
13506501,207
09210296,207
09242716,205
00303992,205
13835416,201
09381287,201
02783649,200
14345021,200
01675087,199
00219169,198
08906327,197
1045389X,196
02635747,196
01669834,196
00221481,196
00218936,193
16136810,193
13504533,193
09296212,193
14668564,193
0368492X,192
16876172,190
00218669,190
01959271,190
00160032,189
02670836,189
