ISSN,Nombre de publications
00489697,3276
00992240,2035
09441344,1743
00456535,1662
00186368,1519
01487191,1415
00221694,1366
0013936X,1365
16310713,1359
00431354,1324
00032670,1234
09628452,1162
00295493,1156
16617827,1148
01718630,1091
02731223,1067
01480227,1062
13858947,1054
13522310,1047
02773791,1029
02697491,1001
09596526,990
02997258,982
00221139,945
12401307,940
0025326X,919
09263373,906
00253162,894
1553734X,837
00323632,819
03043894,812
13541013,808
03043800,758
00119164,753
09608524,731
12864560,713
07555016,710
16350421,703
03781127,702
11667699,686
19648189,680
03014797,651
00431397,651
00338451,650
08832927,648
00063207,642
1470160X,621
01678809,613
03014215,603
03605442,595
14639262,590
01681923,569
09593330,567
09218009,552
01686496,544
01476513,542
10275606,531
03050270,530
10543139,528
00032654,517
01604120,510
00011541,488
03062619,482
00139351,473
0265931X,466
02365731,463
0166445X,449
03029263,442
18149324,433
00218502,428
19940416,428
17740746,408
09218181,407
08856087,407
01411136,402
08866236,401
00218901,399
00916765,398
09927158,393
07490208,382
03044203,382
09603115,368
19443994,366
03091708,358
03601323,354
02408759,351
01427873,351
13504177,350
07307268,349
0956053X,349
02626667,348
1146609X,348
00220477,345
00298018,343
18645631,342
03405761,340
17489318,337
00953628,337
1466822X,334
00275107,329
00015342,329
09291393,327
23520078,326
00496979,322
13873547,317
13648152,315
17593433,309
11009233,297
18666280,291
1758678X,290
09596836,287
00098604,282
0308597X,281
01650009,275
15226514,268
16103653,268
09258574,266
01676369,262
09483349,258
09311890,251
20282508,249
18772641,244
02648377,242
03783774,240
09212973,239
01491970,235
07422091,231
03067319,224
15403459,222
13835718,219
08888892,218
00741612,218
14718278,217
02682575,214
09246460,213
14363798,211
09475117,210
14312174,210
0265203X,209
09645691,203
00219169,198
01682563,197
10527613,195
01697722,195
00928240,195
03014207,190
00179078,190
00498254,189
09639292,189
18667511,188
13815148,187
09213449,186
01447815,185
14629011,184
01464760,183
09619534,183
17545692,183
10504648,181
0921030X,179
01691317,179
17505836,172
00904341,171
00353221,170
00074861,169
00483575,168
00343404,165
01919512,165
07203322,164
03783839,163
14202026,162
16274873,160
1369703X,160
01677764,154
15698432,153
16124758,153
00455067,153
0006579X,152
09603271,152
