ISSN,Nombre de publications
02210363,3927
09281258,1666
17790123,1249
01509861,1145
1773035X,930
01448420,849
00319155,843
17667313,766
09607692,596
02423081,575
01724622,552
09553002,518
0247106X,514
00079782,431
03015629,418
02780062,417
00327875,381
10659471,374
01959131,372
13618415,371
18762204,361
00405744,360
02640414,306
21185735,297
0242648X,294
10111344,275
16328345,263
00224707,236
00140139,229
10648011,227
09057188,219
00039993,209
15550265,207
03063674,202
1059910X,196
03635465,193
0093934X,183
01121642,177
08956111,166
14992027,164
00036870,161
00039985,160
13781863,143
17461391,143
02784297,143
00217646,139
00261270,139
15209156,134
09685243,125
09622802,122
09486143,113
09428925,113
17576180,112
2366004X,110
21682194,102
22115684,101
2212764X,99
02841851,96
14402440,92
22107703,91
14792354,90
10976647,90
08921997,88
08960267,87
00954470,85
20479956,84
16501977,84
10924388,78
19739087,77
0860021X,77
17538157,74
08878013,74
09803483,70
14763141,69
09593020,68
14203030,67
02701367,66
10405488,65
15412016,64
08949115,62
00084123,61
09224777,61
03425282,56
00238309,54
10520295,54
02699206,54
10217762,53
09281231,51
01485598,51
13528661,50
1868596X,49
01617346,48
20557647,48
10871640,47
02692155,46
16405544,44
0179051X,44
01960202,44
01466453,43
03067297,42
02611929,42
22115706,41
19424280,41
15305627,40
2329423X,40
20474806,38
02755408,38
15438627,38
1050642X,36
20952546,35
00251003,35
10871659,34
17408989,34
01679899,33
02219363,32
21991170,32
10792082,30
17460263,29
09426086,29
14670100,29
17483107,29
13608592,29
15517411,28
13682822,27
10638652,27
00252514,27
08998493,26
13869620,26
10538135,25
1466853X,25
15433080,24
10530487,24
08971889,23
00097209,23
03093646,23
00207144,23
09393889,23
17585732,20
09583947,20
22478051,20
01614754,20
19476035,19
00257826,19
07369387,19
02735024,19
14015439,19
09350020,18
24733938,18
1356336X,18
00219924,18
10626050,17
08859701,17
00913847,16
10566716,16
09434747,16
13697072,16
21911231,16
15321819,16
00319023,16
16138171,16
00916331,15
1356689X,15
09652299,15
15602214,15
20336403,15
17469899,15
10538127,14
13573322,14
14631741,14
17422876,14
87507315,14
20951779,14
01478885,14
17511321,14
02785919,13
10400435,13
23288604,13
00914916,12
00222194,12
18369553,12
15508307,12
23641754,12
09582592,12
09593985,12
08164622,12
07365829,12
14220644,12
03423026,12
19341482,11
23760540,11
02144603,11
08856257,11
14137852,11
10623345,11
09366652,11
01461044,11
00257664,11
21573905,11
22116923,10
1034912X,10
07411235,10
18416624,10
10669817,10
05678056,10
15355535,10
10628592,10
22110682,10
26662825,10
00221058,10
01906011,10
14473828,10
1475925X,10
1651386X,10
15791726,9
18444172,9
13670484,9
17555191,9
