ISSN,Nombre de publications
00064971,3803
00221767,3324
00033898,3277
0022538X,2729
02614189,2203
00219193,2176
00992240,2035
00142980,2019
0264410X,1812
02699370,1770
0950382X,1674
00034967,1549
0025682X,1455
00199567,1377
0315162X,1217
00426822,1215
00221317,1185
09628452,1162
01054538,1142
15537366,1063
12678694,1049
03781097,1037
00916749,920
09232508,899
01757598,866
00225193,863
00221007,843
00380717,837
16310691,818
00043591,806
1252607X,792
01681605,791
00029637,772
00221759,762
13500872,748
14622912,723
01466615,716
0392856X,688
03048608,666
01615890,661
14665026,632
15671348,616
00359203,610
03044017,598
00099104,596
00411132,583
13866532,581
13645072,576
1025496X,574
21624011,567
15449173,560
01686496,545
08892229,515
09320113,511
03781135,508
01660934,507
00088749,504
00063592,487
12864579,486
00311820,471
00207519,465
00192805,460
01415492,460
21612129,458
10747613,456
00937711,455
09547894,451
14625814,450
00012815,442
1940087X,442
23146133,439
15689972,438
20522975,433
01652478,432
0001706X,422
03438651,409
00084166,396
10182438,392
09538178,391
01677012,385
08968411,383
07415400,379
03009475,377
15292908,376
02719142,375
01666851,367
14786354,361
17517362,361
20592302,360
07400020,356
01988859,353
23265191,352
07692617,351
01681656,351
01681702,343
09586946,331
00222615,328
11485493,326
13602276,324
0749503X,321
01663542,320
00144894,320
02668254,319
03407004,319
01410229,319
0966842X,315
13520504,308
02220776,308
03028933,306
00221287,301
0145305X,299
10870156,289
00034150,288
01479571,285
10434666,284
01655728,284
00443255,276
14714922,267
01052896,265
09527915,265
00207713,263
13695274,260
13595113,260
09244204,257
01920561,249
21645515,248
0301486X,246
09232494,244
00365548,242
10665234,238
00255564,237
01782762,235
00223395,232
07232020,230
19313128,226
03721248,223
18651674,221
03015149,216
01655752,212
11645563,209
01652427,206
09232516,201
08824010,198
08891591,196
00901229,195
00928240,195
10759964,192
09056157,191
15216616,190
00036072,190
10871845,190
20461402,189
0362028X,185
02732289,179
00034983,177
15303667,177
10451056,175
14714906,174
10766294,169
07618328,169
15671356,165
09288244,164
00222585,163
14760584,158
15359778,158
27686701,157
09593993,157
19420862,150
01419838,149
0006341X,149
01675699,149
17401526,148
17460913,147
01650378,146
1071412X,145
03009742,144
1877959X,143
01728172,142
22137165,141
0269283X,139
09324739,138
01712985,137
14712180,137
03005526,136
10811206,135
14664879,134
19330219,134
14787210,134
09629351,133
15566811,132
0022149X,130
09648305,129
08916934,129
00218847,129
17443121,127
0951208X,126
19490976,125
00223921,124
0031613X,123
07349750,123
17548403,122
10445323,121
14741733,120
03079457,120
18606768,119
14344610,115
00202452,114
18796257,114
10504648,113
14310651,112
14384221,112
10799907,111
21505594,110
03064492,110
08927014,108
17546834,104
01694758,104
1744666X,103
00052086,102
14653249,101
1750743X,101
14729792,100
10233830,99
0272457X,98
09054383,97
00155632,96
14641801,95
16727681,94
1746630X,93
13835769,93
10779450,91
15249557,90
01656090,87
15675769,86
10189068,86
00482951,85
0100879X,83
12302821,83
15284050,81
09663274,79
17517907,79
09607420,77
03010546,76
08854513,72
13550284,72
01766724,71
00978485,71
0257277X,71
10467408,71
08189641,70
10967176,70
01490451,70
03935965,69
13596101,69
01978357,67
02500868,67
01686445,67
09445013,66
09208569,65
10736085,64
22147993,64
0178515X,64
09553886,63
23744235,63
02549670,63
03008584,60
07222211,59
15258165,59
20366590,58
16845315,58
09628479,58
03946320,58
00961191,58
07428413,58
00282596,56
17460794,56
08830185,56
02786222,55
18631959,55
18632297,55
10529276,54
15904261,54
87558920,54
00155683,53
19369751,53
17554365,52
0233111X,52
23148861,52
09297855,52
09348840,50
0891060X,50
14245485,50
08923973,49
03444325,49
2079052X,49
0001723X,48
08820139,48
13675435,48
15353141,48
08938512,48
01772392,48
00039365,48
03603997,47
18671306,47
08898561,46
10922172,46
19994915,46
1748670X,46
14673037,46
1570162X,45
15691705,45
09218319,45
01412760,44
10217401,44
01971522,44
03855600,44
17402522,43
10408401,43
09239820,42
1040841X,41
0393974X,41
0908665X,40
01711741,40
0004069X,40
17534259,39
23971983,39
11396709,39
09563202,39
02559625,39
17424690,38
00262633,37
14492288,36
15548600,36
20556640,36
14752875,36
07388551,35
13891723,35
0922338X,34
15571858,34
03784738,33
18670334,33
20734468,32
11645571,32
17101484,32
09540105,32
19450494,31
16789180,31
22132244,31
09391983,29
09680519,29
09168451,28
08828245,28
00221260,28
23266066,27
22117539,27
15297322,27
03075494,26
11925612,26
08905436,26
15178382,26
10177825,25
14246074,25
01081675,25
10932607,24
18788181,24
02776766,23
1049233X,23
19450516,23
03926699,23
22133291,22
21907188,22
17494613,22
07173458,22
01475975,21
00074985,21
00900877,21
09254692,21
01694146,21
19466536,21
09020055,21
10446672,21
16841182,21
09602178,21
09965637,20
15733955,20
15457885,20
22494669,20
1687918X,19
04406605,19
07326580,19
00442208,19
18715230,18
02651351,18
16879686,18
1743422X,18
0923179X,17
10536426,17
02717352,16
17444292,16
15321819,16
02681218,16
00155500,16
00329592,16
01384988,16
12178950,16
17920981,15
10600051,15
03915352,15
12268372,15
20477724,15
12258873,15
02650762,14
15403416,14
08644551,14
09280197,14
08935300,14
09311793,14
14729725,14
10603999,14
00262617,13
14712172,13
18715281,13
00378682,13
03653439,13
01496085,13
01787888,13
15219437,13
03610470,13
20367473,12
16740769,12
1547691X,12
09717196,12
09368671,12
14723646,12
15451097,12
1895104X,12
01460749,12
00234001,12
01633767,11
02314622,11
