ISSN,Nombre de publications
10980121,10556
03048853,4544
09538984,4117
24699950,4112
07437463,4027
09258388,3681
19327447,3600
13597345,3538
00406090,3518
09214526,3433
00381098,3391
00249297,3297
00224596,3174
0022328X,3133
00396028,3094
01694332,3027
00223093,3008
15206106,2896
00223115,2739
00189464,2728
00220248,2579
00223727,2565
00304018,2529
00219797,2353
08974756,2236
00323861,2189
03796779,2109
00143057,2097
09203796,2087
03701972,2010
00222461,2004
02578972,2000
09215093,1947
00134651,1891
11440546,1882
00218995,1859
13596454,1818
09214534,1789
00255408,1742
00318965,1727
14346028,1616
09552219,1590
01631829,1513
00086223,1466
01679317,1421
00223697,1401
01672738,1398
12860042,1372
09599428,1368
16310721,1365
09215107,1344
00262714,1339
10518223,1304
19448244,1301
09500618,1230
00381101,1226
00201693,1172
00295493,1155
00150193,1139
20403364,1125
15306984,1118
03767388,1116
01448617,1113
09574484,1095
00088846,1091
09253467,1085
00207683,1085
09254005,1040
09359648,1036
01413910,1031
0010938X,1010
13871811,1008
09478396,997
12928941,974
03770486,946
13596462,942
00222291,932
00189383,908
10847529,892
00027820,860
19360851,854
09270256,823
02638223,816
10411135,816
02540584,810
01480227,804
02775387,800
12932558,794
15287483,785
09244247,781
08952477,769
01677322,766
18626300,764
00119164,753
00351563,752
10221360,751
00431648,748
02728842,742
0887624X,739
01429612,733
15257797,730
0167577X,727
09259635,712
02681242,705
1616301X,693
17599954,689
10221352,681
09240136,653
02663538,650
00063525,647
0021891X,640
01422421,634
12962139,633
07496036,632
1359835X,620
19516355,617
20507488,614
0277786X,607
01418610,606
03043991,603
0301679X,603
07342101,595
09270248,588
10735623,576
01421123,574
09977538,570
13869477,564
07491581,563
01519107,554
00137944,551
13595997,537
0042207X,537
0038092X,537
16005368,529
09280707,527
00326895,524
01700839,521
03682048,515
02678292,508
02641275,492
01676636,490
03054608,488
20507534,486
19606206,485
08876266,484
07496419,481
14761122,480
12660167,478
14337266,475
00936413,469
00323888,467
08842914,466
09598103,464
0303402X,457
16136810,456
09284931,453
00108545,441
03615235,426
00354511,417
09532048,416
14381656,412
09574522,409
03770257,405
13598368,404
01411594,396
00112275,395
00304921,393
10120386,390
00457949,386
03639061,384
10221336,381
02618028,380
00262692,379
00219614,377
10445803,372
07413106,370
15571939,368
09669795,368
03043886,361
07424787,359
03421791,356
00207403,350
00207225,347
17427061,343
03009440,343
18645631,342
01486055,340
15361055,340
01429418,338
09690239,336
09641726,333
15334880,323
15421406,316
03068919,316
0030770X,315
00219304,312
17425689,309
14544164,309
22577777,309
10420150,307
01694243,307
17516161,305
01437496,305
00223735,304
00219983,302
10599630,302
10933611,300
13698001,282
09574530,278
10427147,272
09601317,270
09589465,261
8756758X,261
00183830,255
10895647,253
16128850,252
13880764,252
20282508,249
03797112,242
13877003,241
02724324,240
09251030,238
17494885,237
10238883,232
12962074,232
00218464,231
09638695,225
09477047,223
00303909,223
14328488,222
09650393,221
0160564X,216
17483387,214
10833668,213
02580322,212
09475117,210
20408978,210
00303992,207
13506501,207
13835416,204
14345021,201
1045389X,196
00221481,196
23342536,193
02670836,189
13590294,188
20507518,188
15661199,188
09467076,188
13815148,187
14387492,187
16146832,187
02728397,186
01438166,185
00405175,184
08927022,181
14732262,180
03913988,179
09205071,178
10637834,176
13504495,175
00033146,174
09351175,171
03743535,171
18626254,170
19317573,170
08857156,169
21662746,168
0218625X,168
03080161,166
10599495,165
10812865,163
00437719,163
10990062,160
01932691,159
03736601,158
09592989,156
18625282,153
00304026,152
11697954,149
00442968,148
0304386X,148
15493296,148
10402004,145
10637826,144
02729172,144
00796700,143
13506307,141
09340866,140
15376494,139
00183768,138
09684328,138
02670844,138
02321300,134
00432288,134
01095641,133
16134982,131
19376472,131
0030400X,130
00944289,130
09648305,129
02786826,128
0929189X,128
10582916,126
15803139,126
10050302,126
10474838,125
10407278,124
13886150,124
21922640,124
00443093,124
10406638,123
14757435,123
10567895,122
10627995,121
20525192,118
07217250,116
16165187,115
09603409,114
22112855,114
20518153,113
0930777X,112
10735615,111
09151559,110
10685200,110
00109312,109
00347752,109
03080501,108
21646325,108
19980124,107
10775463,107
17435889,107
15430537,107
09660844,106
18638880,106
07316844,103
14668033,103
00958972,102
16874110,101
22387854,101
01678442,101
19378718,100
08991561,100
11769114,99
09205063,99
1450216X,99
15499634,98
15662543,97
13459678,96
00319090,95
1864063X,95
15524973,94
1788618X,92
10637745,92
14397676,92
07921241,92
21628769,91
19378726,91
08837694,90
15304388,90
13802224,89
23294124,89
09673911,89
24680230,88
02661144,87
00222348,86
21563381,86
17565901,85
00325899,84
21563950,83
16113683,83
10221344,81
03404285,81
05769787,81
20955545,81
09659773,80
0143974X,79
02504707,79
15671739,78
1555256X,78
15698025,78
13852000,77
1091028X,77
02634368,77
2050750X,77
10229760,77
23279125,77
20474830,76
14306395,76
1042346X,76
14686996,75
10601325,75
03666352,75
10933263,75
1546542X,74
13590286,74
15741443,73
03346447,73
14666049,72
02188635,72
15278999,71
02613069,71
15694410,71
00359475,71
13853449,70
19321058,70
1023666X,70
09540075,69
1478422X,69
09276513,69
00171557,69
19326254,69
00323896,68
03663175,68
00796786,68
00903973,67
10637818,67
00405000,67
1110662X,66
10426914,66
19373341,66
08827516,65
00152684,65
20516347,64
20411286,64
08943214,64
09335137,64
09276440,64
00319104,64
16878434,63
10584587,63
0022328x,63
20428898,63
19708734,63
20507526,62
00161152,61
15280837,61
09517197,60
1862832X,60
08946507,60
10973958,60
17333490,59
00989886,58
17588251,58
10549714,58
00084433,58
13565362,57
01468030,57
22713646,57
10139826,57
07339445,57
10274510,56
15477037,56
08999457,56
07173644,56
15440478,54
14644177,54
13621718,54
09518339,54
00249831,54
10925783,54
08961107,53
19376480,53
09287329,53
16065131,53
13697021,52
14542331,52
17480272,52
09507116,52
1536383X,52
24519308,51
00796425,50
14802422,50
26424150,50
22145095,50
08927057,50
09277056,50
15700755,49
15462218,49
00171050,49
00028711,47
10710922,47
01675729,47
09168524,47
09540083,47
09483276,47
1876990X,47
08607052,46
00255289,46
03237648,45
00224766,45
10623701,45
14644207,44
00201685,44
15461955,44
13640461,44
08327823,44
09149244,44
18426573,44
13542575,44
17585082,43
0340255X,43
02773813,43
01495739,42
09323902,42
00796816,42
17486041,42
12299197,42
10634576,41
08839115,41
10910344,40
12303402,40
10036326,40
19348630,40
14328917,40
0889325X,39
16717694,39
15161439,39
21944946,39
02832631,38
02726343,38
02521059,38
16829344,38
19325150,38
08837554,38
0930486X,37
15213331,37
0917639X,37
21596859,37
01371339,37
20556756,37
13899333,37
0219581X,37
10589759,37
07315171,36
14350211,36
00104361,36
10010521,36
0340224X,36
0965545X,35
10996362,35
09556222,35
03019233,35
16625250,35
14658011,34
20776772,34
14709589,34
21997446,33
25225731,33
16742001,33
18951066,33
00070599,33
15470091,33
00360236,33
18820743,32
10020071,32
17442591,32
02884534,32
16879422,32
17590876,32
17436753,32
09722815,32
14226375,32
09608974,31
0021955X,31
00205214,31
00322725,31
03346455,31
10835601,31
01291564,30
03053091,30
10241809,30
1002185X,30
19475454,30
16378962,30
0031918X,30
19472935,29
14513749,29
2150766X,29
17480132,29
21905509,29
09144935,29
09467475,29
00914037,29
23720484,29
16187229,28
08625468,28
1385772X,28
12303666,28
17418410,28
01486411,27
01915665,27
15989623,27
03704467,27
00345806,27
20702051,26
20103247,26
08266220,26
0023432X,26
20491220,26
00255300,26
22142894,26
2374068X,26
15623920,26
0927796X,26
00202967,26
1881218X,25
10579257,25
08843848,25
21928576,25
1550624X,25
1949307X,25
14246074,25
15507033,25
00785466,25
19373368,25
03063453,24
01445871,24
16797817,24
19485085,24
15477029,24
2452199X,23
0889311X,23
01937197,23
22237690,23
10840184,23
00338443,23
20426445,23
15822214,23
05891485,22
01406566,22
07306679,22
13468014,22
10069321,22
08931321,22
05698197,22
00157473,21
03529045,21
12256463,21
12299367,21
10263098,21
10667857,21
11217588,21
13364561,21
15736105,21
10611452,21
02567679,21
22414487,20
16747321,20
15985032,20
17533546,20
0334181X,20
17936047,20
08853282,20
13544063,20
25902393,20
21984220,20
16879384,20
04121961,19
10437398,19
10261265,19
00234753,19
24522139,19
2199384X,19
10613862,19
1509409X,18
10647562,18
23528478,18
17533562,18
19395981,18
02656582,18
10067191,18
15600904,18
15470423,18
10928669,18
00375225,17
09347348,17
10275495,17
10096264,17
1749785X,17
09349847,17
1068820X,17
09636935,17
1551319X,17
03602559,17
01970216,17
04545648,17
02874547,17
16744926,17
00432296,17
09243046,17
20952899,16
1747650X,16
13928716,16
01774832,16
1539445X,16
20958099,16
25101560,16
00303917,16
15583724,16
07540876,16
12225347,16
03666913,15
22256253,15
00432822,15
22139567,15
16744799,15
24682284,15
00368792,15
00379859,15
21919089,15
1555130X,15
0004881X,15
17515831,15
10876596,15
00796727,15
21946418,15
15833186,15
15321797,14
09506608,14
22340912,14
15802949,14
02043467,14
15577910,14
14630184,14
03710459,14
02624893,14
10555269,14
04652746,14
10241221,14
00911062,14
03618773,14
14723581,14
10530495,14
11819510,14
05075475,14
09714588,13
10810595,13
03071693,13
14764865,13
02587025,13
03699420,13
19950780,13
02532239,13
03346005,13
09281045,13
15848663,13
21941459,13
0019493X,13
21909385,12
23297662,12
20506252,12
10657355,12
10543414,12
19414900,12
03602141,12
0371750X,12
20525206,12
15514897,12
09667822,12
00348570,12
10971963,12
07921233,12
18844049,12
0032678X,12
0039095X,12
10709789,12
22264108,12
12299162,12
02656027,12
21514798,12
09679782,12
18112382,12
01633767,11
16876393,11
1006706X,11
17465095,11
22297928,11
21680396,11
20459858,11
16052730,11
17532507,11
18833578,11
20476841,11
00456152,11
10893954,11
15691713,11
2010135X,11
14281511,11
0350820X,11
00952443,10
19475411,10
17904439,10
15845982,10
20963459,10
01252526,10
20952759,10
20958226,10
10681302,10
10408436,10
00029726,10
01496123,10
23116706,10
18206131,10
21939764,10
21650373,10
18670520,10
15606074,10
1475925X,10
00260657,10
15177076,9
07356161,9
17458080,9
12297607,9
0376723X,9
15980316,9
10007555,9
21628742,9
00035599,9
07243472,9
14182874,9
03871533,9
19921950,9
10647546,9
08832900,9
10044493,9
00260576,9
20569459,9
01621432,9
18722105,9
09574565,9
16727207,9
0972172X,9
00359572,9
26899620,8
12297801,8
21522057,8
10678212,8
1226119X,8
00260673,8
14258129,8
01423304,8
25596497,8
17572754,8
16879503,8
16753402,8
20831331,8
24519294,8
21628726,8
13350617,8
1357731X,8
01440322,8
02650916,8
00071641,8
00330655,8
1000324X,8
09710426,8
09540911,8
03795462,8
03410552,8
07479182,8
87553996,8
05695503,8
14668858,8
08887462,8
13449931,8
00049417,8
09151168,8
10928081,7
17881994,7
00908657,7
07341415,7
13492543,7
10618309,7
10900268,7
14347229,7
00218502,7
22249893,7
17388090,7
09763961,7
00321400,7
13921320,7
16081021,7
10050299,7
10683755,7
00214876,7
14505339,7
04492285,7
14727862,7
21929262,7
20909519,7
17511135,7
10642269,7
07053436,7
22151532,7
