ISSN,Nombre de publications
15393755,3298
1631073X,2573
1063651X,2504
03043975,2406
00103616,1913
24700045,1772
00222488,1771
00219991,1672
03054470,1583
07644442,1555
00224715,1519
03772217,1455
03784371,1451
00221236,1398
17518113,1394
0012365X,1270
00221120,1211
0022247X,1139
13674803,1111
00218693,1096
00207683,1073
03044149,1071
0166218X,1025
00318949,1022
00029939,1015
00220396,996
1773035X,930
00029947,908
00255831,873
00225193,859
1553734X,825
03730956,825
09270256,821
0362546X,818
03630129,792
00018708,786
00209910,784
10737928,782
01672789,770
00255874,769
00295981,764
01788051,755
15710661,706
00217824,684
03770427,681
03605302,670
00039527,664
09570233,652
00754102,651
09217134,639
09517715,637
02460203,635
03779017,631
1364503X,631
10780947,620
03784754,613
0277786X,607
00361410,605
01433857,584
01956698,574
0022314X,573
01421123,571
01677152,571
00911798,567
02665611,566
00224049,566
1991959X,553
01704214,551
02182025,551
00212172,550
00927872,547
00127094,546
02941449,539
02712091,534
10505164,533
09670661,528
00255718,526
12928119,524
00200190,523
0029599X,520
13507265,515
00223239,502
07477171,496
03050548,496
03930440,475
09977546,470
00243795,455
01628828,450
00361429,449
01928651,447
03605442,445
00651036,432
14240637,432
00252611,432
08905401,422
03044068,418
08981221,418
0010437X,411
02776715,410
00129593,408
13645021,406
28227840,405
03770257,404
12928100,402
00255610,398
09249907,398
10709908,396
19357524,394
15361276,392
00379484,391
00246107,389
03321649,388
0047259X,386
00457949,385
00963003,383
00189545,381
03361454,377
09600779,374
12506559,374
15324435,370
15710653,367
10648275,362
0764583X,362
17425468,361
03769429,361
00308730,361
10541500,357
10171398,356
01692968,354
01784617,353
12467405,345
01650114,341
03783758,341
01679473,341
09442669,340
00074497,338
0003889X,337
00189340,336
00102571,336
08939659,331
00200255,331
00015342,329
00361399,328
00465755,327
00905364,326
00207721,325
00954616,324
03036812,323
14359855,323
0307904X,321
08949840,313
15320626,312
03610926,305
01651889,302
00246115,299
00219002,297
01652125,297
00973165,287
15313492,287
01787675,285
00442275,283
09218890,282
10897798,282
02181274,281
00958956,280
00246093,280
26422085,278
08857474,277
00036811,276
03082105,275
09232958,275
09601295,273
0888613X,271
01676393,268
08957177,261
00269255,260
09320784,260
01689274,257
1016443X,256
00018678,256
01795376,255
00222518,255
08954801,254
03649024,253
10506926,253
13880764,252
