ISSN,Nombre de publications
00278424,8367
00280836,5983
00368075,3580
24058440,386
02181274,281
21185735,211
2193567X,122
03781844,113
00013765,86
00113891,85
1782348X,77
10016538,77
10762787,68
18125654,66
20959273,56
00379565,52
09717218,52
12331821,50
20955138,49
13101331,49
00308870,37
02624079,36
1661464X,36
10183647,34
20901232,31
03005208,30
02529289,28
10636145,27
00368733,27
15168913,25
08903670,24
00379603,20
15469239,19
02562499,17
15131874,14
00224456,14
11391472,13
08923310,13
0253374X,13
19918178,12
18236782,11
10070214,10
01253395,10
00238791,9
1816157X,9
09704140,8
23074108,7
00086452,7
19963343,7
18184952,7
01266039,7
22143157,6
00317683,6
03036758,6
10062467,6
08695652,6
00377333,5
27668509,5
21743487,5
2473599X,5
0023074X,5
20965168,5
17419174,5
1407009X,4
15174492,4
16863933,4
07168756,4
20969457,4
00030996,4
07485492,4
10064982,4
10071172,4
02582724,4
17412242,4
19921454,4
01321447,3
10248684,3
04798023,3
13914588,3
00368504,3
05296579,3
14769263,2
20777973,2
1947959X,2
2405609X,2
00359173,2
20971095,2
27089967,2
13198025,2
22434690,2
00198447,2
09746846,2
01227483,2
13943065,2
0035922X,2
19131844,2
19909233,2
0103944X,1
00309885,1
15260054,1
16851994,1
1015079X,1
10080562,1
00195596,1
23375760,1
16794974,1
2313626X,1
0513353X,1
19057873,1
24231398,1
18060374,1
17944449,1
04932137,1
10161104,1
10071202,1
16580311,1
19453019,1
20504837,1
00804703,1
