ISSN,Nombre de publications
00353787,5636
00068993,2827
03043940,2239
02614189,2203
02706474,1997
03064522,1715
00223042,1686
0953816X,1522
10538119,1484
00144819,1361
00139580,942
03405354,941
08853185,901
00319384,886
1553734X,838
03645134,821
01664328,812
09594965,811
00219967,788
00223077,784
01460404,775
00283908,737
1420682X,736
00283932,710
09877053,688
13515101,684
16624548,640
0022510X,624
08966273,621
09608966,605
00352497,568
13872877,567
15449173,560
00283835,559
10473211,558
03604012,556
01969781,555
00016322,555
00109452,552
11496576,539
21158789,534
01651781,518
03766357,502
0148639X,499
09252312,489
09699961,486
03043959,468
13882457,467
13594184,453
00134694,445
1940087X,442
01974580,439
01650270,438
09609822,434
00913057,428
0167594X,420
09538194,416
0271678X,402
10976256,393
08941491,388
00071161,388
00426989,386
13524585,382
0140525X,381
01970186,379
03785955,377
16625102,376
10659471,374
00143022,369
03619230,369
01653806,367
0924977X,367
01497634,362
00144886,361
00063223,353
09209964,351
09284257,331
00100277,328
0721832X,325
10159770,321
00121622,318
17694493,315
03009564,310
15699048,305
02785846,290
01655728,284
13501925,282
15525260,281
15317129,273
03643190,273
15255050,269
18632653,268
12949361,268
02782626,267
10447431,256
09621105,255
01662236,252
13507540,252
0169328X,246
00315125,245
01670115,244
0898929X,243
03064530,241
0379864X,240
13538020,229
09201211,226
10158154,224
01434179,221
08936080,220
16625153,216
00223956,214
03010082,206
17601703,202
08891591,196
08937648,196
00928240,195
09594388,194
08863350,186
00144835,185
0093934X,183
00303755,181
16625099,179
03051846,178
00057959,176
10509631,174
10156305,173
10506411,170
00961523,168
17474930,165
08997667,165
15524841,163
0018506X,159
0950222X,158
13646613,156
03785866,156
08874476,156
1363755X,152
22110348,151
00121630,148
10870792,147
08910618,147
03407594,146
07365748,145
01678760,142
00016314,142
00303747,140
00223069,139
03010066,139
10591311,136
10747427,132
1935861X,132
09893105,131
17412560,130
00178748,129
0161813X,129
13624393,126
00315117,125
14208008,125
17548403,122
10720502,121
01680102,120
0302282X,117
00222895,115
16398319,115
00485772,115
14734222,114
16625161,114
07357044,114
11554452,114
03877604,113
09295313,113
16625137,113
14737175,111
01651838,110
02713683,109
08958696,108
08878994,106
09401334,106
12948322,104
08878250,103
08856222,103
03010511,101
19433921,101
16625110,101
03004864,101
01688561,99
13646745,99
09266410,99
0172780X,99
15681637,98
09675868,98
00223034,97
10859489,97
02699052,96
02724340,93
15622975,93
1471003X,92
17594758,92
22143599,91
13985647,90
08960267,87
03640213,85
13803395,85
19336918,83
0100879X,83
01650173,82
09226028,82
02643294,82
15660702,81
15344320,81
09116044,79
16124782,78
00963445,77
16735374,77
07225091,75
03171671,74
15475654,74
15509389,74
01616412,73
00207454,73
18777171,72
13550284,72
00124486,71
09574271,70
23273798,69
20905904,69
13506285,68
16011848,67
14203030,67
19328451,67
01650254,67
10947159,66
02637103,65
09254927,63
10298428,63
11804882,63
21678421,63
00187208,62
00218359,62
16625145,61
17482968,61
22150366,60
17624231,59
13704621,59
00810746,56
07418329,55
01685597,55
15265900,55
18789293,55
17528054,54
03341763,54
17495016,54
13509462,54
13546805,53
02196352,53
09534180,53
09525238,53
00068977,52
15459683,51
09599851,50
13556177,50
11406576,49
15672050,49
13231316,49
16625188,47
21938253,46
1570159X,46
15307026,46
07360258,44
10217401,44
0004282X,44
15687759,44
09558829,44
09642633,44
19393792,43
10738584,43
15347362,42
0261510X,42
00778923,42
19317557,42
18669956,42
16602854,42
2329423X,40
08857490,39
15434494,39
02755408,38
10158618,38
00913022,37
02687038,37
08920362,36
0954898X,36
15392791,36
11766328,35
01677063,35
15284042,35
18715273,35
08896313,35
1028415X,34
08936609,34
16878337,34
15739538,33
10597123,33
17568757,32
17486645,32
03935264,32
16875265,32
02698803,32
19365802,31
19336896,31
17562856,31
10950680,31
1385299X,30
15253961,29
18714080,29
01441795,29
10253890,29
16625129,28
00904996,27
03920461,27
14796708,26
18684483,26
0964704X,26
17583837,26
2213445X,26
15548716,26
00651400,26
08990220,25
13542516,25
00283886,25
17470919,24
10447393,24
