ISSN,Nombre de publications
00380814,2903
12938505,2760
1258780X,1955
19572557,1723
11663413,1677
00079960,1597
16240693,1537
02416972,1316
12686034,1282
00392499,1184
12594792,1117
09850562,1076
12797960,1050
17709857,1009
16374088,958
00071145,926
09901310,822
16366522,817
00223166,817
02423960,783
01832980,768
00029165,724
17667305,720
01510193,700
01495992,694
09608923,692
02615614,626
16296583,598
17783798,591
00225142,562
12797707,505
09503293,502
03070565,501
17654629,486
03009572,465
09543007,452
00401374,415
01956663,360
02506807,327
02940337,318
14366207,314
13689800,288
19515995,270
15258610,241
10158154,224
08999007,218
12975354,211
03974626,205
09552863,204
19307381,194
13631950,188
18787649,184
01486071,159
01635581,158
01674943,149
02715317,147
09394753,139
00261270,139
03009831,135
10219056,128
09580670,126
09690700,126
24966142,124
17155312,115
00296651,108
10512276,97
17564646,97
09579672,96
1746630X,93
10416102,91
17408695,89
08921997,88
07315724,87
00928615,86
12798479,84
13595237,81
19332874,78
03836320,77
17538157,74
13895729,73
08853924,72
09803483,70
17662389,69
17604133,68
02676591,67
03066800,67
08930341,66
2045435X,61
24054577,60
10217762,53
13607863,53
17625688,51
1049023X,51
16641531,50
09544224,50
14441586,48
13533452,48
00296643,46
13446223,46
00207489,45
10966218,43
17760550,42
20476302,41
21618313,41
00258024,41
03004430,41
03092402,40
1096620X,39
15929558,39
17519918,38
09523871,38
02687038,37
17238617,36
1028415X,34
02666138,33
19322259,33
03795721,32
17425653,32
1067991X,31
07149808,30
15498417,30
09643397,29
03010422,29
15691101,28
11781653,27
10638652,27
14623889,26
10903127,26
11738790,25
09621067,23
02121611,23
14789515,23
00257273,22
17517885,22
15265161,22
20486790,21
07405472,21
14745151,21
17477166,21
10367314,21
1871403X,20
13463500,20
22118160,20
11211539,20
14015439,19
1526484X,19
15734013,19
14719827,19
09660429,19
22122672,19
13522779,19
00219924,18
09120009,18
26881527,17
13867415,17
1752296X,17
08845336,16
14636778,16
00315990,16
21911231,16
10749357,15
20900724,15
00028223,15
16546628,15
09652299,15
14718731,15
02606917,15
17474108,14
09647058,14
0029666X,14
10447946,13
00315982,13
13621017,13
15269523,13
00224197,12
00029289,12
17514258,12
15718883,12
22964681,12
15568253,12
00208132,12
1973798X,12
15508307,12
26672685,11
09697330,11
05123135,11
09631801,11
09660461,11
02144603,11
2168023X,10
08881294,10
23529393,10
01753851,10
09666532,10
13551841,10
0162220X,10
13580574,10
00169013,10
14994046,9
10623264,9
14227584,9
15249042,9
15325024,9
00346659,9
15547477,9
09486704,9
17571774,9
20726643,8
17482623,8
01974572,8
00264776,8
03605310,8
1121421X,8
14782189,8
16600347,8
14777509,8
15277941,7
14410745,7
21731292,7
14639238,7
07317115,7
00165751,7
14634236,7
02738481,7
18775756,7
14715953,7
17556678,7
15275299,7
11298723,7
07415206,7
07334648,7
13368672,7
08825963,6
14155273,6
01041169,6
13682156,6
01043552,6
19390211,6
10767460,6
03014800,6
12959022,6
08109028,6
13674935,6
14622815,5
10638628,5
24680451,5
17938759,5
19427891,5
20966709,5
13676539,5
25300164,5
11353074,5
15394182,5
01612840,5
1755599X,5
17511437,5
13576321,5
00259284,5
00040622,5
21501319,5
18761399,5
21532168,5
09699260,5
17471060,5
19328621,5
00020443,5
09638172,5
00234508,5
22245820,5
14458330,5
10921095,4
08839417,4
00991767,4
20479700,4
00806234,4
01040707,4
13575279,4
15331458,4
21650799,4
21541663,4
20502877,4
14795248,4
15198928,4
23743735,4
10731105,4
16070658,4
16629647,4
10788174,4
02601060,4
00903159,4
19765681,4
15276546,4
16616677,4
10653058,4
1394035X,4
15407535,4
03403602,4
16805194,4
02703181,4
11308621,4
09562737,4
09592598,4
00075140,4
00842230,4
17602882,4
02810662,3
17549515,3
07238886,3
2211419X,3
18797717,3
10501606,3
1439670X,3
03616274,3
15925986,3
01924788,3
09482393,3
01740008,3
08932905,3
20790570,3
13227114,3
12300322,3
10884602,3
13510126,3
15271544,3
10899472,3
1134248X,3
14406381,3
1545102X,3
15248399,3
07177518,3
14999013,3
17523281,3
08880395,3
14888408,3
14416638,3
14624753,3
02116057,3
15365026,3
10783458,3
14815532,3
15347656,3
27697061,3
10361073,3
08932190,3
0190535X,3
19761457,3
00347167,2
01956086,2
23276886,2
22871098,2
20534345,2
22233806,2
08740283,2
25903233,2
15443191,2
08980101,2
17434971,2
10787496,2
14148536,2
03084329,2
11026510,2
17556228,2
19404921,2
07492081,2
08971897,2
23520132,2
02795442,2
00296562,2
17884934,2
09641866,2
14247364,2
10482687,2
