ISSN,Nombre de publications
00404039,9147
00404020,4366
05153700,2764
00664804,2746
00142999,2269
03057453,2103
00034509,2076
02235234,1777
00222623,1676
00062952,1534
03785173,1515
00071188,1447
0960894X,1272
07673981,1223
02697491,1001
00223565,988
0021793X,952
00243205,947
09680896,861
07533322,853
01602446,824
00316970,817
01633864,786
03065251,783
00333158,766
11571497,748
00283908,737
1420682X,736
0026895X,653
0018019X,604
16248597,603
03855414,559
01683659,543
00410101,541
07317085,539
03445704,505
08872333,494
00223549,494
03624803,493
02786915,466
07248741,461
01425463,451
10431802,437
00099236,430
00913057,428
03784274,410
00320943,408
0300483X,401
00044172,382
0039128X,374
00281298,370
09396411,368
0924977X,367
03788741,364
13816128,363
13596535,357
03699579,353
01634356,349
15250016,344
00092797,342
03405761,340
00654299,339
03125963,336
23520078,326
0041008X,325
0893133X,322
01663542,320
00320994,312
09594973,311
01656147,300
02732300,291
02785846,290
03639045,284
18607179,284
09280987,280
01145916,275
10436618,271
00909556,271
15563650,266
00223573,261
09298673,258
00084212,258
08990042,254
1934578X,250
01920561,249
21645515,248
03787966,240
0893228X,235
10966080,233
07532830,232
07422091,231
01676997,228
00247804,221
07586922,220
00912700,218
03015149,216
01407783,216
14756366,215
13596446,214
0265203X,209
01492918,208
01637258,205
00039780,202
15438384,195
00928240,195
14656566,193
0367326X,190
09639292,189
00498254,189
20461402,189
0169409X,188
00452068,188
1099498X,187
00092363,184
01456008,184
03768716,183
01464760,183
02939908,180
00316865,180
07350414,179
10451056,175
03051870,175
09203206,173
03625664,173
00904341,171
10752617,171
10826076,170
10766294,169
00074861,169
00218820,168
0260437X,164
00317012,163
00317144,163
14760584,158
0031711X,158
17697344,158
09462716,154
08906238,153
09603271,152
11707690,148
03786501,147
13543784,145
11571489,143
02724391,140
10745521,139
19427603,138
00093157,137
0951418X,136
17732247,135
1062936X,134
0161813X,129
14712598,128
14714892,127
15680266,127
02693879,125
02652048,124
21922640,124
09580344,123
0920654X,122
21684790,122
13608185,121
02694727,119
15320456,117
10568719,117
09224106,116
0011393X,116
03063623,115
00224901,114
19440049,114
13556215,114
14622416,113
03663507,112
17576180,112
1120009X,111
01926233,110
09558810,110
03790355,110
03064492,110
07439539,107
03064603,105
02698811,103
14611457,101
16605527,100
11769114,99
01744879,99
10233830,99
01688561,99
15499634,98
17568919,97
03778282,96
13894501,96
18681743,96
14741776,95
15665232,94
22107703,91
14728222,91
01456296,91
15249557,90
0014827X,89
17435390,88
15204081,88
01422782,87
02678357,87
18715206,86
00316989,86
0258851X,86
15675769,86
00316997,85
20402503,84
13826689,83
0100879X,83
10220178,83
17425255,83
03798305,82
13543776,82
13880209,81
01651218,81
02650568,80
10603271,78
03656233,78
0960314X,78
17427835,77
1061186X,75
02669536,74
09447113,72
17425247,72
08854513,72
18715265,71
09461965,71
17555930,70
16993993,70
15733149,69
13895575,68
00222135,67
1567567X,67
10542523,66
11738804,66
17460441,65
10298428,63
10792082,63
00403709,61
00345164,61
01623109,59
0768598X,59
01458884,59
07428413,58
03946320,58
13892010,58
10408444,58
13862073,56
10760458,56
17470277,56
07418329,55
09019928,55
15701808,55
15371891,55
17528054,54
15384047,54
1470269X,53
02511649,53
09402993,52
09297855,52
02496216,52
17512433,52
10807683,51
00405973,51
08675910,51
19337213,51
09281231,51
15590631,50
15287394,49
14608081,49
00156264,49
08923973,49
1868596X,49
19412711,49
13697056,48
01480545,47
14724472,47
14203049,47
1611020X,47
10870571,47
1570159X,46
0090466X,46
24519456,46
10837450,45
09218777,45
09218319,45
08982104,44
01605402,44
01971522,44
10752765,43
15361241,43
08958378,42
10849785,42
02611929,42
14728214,41
17407745,41
03602532,41
1364369X,40
01646826,40
00148237,40
11766336,39
16874757,39
17446872,39
09563202,39
10543406,38
22147500,38
01972456,37
15391604,36
01986325,36
08920362,36
15548600,36
24518654,36
11745886,36
00042927,35
18715273,35
15680096,35
10872906,34
17833914,33
2190393X,33
19375387,33
07313810,32
10717544,32
20734468,32
11771062,32
10606823,32
17562856,31
16789180,31
10988823,31
13687646,31
17410541,30
07318898,30
14222868,30
13811991,30
02140934,30
17480132,29
10915818,29
00347752,29
15680118,29
13892002,29
01441795,29
09186158,29
07925077,28
15734064,28
15376516,28
07313829,28
15517411,28
01651110,27
01651161,27
08975957,27
16714083,27
10937404,26
26328682,26
14648431,26
10742484,26
17625858,26
2160763X,26
03075494,26
20415990,26
19338244,25
14246074,25
15307905,25
18750710,25
22995684,25
10956670,25
15507416,25
00984108,24
03863603,24
15507033,24
11782595,24
13190164,24
0970020X,24
25094262,24
