ISSN,Nombre de publications
00319007,16848
00046361,16116
10980121,10556
00218979,8736
00219606,8015
00036951,7663
00358711,7646
0004637X,7118
03702693,6705
01631829,6121
10502947,5043
01689002,4717
03048853,4541
09538984,4116
24699950,4080
07437463,4024
02955075,3980
14639076,3888
05562813,3692
00406090,3517
00092614,3509
03759474,3461
09214526,3429
00381098,3391
15393755,3298
15507998,3288
0168583X,3205
00224596,3174
00396028,3094
01694332,3026
00223093,3007
01469592,2885
00221120,2770
00223115,2731
00346748,2584
00220248,2577
00223727,2563
00304018,2527
1063651X,2504
05503213,2502
24700010,2496
1559128X,2486
11266708,2434
10706631,2392
03759601,2291
00014966,2282
00189499,2136
14346044,2112
03796779,2109
00143057,2089
00191035,2080
03701972,2010
02578972,1998
09215093,1946
00103616,1919
00224073,1874
00222852,1851
1070664X,1825
02731177,1816
09214534,1789
24700045,1787
00222488,1772
00255408,1742
00318965,1727
00219991,1678
1744683X,1659
03010104,1639
14248220,1637
14346028,1618
09534075,1618
03054470,1591
05562821,1583
03603199,1558
00295515,1554
00224715,1520
00268976,1494
03784371,1452
24699926,1444
01679317,1421
00179310,1416
00223697,1401
17518113,1400
09277757,1398
01672738,1398
0022460X,1390
12860042,1371
09215107,1343
00262714,1338
24699985,1310
10518223,1301
20418205,1258
16310705,1254
00320633,1241
00381101,1224
00457825,1186
13672630,1186
00295493,1149
00150193,1139
00222313,1139
09205632,1136
15306984,1114
07403224,1100
09253467,1083
00207683,1080
14346001,1080
14346060,1080
02649381,1065
00223719,1045
09254005,1040
03603016,1034
01413910,1029
07413335,1029
00318949,1028
00046256,1027
13871811,1008
00406031,974
12928941,974
13596462,940
00223700,938
14394235,933
00222291,925
01480227,925
00380938,919
00102180,909
10847529,888
19360851,850
01448420,849
09090495,847
09270256,822
0004640X,815
10411135,814
02540584,809
07338724,802
01709739,798
12932558,794
00386308,787
15287483,781
00214922,777
09244247,777
10106030,776
01672789,770
08952477,769
18626300,763
00933813,762
01677322,759
09462171,756
00189480,754
00351563,752
10221360,751
00207608,750
00431648,747
09927689,745
03693546,740
0167577X,727
03783812,726
08853010,713
02681242,705
07234864,703
00319201,697
03043843,696
09630252,693
00189197,692
00670049,688
12900729,687
1616301X,685
10221352,681
00189456,673
00104655,668
09570233,653
00225096,642
09517715,641
1364503X,635
01422421,633
03779017,632
07496036,632
0041624X,627
17452473,620
19516355,615
18626351,615
0277786X,607
01418610,606
03043991,603
0301679X,601
1058725X,598
07342101,595
01661280,594
09543899,587
09277765,578
10735623,576
09977538,567
