ISSN,Nombre de publications
00034487,4264
02229617,2804
00352942,2033
1258780X,1955
11523336,1375
12784699,1294
12865559,1005
0999792X,990
00319384,886
07627491,868
00283932,710
02428962,708
01650327,600
17783798,591
13872877,567
00109452,552
00401625,552
00035033,546
21158789,534
02971194,529
00409375,508
00332984,475
12691763,463
03373126,449
16289676,403
00411868,398
0079726X,397
0140525X,381
00137545,377
11581360,365
12665371,363
01497634,362
01956663,360
12452092,355
00100277,328
14202530,317
17694493,315
11629088,313
11644796,296
11570466,296
00016918,293
11551704,276
02562928,274
0251737X,269
01654896,267
02782626,267
00405833,264
00207578,263
16205340,250
00315125,245
1370074X,240
00332917,234
01679457,233
16343298,233
10188827,228
10158154,224
16625153,216
13728202,215
10538100,212
21185735,211
02496739,211
17601703,202
17470218,198
07559593,193
14359448,191
03400727,184
0093934X,183
00220965,183
02504952,173
00462772,173
00961523,168
10699384,168
13646613,156
01623257,156
09567976,154
11545232,152
09540121,152
1363755X,152
16233883,151
01918869,148
00121630,148
00485772,147
01679236,144
00332941,143
01678760,142
1554351X,141
03010066,139
03787931,139
12624586,135
10747427,132
13698478,132
00207594,130
09337954,128
14690292,127
00315117,125
0090502X,125
07475632,123
10720502,121
00333190,118
07426046,118
0302282X,117
00222895,115
16625161,114
11554452,114
0992986X,114
08914222,113
00223999,110
0269994X,107
02499185,106
11244909,106
03064603,105
19563485,104
10461310,104
19433921,101
03010511,101
14154714,100
00221031,100
09266410,99
09640282,99
02787393,97
01674870,97
02699052,96
10416102,91
02963981,90
15161498,89
0749596X,88
0008400X,88
09658211,88
14210185,86
03640213,85
13803395,85
0010440X,85
02983850,83
02724944,83
08944105,83
24964476,83
03038300,83
02643294,82
10579249,82
01636383,81
17401445,80
09116044,79
16124782,78
03836320,77
03050009,77
00963445,77
08852014,74
11961961,74
02544962,73
0361073X,72
00018791,72
23273798,69
00219630,69
13506285,68
17604133,68
01650254,67
16183169,66
00223514,66
08930341,66
16335767,66
01452134,64
00121649,63
13546783,63
10253866,63
01764268,62
1357650X,62
00187208,62
0144929X,61
09224777,61
00470767,60
09602011,60
02699931,60
00222496,59
20445911,59
00224545,59
09541446,58
03788733,57
02724987,57
00365041,57
08908567,56
00483486,56
10530509,56
00040002,56
07357036,56
00333174,55
0096140X,54
08884080,54
00906905,54
17495016,54
09534180,53
00332879,53
10914269,52
10905138,52
09594752,52
00219029,51
15250008,51
13556177,50
10597123,50
07495978,50
01690965,49
17509467,49
14706423,49
00093920,49
08827974,49
10724133,49
12655449,49
01461672,48
18754791,48
13623613,48
13548506,47
10416080,47
10870547,47
10907165,47
22148043,47
13591053,46
1612197X,46
13558250,46
13825585,46
0033295X,45
01639641,45
01446665,44
03012212,44
01471767,43
00365564,43
00220221,43
10577408,42
03067297,42
08943796,42
00904848,42
0261510X,42
08870446,42
08952779,41
03004430,41
15283542,40
10596011,40
02646838,40
18785158,40
08876177,40
13812890,39
00071269,39
15434494,39
01014838,38
00989258,38
16579267,38
87565641,38
01427164,38
20625871,38
10407308,37
02687038,37
0144686X,37
14720817,37
09297049,37
10298649,37
00220663,36
00027642,35
09565221,35
02103702,34
00332623,34
03051862,34
10413200,34
00070998,34
0732118X,34
01907409,33
15443558,33
00332828,33
17456916,33
17486645,32
13796100,32
17568757,32
02698803,32
07159684,32
10169040,32
10505350,32
10550496,32
02683946,32
09636625,31
0803706X,31
00029556,30
07085591,30
09637214,30
10407413,30
11925604,29
10253890,29
09515089,29
23279095,29
18649335,29
15323005,29
03600025,28
01401971,27
01035665,27
00904996,27
0167482X,27
14660970,27
10215573,27
10534822,27
00219010,27
00100285,27
01602896,26
15548716,26
2213445X,26
00220175,26
15227227,26
19485506,25
00914150,25
14710153,25
19313896,25
01467239,25
00029548,25
08862605,25
07433808,25
17405629,25
00902616,24
17470919,24
14614456,24
00356492,24
18688527,24
08884781,24
05333164,24
00223506,23
00207144,23
15677095,23
14789515,23
0162895X,23
1556407X,23
14137372,23
00219762,23
1359432X,23
00207187,22
10769242,22
02112159,22
00221325,22
13684302,22
1076898X,22
00225061,22
18762018,22
02724995,22
01410423,22
01691015,22
15534510,22
10400419,21
07405472,21
19395078,21
13875868,21
10489843,21
00239690,21
00918369,21
18951171,21
00218863,20
00223980,20
1080563X,20
07351690,20
11209550,20
19324502,20
10529284,20
2352250X,20
03057356,20
22134794,20
00218774,20
23781815,20
21522715,20
00332836,20
11387416,19
00224499,19
07481187,19
09631798,19
02791072,19
15681475,19
00977403,19
08943257,19
17540739,19
10888438,19
10633995,19
10900586,19
15937879,19
00926566,19
07347332,18
03938255,18
1354067X,18
01023772,18
07370024,18
10155759,18
10508414,18
00070955,18
01497189,18
00219924,18
17580846,17
00393320,17
01915886,17
21711976,17
10949313,17
03630234,17
10705503,17
10725245,17
00333123,17
08949867,17
00057916,17
10403590,17
09593543,17
17506980,16
1359107X,16
00332909,16
01443410,16
00057967,16
21748144,16
00333182,16
00223891,16
14469235,16
1791261X,16
00218308,16
00204277,16
10887423,16
15333175,16
00952990,15
21920923,15
10615806,15
15433633,15
00472328,15
09448160,15
00472891,15
10731911,15
15294145,15
01027182,15
0003066X,14
10550887,14
13668250,14
15248372,14
02786133,14
0261927X,14
1357034X,14
20448295,14
09365907,14
00071102,14
0885579X,13
13591789,13
21622965,13
1750984X,13
13524658,13
02715309,13
10621024,13
02762366,13
13665626,13
17512271,13
15298868,13
1040726X,13
16140001,12
01973533,12
0361476X,12
15718883,12
0009398X,12
10892680,12
20451253,12
10934510,12
0096882X,12
03043487,12
10690727,12
0092623X,12
14695405,12
24210684,12
08856257,11
00225002,11
13811118,11
09545794,11
18095267,11
0965075X,11
21573905,11
12342238,11
1350293X,11
0278016X,11
1413294X,11
0961205X,11
18715249,11
1874897X,11
19333196,11
10481885,11
00250279,11
09426051,11
1068316X,11
09331719,11
01430343,11
15528014,11
15427560,11
00107530,11
09528229,11
13602322,11
10693971,11
01853325,11
00349690,11
2212683X,10
03623319,10
13854046,10
00332933,10
07323123,10
1034912X,10
17554586,10
02678373,10
03942864,10
10880763,10
0306624X,10
14459795,10
19429681,10
15365581,10
18779751,10
09075682,10
17207525,10
15833410,10
0196206X,10
16972600,10
08893268,9
09669760,9
17307503,9
15325024,9
01036564,9
0018716X,9
25152459,9
0075417X,9
01475916,9
01446657,9
1132239X,9
08820783,9
18669808,9
17439760,9
2153599X,9
22976981,9
08995605,9
14330237,8
13591045,8
03069885,8
02659883,8
19317611,8
18961800,8
19447515,8
00030651,8
16995880,8
01062301,8
15332276,8
02109395,8
10680667,8
13218719,8
23265523,8
14789949,8
19329261,8
08894019,8
02727358,8
09510893,8
03616843,8
02134748,8
21650349,8
08876185,8
23253193,8
00910627,8
01200534,8
17450128,8
10550143,8
08902070,8
00333085,7
21676968,7
21908370,7
07370008,7
19726325,7
17556341,7
16163443,7
23266198,7
01650653,7
01027972,7
08893667,7
17423341,7
15277143,7
00332968,7
17552966,7
03013294,7
15402002,7
1082989X,7
07909667,7
07317115,7
10503307,7
18665888,7
01902725,7
10464964,7
0894878X,7
03916081,7
02654075,7
14681994,7
19458959,7
15289168,7
10508422,7
1356918X,7
13890417,6
1056263X,6
22479228,6
15555240,6
00220787,6
15562646,6
14616734,6
15921107,6
09575146,6
02394170,6
02149915,6
17508592,6
22113681,6
02751380,6
21016739,6
23581883,6
00461520,6
19843054,6
17944724,6
08822689,6
00147370,6
15299732,6
14733145,6
08948453,6
17549426,6
07367236,6
1047840X,6
14733285,6
10463283,6
03085759,6
07342829,6
21677026,6
14780887,6
03857417,6
1096214X,6
17542863,6
00792993,6
10768998,6
03905349,6
15374416,6
15553434,6
25899791,6
00221309,6
00220116,5
00905550,5
00259284,5
14338157,5
21556849,5
09716858,5
02129728,5
18784755,5
10874208,5
15350770,5
00223387,5
10580476,5
15765962,5
08351813,5
00315826,5
00143006,5
08992363,5
23268743,5
01933973,5
14753634,5
18027962,5
01639625,5
00094056,5
13698036,5
02710137,5
21527857,5
1937321X,5
08964289,5
23766972,5
1039723X,5
05552419,5
23259965,5
18272517,5
24129410,5
10688471,5
10873244,5
17437199,5
23638346,5
10640266,5
22955267,5
07369735,5
26622041,5
23298456,5
15554120,5
10749039,5
15921328,5
0065860X,5
01607715,5
09579664,5
15662772,4
01787667,4
01634445,4
15914267,4
17459265,4
0103166X,4
00472662,4
20746857,4
15092046,4
22113649,4
1794192X,4
00273171,4
08836612,4
02668734,4
19492715,4
00665126,4
15777057,4
15283488,4
15444759,4
00039373,4
00224405,4
10659293,4
07357028,4
10573321,4
15216896,4
10892699,4
00131644,4
2398063X,4
09247025,4
00327034,4
07166184,4
08852006,4
00057894,4
08933200,4
16125681,4
10508619,4
20377932,4
13672223,4
10508392,4
10409289,4
02732297,4
14372940,4
00066761,4
08958017,4
10558330,4
18666116,4
00812463,4
23338113,4
26738627,4
01974556,4
10982140,4
00332852,4
13575279,4
14439646,4
09593535,4
01640275,4
14224917,3
21520704,3
18424120,3
1692715X,3
15213269,3
26316897,3
20394667,3
18773095,3
25255061,3
24732850,3
10823301,3
19012276,3
20093829,3
10934537,3
17596599,3
16770471,3
08295735,3
2194637X,3
08857482,3
23600853,3
26896567,3
00220973,3
20473869,3
12136204,3
23667532,3
15594343,3
15982327,3
02783193,3
18096867,3
19388209,3
23302925,3
21573883,3
20508794,3
08959285,3
21712085,3
18344909,3
01913085,3
17466660,3
18743501,3
22121447,3
20413866,3
00340553,3
27526739,3
00221678,3
02568543,3
01976664,3
10888683,3
10538712,3
11329483,3
20901321,3
14608235,3
09486259,3
00957984,3
10689583,3
00498637,3
13648233,3
01468693,3
1556035X,3
00221465,3
17849934,3
18891861,3
10532528,3
03422747,3
09605290,3
00353981,3
09084282,3
0883041X,3
15541134,3
17210321,3
15720268,3
10926771,3
11261072,3
00018449,3
1541745X,3
10656766,3
13674676,3
10580360,3
00485705,3
19424620,3
10188185,3
08873267,3
11320559,3
0002726X,3
14760835,3
11033088,3
19419899,3
12248398,3
01454455,2
20563868,2
02724316,2
19434472,2
00910562,2
00797308,2
19371209,2
00029564,2
01888145,2
15837327,2
16195515,2
02549247,2
22518711,2
10852352,2
09695893,2
00029432,2
10777229,2
00904392,2
1824078X,2
03441369,2
0814723X,2
01560417,2
1970321X,2
19359705,2
26408066,2
18662625,2
24721840,2
24764981,2
02702711,2
17884934,2
1067828X,2
2451876X,2
13021370,2
23727322,2
09641866,2
10804013,2
10664807,2
08100713,2
20508824,2
