ISSN,Nombre de publications
17739578,1846
11523336,1375
12784699,1294
07679513,1110
02773791,1029
12865559,1005
00189448,952
00462616,950
12401307,940
00045322,808
01527401,783
00034010,753
12871672,740
00380296,732
07557809,718
02428962,708
01510193,700
03023052,650
03054403,639
00352950,634
00352624,621
00462497,613
03732630,602
00352616,551
2352409X,545
00472484,542
12467391,525
00352969,513
12623490,510
12907839,494
17642507,490
00035521,489
02497638,487
17654629,486
03355985,485
00165522,484
01674544,484
00272671,474
00351121,454
00080055,451
00488593,450
07693362,445
11501944,433
03380599,413
02940337,408
0247106X,405
01814095,403
02779536,402
04394216,400
00411868,398
02229838,388
0337307X,388
02952319,383
00238368,383
07596340,380
11542721,379
03361454,377
00137545,377
00029483,375
00020478,373
0458726X,368
05567807,367
00378984,365
01979337,359
03601323,354
0071190X,353
12911941,353
03977870,350
0338487X,343
15499596,339
00662399,333
00100277,327
1295926X,324
14202530,317
00184306,315
0018439X,315
19544863,314
11674687,307
03784169,299
00314773,297
1758678X,290
00219584,290
16342941,289
12783366,289
13760963,288
10108831,285
09971327,284
0308597X,281
12795127,276
17605393,276
01761714,275
02562928,275
1373847X,274
01676393,270
01654896,267
00405833,264
05390184,263
07591063,261
0305750X,261
00124508,260
07053436,258
02205610,257
0003598X,256
03952649,253
09257535,252
01389130,251
00043702,251
16205340,250
00014575,248
19606052,245
16280482,244
02648377,242
00397857,240
09212973,239
11476753,236
00140139,229
12454060,229
13772368,226
10158154,224
00079766,224
0003813X,221
09881824,221
07653697,219
02496739,211
21185735,211
18669557,211
02233711,209
10973923,209
00802557,207
17409292,203
22575405,202
03785920,196
07559593,193
00377686,193
00062006,190
17623162,190
03014207,190
00074640,188
07643470,187
04848942,185
14629011,184
0093934X,183
21000808,179
00662062,179
0968090X,178
00208523,178
18750672,177
05900239,177
00272841,176
12667706,175
00352004,175
14763419,175
1254728X,174
00379069,173
02504952,173
00351849,171
00297054,170
0075966X,170
02216280,169
13704788,167
00343404,165
14992027,164
00208701,163
09592695,160
00036870,160
16274873,160
0021762X,158
03043878,158
05705398,158
16375823,157
01847783,156
0368492X,154
07618980,153
21106460,153
09540121,152
0300953X,151
09601627,151
00379174,149
01674943,149
1047482X,146
13706233,145
00260452,145
02235102,144
00371998,143
00142182,142
11456396,142
0032342X,142
00411450,142
00350737,141
00140759,140
03787931,139
12526576,138
00447447,138
00485829,137
00351652,136
12507334,136
09291261,135
00207276,135
03782166,135
19601360,134
09644733,134
13698478,132
00079871,132
1867139X,132
07605668,132
00163287,132
00074217,129
01660462,128
09337954,128
10715819,127
00420980,127
07716524,127
07508069,126
00324663,126
02675730,125
00826049,125
03921921,124
13665545,123
00478105,123
00350907,122
12489433,121
22600965,119
00243841,118
01448188,118
09601406,117
09658564,117
03432521,116
00331538,116
07525656,116
09523367,116
00131954,115
16274911,115
13619209,115
0232704X,115
01916599,115
00498661,114
09666923,113
09593780,113
02659646,112
00238856,111
0076230X,110
01762680,109
09657576,109
08289999,109
0967070X,109
07430167,107
22120416,106
03069192,106
03091317,105
13861204,104
07707576,104
13588265,104
19563485,104
00140481,104
00353183,103
00220388,103
00187267,103
01912615,102
09057196,102
00487163,101
00258296,101
03064573,100
19433921,100
01674048,100
00221031,100
12547670,99
22106707,99
09640282,99
02787393,97
01674870,97
00380199,96
09654313,96
10853278,96
22124209,95
03728854,95
03777332,95
01726404,94
10627987,94
0020871X,94
17686520,94
02684012,94
03023427,94
09571558,93
09331433,92
00411655,92
09912894,91
1016796X,91
00845388,91
18773435,89
02255189,89
00130567,89
02664666,89
00353280,89
20703449,89
0749596X,88
00293970,87
21154430,87
04848616,87
02447827,87
00941190,86
01418211,86
22120955,86
00954470,85
1752928X,85
03044130,85
11482664,84
05701864,84
10568190,84
14780917,84
1782348X,83
18695450,83
16261682,83
03038300,83
08836353,83
02784165,82
00309230,82
03085961,82
07613032,81
1369183X,80
1430175X,80
00246301,80
0969725X,80
03612317,80
13965883,79
01698141,79
01692046,79
09116044,78
10420533,78
10924388,78
00448613,78
13658816,77
00039756,77
03050009,77
09638024,76
10452354,76
00243949,76
15353958,75
18624065,75
13899341,75
00080276,75
03939375,75
18639690,75
20665083,74
13669877,74
14751461,74
09541748,74
12460125,73
10881980,73
00424935,73
1157996X,73
01686577,73
09500693,73
02260174,73
09640568,73
08837252,73
00018791,72
09528059,72
10572414,72
15513793,72
02484951,72
03080188,72
12946303,72
03007839,71
14244683,71
03906701,70
02235404,70
00208566,70
02757206,69
23273798,69
02489430,69
02642751,68
13700731,68
09262644,68
00167185,68
03066800,67
03601315,67
02676591,67
00335177,67
15945685,66
00223514,66
00219886,66
14682702,66
11243694,66
00392936,66
01650254,66
03244652,66
22146296,65
00113204,65
09538259,65
1574020X,65
08250383,65
17650887,65
10964762,64
0960085X,64
01652516,64
00096067,64
00121649,63
0014200X,63
10447318,63
1081602X,63
15691721,63
13501763,63
10253866,62
09205489,62
07036337,62
01764268,62
11217081,62
1573062X,62
10795014,62
0378777X,62
10226877,62
00187208,62
00207233,62
09639489,61
0144929X,61
01533320,61
09224777,61
01436228,61
02586770,60
17430437,60
02583690,60
10725369,60
00396338,60
09571787,59
17744466,58
1751956X,58
19650175,58
09578811,58
03043797,58
14614103,57
1387585X,57
10826084,57
0342734X,57
03788733,57
00365041,57
02698897,57
0895562X,57
10126902,57
00935301,57
0730479X,57
10242694,57
07350015,57
00224146,57
00076503,57
09258531,56
16236297,56
22119124,56
03932729,56
10530509,56
03736237,56
03025160,55
08898480,55
00346535,55
04587251,55
07418329,55
00906905,54
00238309,54
00015687,54
01654004,54
03016307,54
10176772,54
00129976,54
14655489,54
02699206,54
07716494,54
19369751,53
01419870,53
02606755,53
1355770X,53
02681064,53
01427237,53
03063127,53
10217762,53
09696997,53
17516757,53
21135207,53
19516088,53
14778238,53
0308518X,53
09686673,53
03736032,53
09570411,52
11228792,52
03880001,52
07231393,52
09594752,52
13683500,52
14607425,52
00353906,52
18670717,52
18797865,51
16624025,51
0920427X,51
1867299X,51
00318388,51
10803548,51
22482547,51
13629387,50
07339496,50
00224995,50
03088839,50
10838155,50
07665075,50
09644563,50
00322474,50
13636669,49
13667017,49
01690965,49
00104817,49
18764517,49
02681145,49
00305472,49
01650157,49
00093920,49
03400352,49
10752196,49
00392944,49
03613682,48
0142159X,48
14441586,48
17663059,48
15720373,48
13533452,48
07398859,48
09574093,48
0304422X,47
15407993,47
10416080,47
12468185,47
22148043,47
02632764,47
01441647,47
20417764,47
00181005,46
21683565,46
00181560,46
03059049,46
01655515,46
00350818,46
00352039,46
0123885X,45
13538292,45
14661381,45
18672477,45
10811826,45
15691853,45
15174522,45
10106049,45
01989715,45
01650750,45
13548166,45
14926156,45
16994949,44
07745141,44
00934690,44
00159409,44
01419889,44
02722690,44
01372475,44
15389588,44
01622439,44
00035459,44
00169161,43
09299971,43
01722190,43
1463922X,43
03939383,43
0167806X,43
00220221,43
07517971,43
01471767,43
03768163,42
09593845,42
02727757,42
13602357,42
17530350,42
07900627,42
08943796,42
01607383,42
09582029,41
00351458,41
02692821,41
01520768,41
19424280,41
05855292,41
00189855,41
02650487,41
09531513,41
0142694X,41
09290273,41
00258024,41
00207985,41
02664909,40
25751433,40
09267220,40
17585880,40
0160791X,40
03085147,40
00324728,40
23998083,39
00219320,39
13846175,39
0040747X,39
02683962,39
03784177,39
09565361,39
09600035,39
14650045,39
00218499,39
09638199,39
01959255,39
13812890,39
02113589,39
13511610,39
18695582,39
11766336,39
01925121,38
02619768,38
13629395,38
14616696,38
0165005X,38
13620436,38
01427164,38
0007473X,38
17442621,38
09385428,38
00426032,38
16607112,38
03506134,38
14300532,38
20474806,38
10632042,37
00703370,37
00319120,37
18622720,37
13684310,37
19952848,37
09597743,37
02687038,37
09574824,37
05751330,37
0144686X,37
11046899,36
00494488,36
00084131,36
1610241X,36
19648995,36
13513249,36
02764741,36
09692290,36
09437444,36
00220663,36
09523987,36
09583440,36
14761270,36
17479541,36
01402382,36
13867423,35
07161182,35
00027642,35
20491115,35
09711554,35
02615177,35
00438243,35
09727272,35
00130079,35
21966923,35
11610492,35
09578765,35
14724790,35
07424477,35
15695239,35
20329806,35
01634437,35
00222267,34
00282677,34
17240700,34
16123093,34
18770223,34
09221565,34
00027162,34
09927654,34
12986046,34
02685809,34
10946705,34
17408989,34
02103702,34
00267074,34
00070998,34
09500170,34
00083968,33
04353676,33
2214790X,33
00251003,33
17577780,33
18748937,33
21682291,33
09645292,33
01445596,33
02630338,33
13812416,33
01907409,33
03056244,33
00267910,33
1517106X,32
09697764,32
02613794,32
00407585,32
16628527,32
13760971,32
08736561,32
00369772,32
1389224X,32
01676318,32
14614448,32
10505350,32
17568757,32
01675133,32
1468795X,32
10286632,32
00380121,32
03795721,32
09506764,31
10116702,31
0163853X,31
13590987,31
0346251X,31
01034014,31
2311911X,31
09626298,31
02673231,31
07557752,31
18774091,31
22105395,31
00113921,31
13667289,31
09636625,31
1537260X,31
16457250,30
00189359,30
13894978,30
18245463,30
00019720,30
13563890,30
01973975,30
07149808,30
17277051,30
2213624X,30
01436597,30
01032070,30
00243892,30
15705838,30
1878450X,30
16121651,30
03042421,30
02656914,30
00049468,30
02579774,30
09248463,29
09668349,29
00445975,29
18649335,29
09669582,29
01001965,29
14619571,29
13846299,29
21622671,29
01017330,29
02625253,29
18163831,29
01405284,29
13600818,29
00472875,29
02512432,29
09944524,29
00410020,29
17209331,28
02757257,28
14792931,28
17458552,28
09730826,28
01426397,28
15448444,28
14325012,28
00238333,28
08891583,28
18425135,28
13572334,28
02665433,28
08865655,28
03066150,28
1195096X,28
02641615,28
00141844,28
03600025,28
00264695,28
14705958,28
16726316,28
00416436,28
10456635,28
00825638,27
01764225,27
17499755,27
00100285,27
00161128,27
09226567,27
14409917,27
03057925,27
12527017,27
17410398,27
08912017,27
14782804,27
07409710,27
13682822,27
08914486,27
00197262,27
00182257,27
19619359,27
00084239,27
00931896,27
01675265,27
09209034,27
13634615,27
14660970,27
01211617,26
00220175,26
01047183,26
00167460,26
0961463X,26
02780771,26
03091333,26
03057488,26
22120947,26
03080110,26
00711675,26
00369292,26
15376370,26
23324309,26
11202726,26
07348584,26
13648470,26
09422919,26
08955638,26
00018392,26
00221791,26
02680939,26
02658135,26
19462166,26
00211818,26
09670106,26
16149920,26
0022278X,26
1362024X,26
00475394,26
0031322X,26
0263774X,26
15179702,26
00317985,26
1121953X,26
15564894,26
13515993,26
19711093,26
09653562,25
18271987,25
00027294,25
00197246,25
18274765,25
17473616,25
01979183,25
19366612,25
0163660X,25
13621025,25
02723638,25
14247755,25
09504222,25
01888218,25
17421772,25
09407391,25
10477594,25
02722631,25
10601538,25
01026992,25
14781387,25
16174909,25
15592332,25
00071315,25
09392815,25
02673037,25
00032468,25
00323217,25
16139372,25
0016-7312,25
00167398,24
09588221,24
00802549,24
00664812,24
01638548,24
20557671,24
00167282,24
00380385,24
18688527,24
14710358,24
00902616,24
0016111X,24
21924376,24
18433979,24
17460719,24
14691930,24
17470919,24
08941920,24
11399368,24
09557571,24
09528733,24
23301635,24
01914537,24
01472011,24
14614456,24
15230406,24
00380261,24
00442747,24
01900692,23
10490965,23
20961790,23
10455736,23
20711050,23
15677095,23
09680802,23
10494820,23
00146242,23
0925854X,23
00978507,23
0046760X,23
03090590,23
14713012,23
03075079,23
14659891,23
10434631,23
10613773,23
01639374,23
0162895X,23
00758914,23
11266244,23
13864564,23
09595236,23
03071847,23
16804333,23
13527258,23
09644016,23
17495679,23
00483931,23
13670069,22
00205893,22
00221325,22
00358533,22
08949468,22
19818122,22
17535069,22
0733947X,22
01410423,22
15676617,22
00207187,22
10632921,22
00027316,22
03925048,22
13504509,22
14355205,22
01034979,22
00298077,22
02513625,22
14742837,22
10232044,22
14759551,22
04860349,22
10993460,22
10769242,22
13563467,22
13684302,22
09281371,22
19317204,22
03934551,22
00220337,22
17435889,22
00348341,22
10927026,22
15741796,21
00664677,21
17945887,21
13682679,21
08830355,21
0020739X,21
03068293,21
07313500,21
00448699,21
00225258,21
01600176,21
00019909,21
00918369,21
0103636X,21
20407149,21
00210870,21
17554217,21
22114645,21
00030554,21
03802361,21
00987921,21
00333298,21
13540688,21
05577705,21
13775723,21
01686291,21
23329017,21
01678507,21
00239690,21
13534645,21
00207071,21
01676164,21
0026749X,21
07255136,21
03231119,21
11326891,21
03613666,21
01602527,21
10489843,21
00158518,21
16089057,21
00071013,21
00961442,21
00225266,21
13606743,20
09505431,20
09535438,20
00207438,20
10116370,20
09668136,20
13845748,20
11209550,20
17411009,20
03899160,20
03900711,20
09273522,20
0019042X,20
21522715,20
10263268,20
00104175,20
1793351X,20
02691728,20
10529284,20
07180209,20
17458927,20
00347701,20
18730388,20
17437601,20
07380593,20
00208728,20
02622750,20
09639268,20
15679764,20
18714757,20
00913723,20
0012155X,20
03064220,20
07360932,20
1532687X,20
03932451,20
01001574,20
17427150,20
00650536,20
19585160,20
08695377,20
02613050,20
00223980,20
23254823,20
21912203,20
02667215,20
17497728,20
09521895,20
01013300,20
1606822X,20
87566222,20
01044478,19
10489223,19
10888438,19
15937879,19
17511577,19
02735024,19
00305375,19
13597566,19
09513558,19
10477047,19
11387416,19
07284896,19
0263323X,19
15681475,19
16102932,19
19933800,19
00283754,19
0031921X,19
1531023X,19
08943257,19
02105462,19
0929077X,19
00312746,19
00167363,19
09589287,19
07381360,19
13504622,19
08997640,19
19460171,19
09662839,19
15630110,19
07369387,19
26438941,19
00760730,19
01977261,19
0041977X,19
00242020,19
08989621,19
00224499,19
0144333X,19
17328705,19
17501245,19
02637960,18
00044687,18
03926664,18
14616688,18
15664910,18
1354067X,18
00050601,18
20937911,18
22102116,18
00699667,18
10630732,18
19371888,18
0949149X,18
20405790,18
15561607,18
19324502,18
18779166,18
22141405,18
02132370,18
14634996,18
02673649,18
09290907,18
14636697,18
15740196,18
11342277,18
01214705,18
03003930,18
07908318,18
04305027,18
01402390,18
13876732,18
00219924,18
07689829,18
01497189,18
00070955,18
00905992,18
09696474,18
03918440,18
1356336X,18
17531055,18
10508414,18
00220418,18
03938255,18
09641998,17
14724782,17
07256868,17
01459740,17
17528631,17
18167403,17
1747423X,17
20932685,17
18638171,17
13545078,17
10725245,17
25903284,17
00291951,17
15393402,17
02784254,17
00139572,17
01882503,17
10444068,17
00031232,17
02637758,17
10942076,17
22142096,17
10122508,17
08293201,17
00333352,17
00270520,17
17938120,17
02101963,17
19488327,17
09512748,17
01678329,17
08932344,17
17905079,17
07409133,17
08503907,17
10402446,17
08227942,17
02508281,17
14717727,17
02775395,17
0018442X,17
13604813,17
00216682,17
10949313,17
1369801X,17
01425692,17
10992340,17
00208590,17
00294586,17
14636778,16
05219744,16
02583127,16
1756932X,16
00754277,16
13866710,16
05572665,16
09187960,16
09577572,16
00204277,16
1408967X,16
17540194,16
16194993,16
20540892,16
15824551,16
01041290,16
0142257X,16
03055728,16
1023263X,16
00077712,16
03631990,16
05147336,16
16138171,16
10204067,16
00765147,16
14682745,16
14687968,16
17457300,16
11202890,16
09296174,16
00126837,16
03160041,16
02780097,16
00825433,16
00666459,16
00210862,16
00104140,16
00306428,16
09241884,16
15059065,16
16877578,16
17506980,16
00219096,16
11763647,16
13549839,16
17284414,16
13603736,16
00324000,16
1791261X,16
0300211X,16
00030279,16
19947658,16
0966369X,16
02680556,16
09612025,16
07484526,16
03044092,16
03043754,16
17535255,16
10434062,16
09687637,16
02558106,16
09673407,16
14742640,16
1518952X,16
21798338,16
0742051X,16
2214367X,16
01443410,16
05786967,16
13591835,16
17566517,16
00913367,16
00071234,15
02681072,15
1414753X,15
00754269,15
16605373,15
21926611,15
00298115,15
18286364,15
11220392,15
14718731,15
12570273,15
11316993,15
00208442,15
08505780,15
04866525,15
15692078,15
17427665,15
02121573,15
08985626,15
07075332,15
13960466,15
09353518,15
15667170,15
02132958,15
18689884,15
0212999X,15
14442213,15
18665268,15
01040146,15
13876996,15
00690058,15
00143138,15
20565607,15
02601370,15
00207152,15
03919099,15
00472891,15
10421629,15
02120585,15
01439685,15
02196492,15
16357922,15
00173916,15
15602214,15
15680584,15
11209526,15
23581433,15
18063845,15
18712584,15
14719037,15
23996544,15
00035548,15
26328623,15
13807854,15
09526757,15
18711871,15
00207810,15
1369118X,15
00786527,15
17930391,15
08982643,15
09424040,15
21948739,15
01247913,15
14654466,15
02606917,15
00472328,15
00312290,15
02366568,15
00393665,15
03231267,15
17411041,15
10549811,15
08927537,15
13879316,15
00381969,15
10538801,15
09516298,15
09540962,15
03014428,15
03601277,14
00400912,14
08695415,14
09254994,14
14617781,14
00336297,14
19835922,14
13668250,14
0042899X,14
19727623,14
01434632,14
14728117,14
10095020,14
03075133,14
03035247,14
13573322,14
00488046,14
17422876,14
00220094,14
00393193,14
00121533,14
20563035,14
25004247,14
03793664,14
00242667,14
22124284,14
1989614X,14
11816945,14
00223433,14
03740463,14
03005402,14
24065749,14
14773708,14
1070289X,14
18799264,14
11225165,14
10955143,14
0967828X,14
00472336,14
10439463,14
14747731,14
14684527,14
0157244X,14
15186776,14
00194646,14
09214771,14
0261927X,14
1827000X,14
10440046,14
09562478,14
20403585,14
13160354,14
08976546,14
19406940,14
11391472,14
01026445,14
21568235,14
03050068,14
13825577,14
17485983,14
15475441,14
13639080,14
09365907,14
10908471,14
1570677X,14
15562948,14
10792457,14
02549239,14
13183222,14
1357034X,14
13505068,14
00227498,14
17565529,14
20439083,14
01049313,14
09637494,14
00491241,14
09241868,14
00274909,14
00103853,14
10182101,14
11355948,14
1363254X,14
00791636,14
14702266,14
00032573,14
13532944,14
08927936,14
02684160,14
00214027,14
01037331,14
02609541,14
00166987,14
1060586X,13
10468781,13
20595794,13
17512271,13
18750281,13
01019074,13
16845358,13
03697827,13
11206861,13
17415659,13
00668435,13
00205850,13
10621024,13
18727859,13
25324969,13
07160925,13
00123846,13
11346396,13
14747456,13
02588102,13
13354205,13
0143781X,13
02328461,13
01238418,13
0165070X,13
00666939,13
02650665,13
10927697,13
00219266,13
10564934,13
02786648,13
17568692,13
00487554,13
13695258,13
19391382,13
08874417,13
10162364,13
08736529,13
00963402,13
13876988,13
09596941,13
13665626,13
09548963,13
13691058,13
01652826,13
09273379,13
14292173,13
10963480,13
00277738,13
18688799,13
03861112,13
01215051,13
21024316,13
22120548,13
14648172,13
15705854,13
11261668,13
10402659,13
08944393,13
01013157,13
02715309,13
14348462,13
20699271,13
15691322,13
03081060,13
01675923,13
08832919,13
00845299,13
08857466,13
15756823,13
00940496,13
09201297,13
23249935,13
07702817,13
11333634,13
14742748,13
15773388,12
14695405,12
10276084,12
0377919X,12
0361476X,12
00222194,12
17597536,12
14794012,12
09254560,12
14673584,12
13642987,12
15667529,12
11089628,12
21945888,12
03043487,12
02118572,12
13561863,12
14649357,12
14680181,12
10724745,12
14777282,12
18626033,12
00377732,12
17246121,12
16098498,12
14656620,12
00029114,12
00220078,12
08935696,12
14768917,12
0094582X,12
08894906,12
00358126,12
00654124,12
01032003,12
10274278,12
00353361,12
00471178,12
00385859,12
00020206,12
0256596X,12
00130095,12
0013838X,12
00120413,12
17446414,12
17641977,12
02681153,12
03947297,12
18775845,12
08438714,12
00453609,12
14651165,12
11553219,12
0003603X,12
01972243,12
03924866,12
0255660X,12
13670271,12
10410236,12
11270195,12
02602105,12
18763367,12
18700063,12
00219916,12
03732568,12
15555623,12
04247116,12
18258689,12
15579883,12
03091325,12
18689612,12
23269995,12
08969205,12
09289380,12
11207388,12
08150796,12
1362704X,12
1388199X,12
19733194,12
13527606,12
13785087,12
00323179,12
0104754X,12
11508809,12
02142570,12
14747464,11
18973426,11
00666742,11
17508649,11
18669298,11
01024450,11
18751342,11
00111600,11
12311952,11
18649904,11
01852574,11
02637189,11
13696815,11
21650349,11
17494729,11
18711502,11
15817652,11
16144007,11
07180675,11
07352166,11
18763413,11
02116820,11
09510605,11
14790718,11
18761933,11
14064243,11
17400228,11
20443994,11
0961205X,11
20421338,11
15750361,11
00131857,11
01202596,11
13670050,11
1567715X,11
00344893,11
14794802,11
13602322,11
00353957,11
01887653,11
25774441,11
09592318,11
23801883,11
15604624,11
21929521,11
20439032,11
1874897X,11
19187173,11
07011008,11
25231367,11
13032917,11
20588305,11
12342238,11
13378384,11
03991989,11
00334987,11
17418984,11
10693971,11
15528014,11
24694452,11
16899121,11
03057410,11
11395583,11
00020397,11
19619472,11
03798682,11
03058298,11
1068316X,11
0049089X,11
14766825,11
00207837,11
17556171,11
1354571X,11
00413216,11
00953997,11
00267902,11
02507161,11
00115266,11
00224480,11
1350293X,11
09331719,11
10758216,11
03408744,11
01620436,11
10457097,11
03609081,11
13696866,11
02775921,11
00223344,11
13530194,11
02660784,11
02731371,11
09599916,11
00251534,11
09614524,11
11951036,11
09631801,11
09681361,11
09518967,11
01430343,11
08263663,11
08856257,11
02651068,11
09527648,11
08867356,11
00263141,11
07323123,11
14297426,10
0144039X,10
22104119,10
26454661,10
10880763,10
01860348,10
00732435,10
2071789X,10
13523260,10
01852698,10
09215891,10
21680566,10
16740750,10
00224529,10
07181299,10
15723739,10
00156191,10
10434046,10
14222213,10
11322217,10
1034912X,10
1382340X,10
15387135,10
17504708,10
02511894,10
09660410,10
0095327X,10
14744740,10
11308001,10
25899627,10
0067270X,10
15196089,10
15586073,10
19442890,10
15604292,10
14781700,10
00347981,10
19849729,10
1388364X,10
00348635,10
15930793,10
09658416,10
18269745,10
17449626,10
15833410,10
13880292,10
13607456,10
22106561,10
14753820,10
17077753,10
13634593,10
10704965,10
07525443,10
03021475,10
20514883,10
14708477,10
26663228,10
03924939,10
14883473,10
10662243,10
14778386,10
00180777,10
14792443,10
13862820,10
00028762,10
18779751,10
00016810,10
00349712,10
09579265,10
