ISSN,Nombre de publications
03354997,2628
0264410X,1812
17674417,1185
00351555,993
1252607X,793
07581882,673
03044017,598
00014192,561
0093691X,540
09320113,511
03781135,508
00424900,402
01681591,381
01675877,345
00034193,340
03016226,299
01479571,285
0001706X,277
0301486X,246
18711413,243
09214488,231
18651674,221
00345288,219
03784320,217
01407783,216
01652427,206
08916640,201
10900233,190
22145672,188
00443255,181
09284249,177
00224510,166
00029645,164
00222585,163
04251644,160
07542186,159
09594493,142
0269283X,139
1098612X,133
00031488,131
01407775,129
03079457,120
09577734,113
00494747,108
07397240,108
09312668,107
00052086,102
09320814,100
01613499,99
07370806,94
01456296,91
10427260,89
10588183,81
14635216,81
09312439,80
00236772,80
00219975,78
01657380,76
00472565,72
10406387,65
02756382,63
03402096,60
00034118,55
18631959,55
03009858,53
00351865,51
09627286,51
15575063,51
00085286,50
17602734,49
01080288,48
21606056,44
14672987,44
00302465,43
0931184X,42
25092715,39
00083984,34
15422666,31
01777726,28
10826742,28
15587878,28
00367281,27
08309000,27
0044605X,26
10949194,26
17624215,25
08987564,25
14765810,25
01652176,23
03039021,22
03680762,22
16615751,22
20953119,21
00039098,20
22264485,20
00480169,19
00017213,18
24056545,18
05872871,17
11205776,16
00937355,15
09728988,15
02366290,15
09167250,14
1229845X,14
01955616,14
08927936,14
14793261,14
00050423,14
09311793,14
00071935,13
10199128,13
03653439,13
00236764,13
00258628,13
11261668,13
19389736,12
0505401X,12
11244593,12
24210684,12
00232076,12
00424870,12
00493864,12
01020935,11
09064702,11
03758427,11
15320820,11
09712119,11
00059366,10
1537209X,10
21658102,10
23992050,10
20957505,10
18069614,10
15473317,10
16828356,10
01770543,10
15283593,10
08604037,9
01038478,9
0032681X,9
17552540,9
0263841X,9
09013393,9
07982259,8
03416593,8
00407453,8
1745039X,8
01256491,8
13006045,7
16805593,7
03725480,7
14341239,7
16839919,7
05678315,7
13100351,7
02128292,6
14137054,6
0103846X,6
02538318,6
00443565,6
03943151,6
0043535X,6
0100736X,6
16780345,6
17922720,6
07490720,5
10631119,5
20667655,5
24664812,5
00443581,5
0025004X,5
0748321X,5
01931903,5
09398600,5
0093691x,5
15051773,5
18119743,5
16423402,4
20907001,4
20965451,4
03678318,4
16731581,4
10888705,4
16129199,4
07490739,3
01200690,3
13411357,3
23144599,3
0301732X,3
23050500,3
10600558,3
16823419,3
03507149,3
20071124,3
16996887,3
15804003,3
00651699,3
01002430,2
13000861,2
03349152,2
17203929,2
03676722,2
09716157,2
14097621,2
01874640,2
24507393,2
00471917,2
10576614,2
87507943,2
23093331,2
13922130,2
19408307,2
14139596,2
15574555,2
0310138X,2
24555673,2
19998732,2
13000128,2
17281997,2
16073894,1
16684834,1
07198000,1
23043075,1
18209955,1
20906269,1
09714456,1
23223553,1
26720191,1
27377466,1
00382809,1
20088140,1
00084050,1
03751325,1
25901389,1
1055937X,1
14336863,1
00445401,1
14341220,1
10712232,1
00196479,1
00401889,1
24486760,1
01256726,1
14623935,1
19926197,1
7653697,1
01628941,1
02539411,1
00039438,1
08820511,1
15153037,1
27650189,1
