Journal,Publications,Authors
00012793,445,4
00014966,358,29
00015210,280,14
00015342,116,3
00015830,81,24
00016241,198,37
00016446,30,16
00016829,112,4
00016918,131,24
00017884,476,34
00018392,224,30
00019593,340,18
00019720,468,19
00019933,97,31
00020184,382,19
00021482,109,49
00026980,369,46
00027189,161,19
00027294,140,22
00027316,159,24
00028762,318,45
00029114,267,12
00029319,353,30
00029432,423,38
00029475,303,31
00029556,395,36
00029823,201,19
00030139,453,48
00030279,286,45
00030481,170,36
00030651,469,30
00030678,323,49
0003097X,262,18
00031186,245,49
00031283,354,28
00031615,58,47
00032468,484,11
00032573,68,45
00032638,179,33
00033790,485,17
00033901,197,6
00034436,473,4
00034487,280,20
00035033,199,48
00035459,455,47
00035483,184,27
00035491,455,15
00035521,60,6
00035688,373,47
00035696,64,14
00035815,253,11
0003598X,329,39
00036293,140,9
00036390,494,26
00036420,316,16
00036536,144,5
00037982,30,10
00038032,338,3
00038105,176,13
0003813X,283,43
00038504,397,49
0003858X,98,30
0003861X,325,45
00038695,23,6
00038970,251,17
00039101,274,45
00039381,62,42
00039519,395,35
00039632,349,46
00039837,101,26
0003990X,376,5
00039942,453,29
00040002,464,37
00040088,437,20
00040207,273,49
00040428,440,21
00040975,44,10
00041327,90,36
00042927,429,6
00043079,59,26
00043214,369,4
00043400,399,35
00043702,63,1
00044083,115,24
00046574,269,36
00047554,319,6
00048003,486,41
00048402,200,46
00048992,411,44
00049468,227,31
00050067,171,24
00050601,211,25
0005576X,493,21
00057916,279,30
00058076,360,24
00060623,313,44
00060887,280,42
0006128X,465,30
00061646,471,22
00062014,224,28
00062278,261,7
00062294,199,35
00067237,217,10
00070874,376,31
00070882,62,42
00070904,289,25
00070955,419,13
00071102,226,6
00071269,261,44
00071773,197,9
00074217,389,45
00074322,50,36
00074640,166,43
0007473X,24,20
00075108,310,18
00075140,74,43
00076287,354,21
00076791,336,4
00076805,18,33
00077704,353,27
00077712,138,7
00077720,145,6
00078069,481,15
00079731,72,18
00079871,148,32
00080055,90,11
00080365,401,20
0008199X,172,24
00083496,428,15
00083968,298,48
00084107,388,7
00084131,270,21
00084298,499,42
00085006,240,26
00088080,50,44
00088994,37,14
00089192,144,37
00089389,210,21
00091774,427,3
00092002,42,23
00094633,57,26
00096067,416,37
00097497,225,49
0009837X,302,19
00098388,108,25
00100277,181,21
00101451,223,41
00104124,44,4
00104132,458,42
00104175,236,7
00106356,110,22
00111503,471,17
00111562,140,24
00111570,266,34
00111589,14,28
00111600,227,43
00111619,264,41
00113204,407,39
00113530,368,22
00115266,292,49
0011605X,216,34
00119741,24,6
00120936,355,46
00121045,51,6
00122017,389,34
00122173,470,1
00124273,188,10
00126837,72,21
00128163,361,5
00128708,240,2
00130117,250,22
00130567,61,48
00130796,105,2
00131857,397,10
00132586,231,34
00136662,416,48
00137006,240,39
00137545,246,22
00138215,152,12
00138266,180,24
00138282,38,47
00138304,45,40
0013838X,22,38
00138398,169,10
00139505,336,35
00139513,196,49
00139572,252,32
00140759,293,21
00140767,75,20
00140856,179,26
00141291,54,4
00141437,71,46
00141704,450,22
00141801,143,15
00141836,293,40
00141844,37,21
0014195X,117,15
0014200X,53,22
00142085,349,28
00142115,295,14
00142166,455,27
00142182,340,41
00142239,137,40
00142328,357,28
00142751,482,26
00143006,240,49
00143855,199,2
00144940,234,25
00144983,394,3
