Journal,Publications,Authors
',112,32
00011541,445,11
00012815,358,45
0001527X,280,25
00015342,116,33
00015504,81,38
00015563,198,41
00015598,30,8
00015652,112,11
00016756,131,22
00016764,476,24
00016772,224,41
00017272,340,17
00018244,468,12
00019526,97,46
00020729,382,32
00021369,109,15
00027863,369,16
00029122,161,22
00029297,140,28
00029513,159,20
00031062,318,33
00032654,267,10
00032670,353,40
00032697,423,32
00032719,303,33
00033480,395,2
00033898,201,33
00033995,453,33
00034266,286,41
00034800,170,13
00034967,469,30
00036072,323,33
00036838,31,13
0003911X,262,26
00039438,245,22
00039799,354,39
00039829,58,2
00039861,484,38
00039969,68,39
00040533,179,26
00045632,485,46
00049417,197,15
00052728,473,34
00052736,280,42
00052760,199,44
0006291X,455,49
0006291x,184,40
00062928,455,11
00062944,60,3
00062952,373,6
00062960,64,9
00062979,253,6
00063002,329,9
00063061,140,39
00063088,494,31
00063126,316,32
00063231,144,41
00063304,30,12
00063363,338,8
0006341X,176,8
00063495,283,28
00063509,397,20
00063517,98,47
00063525,325,7
0006355X,23,11
00063592,251,20
00064971,274,16
00066648,355,4
00068993,62,6
00070920,395,22
00074551,349,26
00074632,101,3
00074888,376,41
00074985,453,42
00075027,464,14
00080594,437,11
0008347X,273,18
00084093,440,12
00084166,44,23
00084212,215,12
0008543X,90,13
00085472,429,25
00086215,59,45
00086363,369,19
00087114,397,46
00088730,11,36
00093084,399,45
00093130,63,8
00095893,115,29
00095915,269,32
00097330,319,44
00098981,486,18
00099120,200,6
00099147,411,18
00099163,227,19
00112240,53,22
00114529,171,37
00114545,211,32
00121592,455,41
00121606,493,3
00121630,279,28
00124966,360,10
00137200,280,29
00137219,465,15
00137227,471,33
00139351,224,7
00139432,261,12
00142336,199,49
00142956,305,30
00142972,222,21
00143820,217,31
00144754,246,24
00144800,347,20
00144827,376,37
00145793,62,4
0014827X,289,28
00154725,419,44
00155497,226,20
00155500,261,24
00161152,197,49
0016450X,389,32
00166480,50,41
00166707,166,36
00166723,24,34
00166731,310,36
00170305,74,2
0018019X,354,15
00180580,336,34
00180661,18,36
0018067X,353,6
00182214,138,39
00184888,145,42
00185043,481,12
0018506X,72,3
00187143,148,45
00195189,90,18
00195499,401,40
0020711X,428,15
00207136,298,33
00207322,388,35
00209376,270,26
00212938,499,8
00213551,240,36
0021437X,50,48
0021504X,37,30
00215112,144,23
0021521X,210,42
00217689,337,44
00217948,277,14
00218596,427,14
00218782,42,2
00218812,57,37
00218898,416,5
00219193,71,38
0021924X,225,45
00219258,302,41
00219290,108,47
00219525,181,14
00219533,369,39
00219541,223,25
00219673,484,20
0021972X,44,2
00220302,458,39
00220752,236,6
00220795,110,17
00220930,440,25
