Journal,Publications,Authors
00013072,112,34
00014273,445,12
00014788,358,35
00014826,280,35
00018791,116,1
00021466,81,40
0007070X,112,8
00071080,131,11
00072303,224,37
00076503,340,14
00076791,97,35
00076805,382,21
00076813,109,37
00076899,369,5
00077135,161,19
00081256,140,14
00108804,267,25
00117315,353,45
00124419,423,42
00129933,303,25
00130613,395,18
00149187,201,40
00151920,453,8
0015198X,286,39
00157325,170,40
00163287,469,14
00178012,323,32
00187267,262,33
00189391,245,23
00197416,354,15
00197858,58,33
00197939,484,25
00198501,68,17
00198676,179,33
00198692,485,47
00205346,197,2
00207063,473,14
00207543,280,40
00207780,199,40
00208825,184,6
00213624,455,6
00214027,60,3
00218456,373,7
00218499,64,8
00219398,253,42
00219436,329,15
00219886,140,47
00220027,494,29
00220787,316,33
00221082,144,30
00221090,30,39
0022166X,338,27
00221821,176,36
00221856,283,29
00222216,397,38
00222380,98,33
00222429,325,37
00222437,23,27
00222879,251,33
00223980,274,4
00224065,355,22
00224359,62,2
00224367,395,10
00230561,349,5
0023656X,101,10
00246301,376,33
00251747,453,38
00251909,464,13
00280283,273,47
00303887,440,36
00315826,44,45
00333352,215,24
00336807,59,8
0034379X,369,5
00347590,397,29
00380121,399,4
00380296,63,12
00400912,115,45
00401625,269,2
00404969,319,27
00411868,411,36
00428736,227,26
00436275,53,43
00442372,171,27
00443158,211,5
00453609,455,20
00463892,493,11
00472506,279,10
00472778,360,40
00472875,313,38
00475394,280,6
00483486,465,8
00487333,471,23
00902616,224,47
00904848,261,26
00910260,199,46
00913367,305,43
00920703,222,12
00922102,217,26
00935301,246,13
00950033,347,40
00952583,376,18
00953997,62,25
00954918,289,33
00981818,419,47
00989258,261,43
0104530X,197,12
01203592,166,48
01215051,24,4
01235923,310,5
01272713,74,37
01409174,354,8
01425455,336,42
01432095,18,49
01435671,353,28
01436228,138,31
01436570,145,9
01437720,481,29
01437739,72,14
0143831X,148,40
01443577,90,41
01446193,401,22
01462679,172,11
01466518,428,23
01471767,298,1
01475479,388,46
01482963,270,37
01484184,499,21
0148558X,240,26
01486195,50,46
01492063,37,36
01492136,144,23
01497189,210,1
01543229,337,40
01559982,277,15
0160449X,427,21
01605682,42,47
01607383,57,9
0160791X,416,9
01635840,302,41
01637517,108,35
01652826,181,25
01654101,369,26
01664972,223,11
01672533,484,38
01672681,44,2
01674544,458,7
01677187,236,18
01678000,110,27
01678116,440,34
01679236,471,27
01686291,140,17
01687034,266,43
01692070,14,44
01708406,227,24
01716468,264,25
01796437,407,7
01861042,368,6
01900692,292,24
01913085,402,33
01937197,216,49
01953613,355,43
01963228,51,22
01966324,389,26
01972243,470,28
01976729,188,21
02102412,72,49
02174561,361,7
02189275,240,17
02191989,250,20
02196867,61,41
02197472,105,49
02198770,397,20
02244365,231,22
02494744,494,28
02508281,416,40
02521148,240,49
02539888,246,7
02560909,152,1
02580543,180,32
02586770,38,13
02604779,45,30
02614367,169,19
02615177,336,32
02621711,196,30
02632373,252,29
02634503,95,49
02635577,293,45
02637472,75,29
02637863,179,30
02642069,54,16
02642751,71,40
02650487,450,19
02651335,143,18
02652323,293,1
0265671X,37,14
02662426,117,47
02663821,53,2
0267257X,349,28
02673649,295,49
02674424,455,30
02675730,340,38
02681072,357,1
02683946,482,8
02683962,240,29
02684012,199,39
02686902,394,32
02687615,386,10
02692333,292,10
02702592,455,19
02704676,130,46
02707314,125,34
02726963,470,33
02734753,242,23
02750740,368,32
02755319,207,7
02756668,465,29
02761467,420,8
02767783,146,1
02768739,327,3
02772027,174,24
02774275,234,23
02776693,316,8
02780380,243,47
02784254,181,37
02784319,161,3
02786648,472,33
0304405X,324,28
03050483,383,47
03063070,169,8
0306686X,481,35
03074358,242,32
03085961,189,24
03090566,122,14
03090590,327,32
03128962,61,43
0337307X,277,16
03384551,304,4
03405370,396,21
03412687,122,14
03422852,110,31
03425843,122,48
03441369,449,18
03548724,196,10
03608581,122,7
03611434,11,33
03613682,139,23
