Journal,Publications,Authors
00011541,112,12
00018686,445,31
00019704,358,46
00027863,280,2
00028916,116,35
00029726,81,23
0003021X,198,17
00035599,30,26
00059021,112,8
0006291x,131,29
00063592,476,26
00084034,224,10
00084042,340,26
00092347,468,34
00092355,97,41
00092479,382,7
00092509,109,4
00092703,369,45
0009286X,161,11
00092886,140,29
00093092,159,36
00102180,318,25
00102202,267,21
00105082,353,36
00109312,423,10
0010938X,303,37
0011085X,395,9
0011748X,453,35
00119164,286,49
00134686,170,35
0015038X,469,48
00150541,323,36
00151882,31,18
00154628,262,49
00162361,245,39
00171026,354,32
00179310,58,24
0018019X,484,23
00194506,68,32
00197882,179,37
00198447,485,12
00201685,197,49
0020708x,473,13
00212180,280,23
00214795,199,25
00218502,455,35
0021891X,184,41
00219487,455,30
00219517,60,17
00219568,373,49
00219576,64,20
00219592,253,48
00219797,329,25
00220728,140,22
00220841,494,13
00225215,316,19
00229830,144,49
00231584,30,36
00232904,338,12
0026265x,283,19
00282421,397,12
00311340,98,9
00320714,325,7
00322725,23,28
00323918,251,14
00325910,274,31
00329592,355,19
00330655,62,47
00332496,395,16
00333131,349,5
00334545,376,12
00353159,453,25
00354511,464,21
00372366,437,36
00375225,273,23
00379875,440,16
0039095X,44,39
00397881,215,45
00405167,429,39
00405175,59,14
00405795,397,5
0041008x,11,35
0042790X,399,23
00430951,63,29
00480134,115,43
00653195,269,11
00658812,319,18
00820784,200,12
00905054,411,9
00906689,227,10
00908312,53,44
00914037,171,17
00919578,211,38
0094114X,455,7
00950963,493,46
00978485,279,13
00981354,360,40
00986445,313,42
01041428,280,9
01046632,465,27
01214004,471,2
01225383,224,5
01287680,261,29
01330276,199,37
01331736,305,38
01384988,217,8
01410229,246,48
01415492,347,45
01425463,376,1
01425919,62,22
0142727X,289,17
01429612,419,7
01437208,226,25
01437496,261,45
01440322,197,4
01457632,389,36
01458876,50,6
01458892,166,31
01462520,24,19
01464760,310,44
01480545,354,27
01496395,336,10
0149936X,18,26
0160564X,353,19
01614940,138,39
01617354,145,3
01621432,481,45
01660810,72,13
01672991,90,20
01673785,401,28
01677799,172,8
01678299,428,41
01681656,298,39
01693913,388,1
01695983,270,3
01696424,499,13
01697439,240,28
01722190,50,49
0174173x,37,25
01937197,144,33
01964305,210,38
01964321,337,6
02086425,277,44
02118173,427,45
0219581X,42,32
02368722,57,45
02532417,416,47
02532697,71,21
02534320,225,16
02539837,302,21
02552701,108,11
02561115,181,37
02567679,369,36
02588021,223,35
02636174,484,19
02638762,44,20
02648725,458,18
02652048,236,47
02656582,110,41
0265928X,440,49
02667320,471,14
0268005X,266,31
0268005x,14,1
02682575,227,3
0269915x,264,16
02724324,407,23
02726351,368,11
02728842,292,12
02732289,402,10
02750708,216,32
02773813,24,16
02884534,355,8
02997258,51,38
03009440,470,24
03014770,188,28
03019322,72,8
0303402X,361,28
0307904x,250,26
03100367,61,8
03214095,105,28
03237648,397,28
03245853,231,37
03270793,494,41
03346005,416,36
03346447,240,27
0340255X,246,17
03529568,152,9
03551628,180,33
03601285,38,20
03602540,45,13
03602559,22,28
03607275,169,48
03612317,336,29
03615219,196,13
03645916,95,35
03666352,293,6
0367598X,75,18
03678369,179,5
03681874,54,47
03684466,71,25
03694577,450,2
03767388,143,10
03770257,293,30
03783812,37,45
03783820,117,5
0379153X,53,33
03795462,349,1
03862186,295,18
03866157,455,32
03913988,340,47
03928764,137,49
0399077X,357,11
0399077x,482,21
04381157,240,26
04541138,199,25
05700833,394,27
07168756,386,49
07173644,292,13
07213115,455,33
07234864,130,34
07246145,125,41
07306679,470,35
07341415,242,1
07349750,368,48
07351933,207,6
07366299,465,28
07366574,420,17
07373937,146,5
0749503X,327,31
07555016,174,5
08266220,234,38
08625468,316,3
08839115,243,23
08854513,181,37
0885923X,161,37
08859248,472,10
08870624,324,10
08878722,383,19
08885885,105,21
08889090,481,14
08927022,242,9
08941777,189,46
08957533,122,1
08968446,327,45
08974756,451,13
08990042,61,4
08998221,277,1
0904213X,304,49
09148817,395,40
09205063,396,32
09205497,122,34
09205861,110,28
09209069,122,31
09218831,449,8
0923179X,90,39
09239820,196,26
09249877,122,34
09263373,11,3
0926860X,139,12
0926860x,229,1
09277757,63,44
09277765,352,5
09284931,494,30
09285105,233,30
09287329,234,17
09295607,394,48
09298266,412,47
09307516,135,23
0930777X,139,15
09323414,62,37
09354964,181,21
09356304,227,14
0940483X,169,2
09434798,207,11
09476539,256,38
09477047,333,34
09477411,448,38
09481907,212,34
09491775,193,18
0949183X,132,30
09504214,410,15
09504230,264,27
09542299,303,34
09569618,289,38
09574166,334,33
09574484,381,24
09574522,107,15
09574530,207,30
09575820,479,42
09581669,404,17
09603085,249,5
09608524,153,29
09636048,106,4
09640568,210,10
09655441,133,17
09667822,196,10
09691855,335,17
09695990,473,20
09710426,358,24
0971457X,268,5
09715010,157,34
09720626,261,6
09724443,452,2
09725849,429,13
09736263,412,43
09741496,355,43
09743154,460,48
09744290,156,11
10003304,157,47
10004874,361,23
10006613,208,16
10007555,317,31
10008144,498,11
10008713,426,16
10015493,433,8
10017631,137,4
1002106X,48,40
10026495,347,4
10039015,369,25
10039953,138,3
10049541,276,32
10059954,485,3
10063080,450,27
10067043,482,29
10072012,443,32
1009606X,160,19
10106030,424,21
1011372X,487,5
10162356,307,18
10162372,108,28
10183639,272,42
10219986,261,22
10225528,153,21
1023666X,355,6
10242422,121,1
10255842,69,5
10261265,378,41
10269428,11,12
10367128,394,26
10407685,313,46
10408436,263,34
10431802,149,49
10444300,462,14
10445110,46,26
10451056,169,45
10495398,18,27
10498923,242,9
10543414,108,26
10556915,156,47
10579257,313,22
10582916,217,47
10613862,140,30
1061933X,413,43
1062936X,161,48
1064122X,63,17
10642285,129,26
10655131,170,36
10655247,417,1
10668527,125,8
10683739,84,49
10703284,122,35
10704272,465,15
10706631,429,47
10736085,431,22
10739149,113,14
10749098,349,26
10820132,263,28
10835601,236,23
10840184,121,14
10868747,482,24
10870156,108,2
10893156,162,45
10916466,358,26
10967176,411,14
10971963,393,7
10973958,375,3
10990062,347,47
10992871,203,23
11100621,172,43
11204826,217,47
11207183,454,45
11235063,178,18
11316756,493,38
11440546,170,35
11762322,77,15
11766336,298,25
11769114,407,37
12255475,286,28
1226086X,313,10
12268372,413,39
12299197,393,17
12303100,401,39
12390518,144,22
12944475,204,26
13000160,410,44
13117629,137,25
13136569,42,17
13147471,185,13
13309862,469,20
13350617,452,25
13408054,380,4
13417215,479,10
13446606,384,3
13458957,31,41
13479725,247,45
13480391,167,18
13504177,47,47
13590294,374,47
13594311,60,22
13595113,447,34
13597345,273,47
13637681,292,8
13642812,36,40
1364727X,235,49
13647830,286,44
13675435,295,19
1369703X,106,42
13811169,293,41
13811177,376,37
13811991,457,6
13815148,490,26
13835866,462,34
13852000,326,45
1385772X,313,6
13858947,156,37
13866184,13,33
13880764,44,22
13890344,201,21
13891723,58,6
13895567,26,6
14220067,181,48
14337851,229,4
14387492,167,30
14399598,486,11
14519372,55,30
14639246,382,31
1464391X,15,24
14658011,108,9
14723581,242,31
14730197,46,40
14732262,289,37
14752859,358,36
14757435,311,24
14764857,190,31
14764865,104,6
14773155,108,2
14777606,197,20
1478422X,490,28
14786451,125,11
1478646X,200,4
1509409X,262,15
1511788X,478,6
15257797,425,49
15274799,480,30
15278999,170,38
15280837,265,2
15306984,332,15
15334880,137,11
15361241,27,8
15407489,290,26
15419290,499,45
15422119,232,44
15426580,63,5
15462080,67,6
15470083,332,26
15470091,369,4
15499596,183,19
15499634,289,20
15507033,123,33
15511286,297,20
1553905X,440,49
15566560,351,12
15567249,160,47
15571858,459,1
15623920,136,26
15667367,164,14
15707946,499,38
15711013,395,37
15723887,483,11
15726657,282,36
15733149,113,13
15734137,426,43
1582540X,402,3
15831078,308,33
15834433,255,6
15985032,185,10
16102940,48,5
16121872,486,23
16154150,179,10
16157591,256,44
16159306,35,2
16165187,364,13
16180240,315,40
16187229,418,2
16310748,417,20
16431049,22,1
16616596,325,37
16625986,400,9
16652738,322,17
16726529,45,9
16735005,182,11
16737369,29,15
16742001,330,24
1687806X,273,38
16879325,409,35
17226899,151,30
17344492,469,31
17410126,380,49
17425689,480,5
17435889,152,44
17458080,101,14
17480132,363,11
17483387,331,9
17486041,297,34
17497728,224,12
17509548,456,35
17517907,351,35
17521394,60,1
17554330,162,40
17568250,195,22
17585082,72,29
17588960,199,8
17599660,134,11
17599954,159,41
1788618X,323,37
17905087,67,14
17939844,351,30
1802680X,314,35
18571727,189,21
18575552,179,37
1862832X,335,5
18645631,280,19
18672086,63,14
18673880,453,26
18715532,110,4
18716784,490,25
18722067,273,45
18722083,62,42
18725325,69,25
18744788,117,18
18747647,14,40
18761070,112,8
18785190,205,39
18785352,271,40
18788181,374,14
18818366,489,32
19276311,381,38
1932104X,359,33
19321058,56,23
19322135,364,15
19327587,320,33
19342659,433,25
1935472X,317,17
19355130,153,33
19373341,278,47
19373368,379,2
19373384,133,14
19395116,115,40
19397267,167,40
1940087X,156,39
19402503,154,6
19447442,328,3
19459645,101,8
19475438,67,42
19476337,448,15
19485085,355,47
19491018,238,29
19708734,483,33
19737459,126,30
19747071,327,39
19749821,288,27
19760280,136,36
19764251,402,29
19782993,405,38
19918747,138,33
19950772,67,37
19964196,10,33
19982836,248,4
20058624,299,22
20082134,105,2
20082835,135,10
20089295,127,5
20101325,57,10
20428898,98,33
20444753,497,38
20506252,246,13
20516347,382,31
2062249X,394,47
20700504,281,36
20738099,198,45
20791704,496,24
20901968,201,15
20908865,456,29
20937911,78,8
20950179,287,5
20958099,358,29
20966482,256,47
20969147,460,4
20971419,85,12
2097213X,163,45
21535493,153,2
21555435,444,27
21579083,494,31
21655979,95,36
21660468,194,36
21662746,294,26
21692785,471,43
2169432X,229,27
21905444,78,5
21907188,56,20
21911630,103,11
21919089,247,10
21919151,455,40
21919542,462,38
21928010,213,6
21930651,409,8
21934126,227,23
21940509,483,47
21945748,441,26
21946159,350,46
21964378,48,43
22129820,109,12
22133291,298,26
22133372,263,13
22133852,231,40
2214157X,366,18
22147144,32,25
22186867,259,33
22201319,19,47
22237038,255,40
22285970,334,43
22337849,109,12
22496890,299,44
22516719,189,36
22520236,232,48
22839216,403,4
2287237X,259,5
2287528X,156,37
22897879,451,8
22969837,105,42
23144904,334,28
23225521,25,9
23375779,289,29
23656379,345,14
23744731,256,40
23747943,267,41
23838337,485,22
24095613,393,11
24233765,169,23
24519294,484,1
24519308,349,46
24522236,161,37
24681873,405,21
24688231,187,26
24751499,172,46
25003070,42,23
25094238,426,1
25177516,454,40
25225758,188,15
25715135,110,47
25740881,277,9
25901400,332,9
26618869,74,10
26729156,426,26
26884534,177,41
27096092,339,35
2724542X,52,25
29499097,53,26
3346447,294,11
87559129,406,38
