Journal,Publications,Authors
00010782,112,9
00011096,445,34
0001253X,358,44
00015903,280,35
00043702,116,22
00045411,81,44
00051144,198,24
00063835,30,17
00074985,112,10
00100285,131,30
00104485,476,46
00104620,224,23
00104655,340,32
00104825,468,17
0010485X,97,17
00114227,382,14
0011748X,109,9
00160032,369,40
00162523,161,2
00188646,159,25
00188670,318,39
00189219,267,9
00189278,353,22
00189286,423,43
00189340,303,46
00189448,395,4
00189545,201,26
00190578,453,29
00200190,286,45
00200255,170,34
00207160,469,23
00207179,323,37
00207721,31,11
00219576,262,6
00219991,245,18
00220000,354,21
00220280,58,42
00220418,484,36
00220434,68,41
00231584,179,38
00235954,485,34
0024094X,197,17
00255610,473,37
00255661,280,25
00283045,199,38
0030364X,455,12
00303887,184,23
00313203,455,42
0031868X,60,22
00329460,373,21
00330337,64,27
00361682,253,31
00375497,329,6
00380644,140,27
00405833,494,40
00447870,316,34
00457825,144,12
00457906,30,45
00457930,338,7
00457949,176,10
00672904,283,45
00917036,397,17
00928240,98,26
0094114X,325,21
00950033,23,28
00952338,251,46
00958956,274,2
00960551,355,43
00961000,62,1
00961620,395,36
00963518,349,26
00973165,101,29
00975397,376,21
00978493,453,11
00981354,464,40
00983004,437,11
00983500,273,36
00985589,440,49
00989886,44,39
01031759,215,40
01033786,90,35
01046500,429,34
01279084,369,24
01287680,397,22
01290533,11,5
01290541,399,33
01290657,63,36
01291564,115,47
01291831,269,20
01296264,319,19
01324160,486,35
01342452,200,43
01344889,411,17
01371223,227,45
01389130,53,43
01400118,171,34
01403664,211,9
01419331,455,26
01419382,493,2
0142694X,279,9
01432087,360,9
01437062,313,40
01437070,280,17
0143991X,465,1
0144929X,471,25
01464116,224,43
01464833,261,40
01485598,199,42
01489267,305,25
01611194,222,39
01622439,217,35
01628828,246,3
01630563,347,37
01635808,376,44
01635840,62,44
01635980,289,30
01635999,419,38
01636804,226,34
01640925,261,12
01641212,197,19
01641239,389,37
01650114,50,44
01651684,166,49
01655515,24,17
01663615,310,10
01665316,74,49
01674048,354,47
01675133,336,12
01675265,18,16
01676377,353,24
01676393,138,19
01676423,145,8
01676911,481,31
01677055,72,21
0167739X,148,17
01678094,90,23
01678191,401,37
01678329,172,16
01678396,428,6
01678655,298,8
01679236,388,25
01679260,270,18
01679473,499,25
01681699,240,12
01687433,50,15
01687875,37,26
0168874X,144,41
01691015,210,45
01691864,337,26
01692607,277,47
01692968,427,32
01697439,42,10
01706012,57,16
01722190,416,7
01770667,71,17
01782312,225,23
01782770,302,26
01782789,108,21
01784617,181,22
01787675,369,7
01795376,223,14
01966774,484,15
01969722,44,7
01972243,458,9
01976729,236,48
02180014,110,8
02181266,440,23
02181940,471,29
02181959,140,18
02182130,266,31
02184885,14,30
02185393,227,39
02186543,264,35
02188430,407,18
02191377,368,42
02191989,292,39
02192659,402,17
02194678,216,14
0219581X,24,31
02196220,355,24
02196264,51,35
02196336,389,44
02196492,470,45
02196867,188,34
02196913,72,3
02197200,361,37
02198436,240,43
02198762,250,40
02286203,61,26
02320274,105,23
02397528,397,44
02544156,231,39
02544164,494,15
02570130,416,49
02628856,240,4
02635577,246,29
02635747,152,22
02640473,180,25
02644401,38,13
0266352X,45,18
02664720,22,33
02664909,169,16
02665611,336,45
02669838,196,42
02673649,252,44
02675730,95,2
02676192,293,35
02681102,75,42
02681145,179,34
02683768,54,30
02683962,71,13
02684012,450,13
02686961,143,18
02692821,293,32
02693798,37,32
02698889,117,35
02705257,53,39
02712091,349,46
02721716,295,29
02721732,455,49
02724715,340,29
02725428,137,44
02750708,357,16
02766574,482,44
02767783,240,47
02776693,199,10
0277786X,234,30
02780062,394,25
02780070,386,39
0278081X,292,20
02783649,455,5
02786125,130,1
02859831,470,49
02883635,242,3
02896540,268,45
03010066,368,14
03029743,207,30
03043975,465,4
03050548,420,18
0305215X,146,37
03055728,327,25
03064379,174,48
03064573,234,1
03081079,316,46
03085961,243,15
03155986,181,9
0324721X,161,15
03321649,472,49
03327353,324,24
03341860,383,4
03401200,169,12
03406253,105,37
03409422,481,37
03505596,242,43
03600300,189,6
03601315,122,39
03608352,327,46
03617688,451,24
03620972,61,11
03621340,277,13
03625915,304,34
03636399,395,25
03640213,396,7
03645916,122,4
0364765X,110,8
03650359,122,20
03677508,449,29
0368492X,196,46
03733505,122,10
03765075,11,43
03772063,139,34
03772217,229,26
03782166,63,41
03784754,352,49
03787206,494,3
03875806,234,5
03990559,394,5
0424267X,412,47
05361486,135,23
05776686,139,49
05891019,62,9
07168756,181,35
07300301,227,20
07303157,169,49
07338716,256,18
07342071,333,17
07356331,448,24
07365845,212,3
07365853,193,32
07370024,264,13
07372884,303,47
07376278,289,25
07378831,381,4
07380569,107,14
0738100X,207,37
07384602,479,34
07400551,404,11
07403232,249,41
07406797,153,3
07407459,106,28
07407475,210,29
07408188,133,9
07421222,335,25
07421303,473,34
0743166X,358,12
07437315,268,42
07475632,157,9
07479360,261,15
0749596X,452,40
07612486,429,25
07612508,412,5
08200750,460,34
08247935,156,24
08268185,157,15
08408688,361,38
08676356,208,8
08684952,317,5
08821666,498,48
08824967,426,26
08839514,433,18
08840709,137,6
08843627,48,37
08847495,347,48
08848173,369,13
08852308,138,28
08856125,276,5
08857458,485,13
08857474,450,17
08859507,482,40
08873801,443,45
08874417,160,32
08883270,424,29
0888613X,487,3
08900604,108,34
08905401,272,40
08906327,261,27
08908044,153,13
08912017,355,45
08912513,121,33
08919003,69,6
08927022,394,16
08936080,313,40
08943222,263,28
08943370,149,33
08944393,462,48
08950156,46,41
08956111,169,13
08957177,18,43
08968434,242,45
08968438,108,25
08971889,156,42
08981221,313,36
08993408,217,27
08998205,140,38
08999457,413,7
09050167,161,5
09153942,63,43
09168508,129,45
09168516,170,31
09168532,417,23
09205489,125,42
09205691,84,10
0920654X,122,32
09208542,465,43
09210296,429,30
09217126,431,39
09218890,113,31
09225773,349,18
09226443,263,36
09226567,236,2
09235965,121,14
09236082,482,13
09240136,108,29
09241868,162,12
09242716,358,39
09246495,411,2
0924669X,393,32
09248463,375,13
09249907,347,46
09251022,203,27
09251030,319,49
09252312,172,41
09253467,217,17
09255001,454,40
09257721,178,31
09258531,493,34
09259724,170,24
09259856,77,45
09259902,298,35
09262245,407,48
0926227X,286,6
09266801,313,19
09268782,413,30
09270256,393,7
09272852,401,10
09277099,144,41
09281045,204,32
09287329,410,34
09288910,137,28
09290907,42,15
09295585,185,30
09295593,469,37
09296212,452,29
09324194,380,22
09328092,479,4
09331875,384,20
09332790,31,32
09333657,247,36
09345043,167,4
09376429,47,27
09410635,239,17
09410643,374,12
09424962,60,22
09458115,447,17
09467076,273,10
09473602,292,1
0948695X,36,22
0949183X,235,26
09505849,286,18
09507051,295,14
0951192X,106,47
09515666,293,29
09521976,376,12
09528091,457,36
0952813X,490,35
09535438,462,12
09537287,326,7
09540091,313,29
09540695,156,11
09541810,13,33
09555986,44,6
0955792X,201,47
09563385,58,15
09565515,26,32
09567968,181,11
09569944,229,23
09574158,167,26
