Journal,Publications,Authors
00031305,112,46
0003486X,445,18
00063444,280,35
00117315,116,16
00163287,81,41
00200255,198,36
00207276,30,33
00207543,112,4
00219002,131,33
00219398,476,14
00223239,224,21
00224065,340,48
00251747,468,20
00251909,97,8
00261335,382,7
0030364X,109,3
00303887,369,17
00347590,140,48
00359254,159,12
00380121,318,22
0038271X,267,22
00390402,353,46
00390631,423,30
00405833,303,38
0040585X,395,38
00410241,201,45
0047259X,453,8
00487333,286,27
00905364,170,27
00911798,469,34
00922102,323,21
00949000,31,30
00949655,262,33
01017438,245,28
01202596,354,47
01436570,58,33
01439782,484,5
01443577,68,48
01605682,179,19
01621459,485,4
01654896,197,35
01676377,473,49
01676687,280,17
01677152,199,44
01679236,455,28
0169023X,184,30
01716468,455,29
01764268,60,46
01788051,373,6
02175959,64,35
02191989,253,41
02331888,329,37
02331934,140,24
02460203,494,29
02545330,316,49
02560909,144,46
02570130,30,31
02664763,338,35
02683946,176,33
02684012,283,21
02699648,397,32
02726963,98,23
02767783,325,33
02776693,23,3
03036898,251,18
03050483,274,25
03050548,355,42
0305215X,62,31
03059049,395,3
03064573,349,40
03067734,101,46
03153681,376,24
03155986,453,32
03195724,464,47
03233847,273,23
0324721X,440,2
03409422,44,27
03461238,215,42
03540243,90,2
03613682,429,26
0364765X,59,17
03772217,369,40
03783758,397,33
03787206,11,9
0390590X,399,43
03990559,115,39
04534514,269,29
07350015,319,42
07353766,486,26
07362994,200,35
07421222,227,24
0742597X,53,13
07488017,171,7
07981015,211,36
08834237,455,45
08884773,493,20
0894069X,360,8
08943257,313,46
08949840,280,16
09206299,465,14
09234748,471,12
09255001,224,23
09255273,261,15
09262644,199,28
09268782,305,34
09325026,222,2
09434062,217,32
09492984,347,22
09504230,376,25
09507051,62,22
09534814,289,22
09537287,419,49
09537325,226,42
0954478X,261,6
09573720,197,15
0960085X,389,43
09603174,50,37
09604529,166,33
09638687,310,44
09641998,74,44
09658564,354,5
09675426,336,39
0968090X,18,4
09696016,138,45
09727671,145,32
09731385,481,30
0976836X,72,47
09768386,148,35
10128255,90,40
10170405,401,16
10198385,172,13
1026597X,298,30
10276084,388,19
10445005,270,17
10452354,499,19
10477047,240,28
10478310,50,26
10485252,37,37
10496505,144,26
10505164,210,23
10512004,337,9
10579214,277,12
10591478,427,1
10618600,42,1
10627375,57,47
10665307,416,34
10705511,71,32
10821910,225,48
1083589X,302,25
10836489,108,40
10857117,181,45
10919856,369,1
10920277,223,16
10927026,484,39
10944281,44,5
10946136,458,22
1097198X,236,29
11092769,440,12
11092858,471,26
11108665,140,16
11219130,266,37
11251964,14,22
11330686,227,29
11345764,264,14
11739126,407,28
12264717,368,5
12347655,292,47
13505076,402,49
13528505,216,30
13573217,24,46
13675567,355,5
13682148,51,12
13691473,389,16
13697412,470,26
13811231,188,26
1381298X,72,48
14156555,361,21
14256908,240,39
14322994,250,36
1435246X,61,33
14413523,105,30
14498618,397,37
14608545,231,23
14624621,494,10
14636689,416,5
14654644,240,36
14668297,246,34
14684330,152,31
1470160X,180,10
14708272,38,19
14709503,45,32
1471082X,22,1
1471678X,169,5
14758962,336,45
14778238,196,4
14789906,252,16
14793059,95,24
14793121,293,16
15234614,75,2
15241904,179,49
15266125,54,28
15329194,71,32
15389472,450,27
15458490,293,24
15480518,37,12
15481115,117,35
15483657,53,33
15487660,349,33
15510123,295,43
15551229,455,37
15553396,340,12
15574679,137,3
15586898,357,1
15697371,482,33
15719545,240,40
16168658,234,43
16174909,394,44
16182510,386,29
16194500,292,13
1619697X,455,12
16258312,130,31
16798171,125,46
16843703,470,2
16879147,242,35
16962281,268,23
17262135,368,17
17277051,207,26
17350654,465,8
17382122,146,26
17400589,327,10
17402832,174,26
17410398,234,34
1741539X,316,41
17418763,243,7
17421772,181,4
17425468,161,45
17427967,472,11
17435110,324,29
17438187,383,36
17438268,169,25
17442370,105,21
17457645,481,36
17460972,242,10
17465664,189,37
17477778,122,9
17481252,327,24
17484995,451,35
17506166,277,35
17509653,304,48
17517575,396,18
17542731,110,39
17555345,122,32
17558050,449,24
17566517,196,32
17567017,122,37
17575850,11,12
1758938X,139,49
17589401,229,13
17835917,63,23
18006450,352,25
18033814,494,35
18162711,233,41
18246672,234,30
18480225,394,17
18546250,412,49
18629679,135,20
1865035X,139,48
1866749X,62,25
18684238,181,22
18745482,227,13
18747655,169,19
18952038,425,36
19302975,333,41
19326157,448,19
19355688,212,12
19357524,193,9
19361955,132,7
19366582,410,28
19369735,264,14
19387741,303,31
19391374,289,19
19393555,334,47
19416253,381,16
19437536,107,5
19478283,404,25
19488289,249,21
19826907,153,36
19952880,106,23
20084889,210,16
20085893,133,39
20088302,196,45
20103263,335,42
2040106X,358,14
20404166,268,31
20404468,157,5
20426747,261,35
2044124X,452,23
20474954,429,29
20476965,412,43
20503318,355,11
20503326,460,18
20511310,156,47
20534620,361,9
20777973,498,17
20808208,426,38
20818858,433,7
20894872,137,46
20903359,48,13
20925212,347,40
20957513,138,9
20962320,276,27
20967527,485,2
21154430,450,5
21643962,482,29
21676461,443,37
21909733,160,38
21914761,424,19
21924376,487,8
21924406,307,48
21931402,108,45
21933677,272,1
21939438,261,22
21985804,355,7
22105395,121,25
22109706,69,45
22116923,378,4
22147160,11,36
22178309,394,6
2245800X,313,31
22916822,149,44
2311004X,169,10
23250984,18,26
23259965,242,19
23268298,108,39
23270012,156,3
23299460,313,45
23301635,217,13
23302674,140,28
23322071,413,20
23332050,161,28
23375787,129,41
23405317,170,39
23516046,417,1
23636203,125,3
23672390,84,13
23831359,122,28
23985038,465,49
23985364,429,25
2452414X,113,38
24754269,349,6
24970107,263,44
25002597,236,45
25097962,121,32
2573234X,162,21
26403943,358,16
26661888,411,21
7653697,393,11
