Journal,Publications,Authors
00016357,112,37
00017000,445,23
00017019,358,39
00026417,280,45
00028177,116,15
00029416,81,43
00033219,198,29
00039969,30,36
00070610,112,13
00086568,131,32
00114553,476,7
00118524,224,22
00118532,340,28
00154725,468,2
00206539,97,42
00220337,382,45
00220345,109,6
00223484,369,28
00223492,161,28
00223913,140,44
00224006,159,44
00264970,318,20
00304220,353,11
00336572,423,28
00347507,303,25
00351768,395,39
00450421,201,33
00992399,453,1
01036440,286,27
01092502,170,13
01095641,469,41
01415387,323,3
01432885,31,39
01455508,262,6
01606972,245,8
01641263,354,27
01987569,58,9
02048043,484,37
02131285,68,33
0250832X,179,42
0265539X,485,44
02664356,197,24
02751879,473,15
02782391,280,32
02874547,199,32
03005712,184,41
03009785,60,49
03010503,373,12
03015661,64,39
03036979,253,2
0305182X,329,3
03055000,140,49
03479994,494,37
03617734,316,49
03636771,144,17
07098936,30,49
07340664,338,2
08822786,176,2
08869634,283,28
08895406,397,23
08932174,98,37
08948275,325,32
08958831,23,33
09015027,251,1
09020055,274,19
09042512,355,2
09057161,62,44
09066713,395,26
09098836,349,32
09116028,101,6
09172394,376,32
09264970,453,4
09439692,464,11
09607439,437,17
09709290,440,24
09720707,44,5
09721363,215,34
09724052,90,6
09728279,429,22
0973029X,59,11
09747052,369,48
0976237X,397,16
10105182,399,9
10139052,63,6
10423699,115,16
10432256,269,29
10454411,319,3
10506934,486,20
10534628,200,36
10556656,411,19
10566163,227,26
1059941X,53,3
10613315,171,19
10646655,211,20
10738746,455,32
10792104,493,7
11214171,279,41
11372834,360,33
11581336,313,40
12732761,280,39
13057456,465,18
1309100X,471,40
13291947,224,1
13417649,261,11
13434934,199,28
13490079,305,25
1354523X,222,23
13688375,217,31
13886150,246,30
13965883,347,42
14182874,62,7
14326981,289,16
14329417,419,26
14345293,226,48
14615185,261,49
14620049,197,2
14634201,389,1
14726831,50,48
14882159,166,12
14964155,24,5
15230899,74,32
15263711,354,9
15323382,336,41
15518949,18,35
1591996X,138,48
16004469,145,16
16015029,481,3
16016335,72,20
16021622,148,24
16181247,90,33
1644387X,401,24
16585984,172,11
16591046,428,49
16742818,298,8
16787757,388,36
16878728,499,40
16984447,240,20
17237785,50,35
17357497,37,48
17419409,144,25
17522471,210,35
17562406,337,25
17617227,277,29
17625661,427,18
17696836,42,46
17696844,57,18
18068324,416,2
18186300,71,35
18272452,225,16
1829006X,302,41
18651550,108,36
18742106,181,33
18827616,369,4
18831958,223,33
19395833,484,14
19783728,44,21
19917902,458,48
20057806,236,20
2008210X,110,8
20089783,440,7
2036413X,471,3
20411006,140,17
20726406,266,33
20906447,14,48
20932278,227,12
22116923,368,46
22124268,292,30
22124403,402,38
22125558,216,38
22136533,24,45
22310762,355,8
22337822,51,27
22347550,389,27
22966498,470,34
23214600,72,30
23330384,361,33
23800844,240,28
25030817,250,47
26306158,61,33
27246329,105,5
27849015,397,48
87502186,231,19
