Journal,Publications,Authors
00013986,112,33
00014338,445,30
00014370,358,39
00015113,280,27
00015237,116,36
00015687,81,29
00015709,198,38
00015717,30,33
00015725,112,37
00015733,131,27
00016594,476,33
00017132,224,4
00021571,468,2
00022470,97,10
00025968,382,5
00027014,109,10
00028606,369,33
00029599,161,38
00030007,140,13
0003004X,159,31
00031569,318,47
00034010,267,36
00040851,353,45
00044822,423,24
00045322,303,15
00045500,395,29
00045608,201,8
00046256,453,5
00046264,286,29
00046280,170,47
00046337,469,4
00046361,323,12
0004637X,31,45
0004640X,262,2
0004654X,245,27
00046973,354,31
00046981,58,36
00049182,484,36
00049743,68,26
00058173,179,43
00066729,485,27
00068314,197,5
0007084X,473,20
00074632,280,11
00074802,199,10
00074977,455,40
00082821,184,38
00083658,455,6
00083674,60,8
00084077,373,23
00084476,64,47
00087041,253,26
00088174,329,46
00088714,140,43
00092355,494,12
00092541,316,26
00092819,144,13
00098558,30,40
00098604,338,18
0010406X,176,25
00107990,283,33
00107999,397,47
00109525,98,40
00116297,325,43
00120308,23,12
0012821X,251,44
00128228,274,36
00128252,355,48
00128287,62,4
00129402,395,5
00132942,349,37
00137952,101,8
00139998,376,42
00140015,453,49
00141496,464,28
00142158,437,31
00155403,273,9
0015542X,440,29
00155551,44,14
0015573X,215,40
0016-7312,90,41
00161152,429,22
0016626X,59,11
00166995,369,23
00167002,397,1
00167029,11,46
00167037,399,37
00167118,63,21
00167169,115,26
00167193,269,46
00167223,319,36
00167282,486,23
00167312,200,1
00167363,411,40
00167398,227,15
00167428,53,21
00167460,171,47
00167479,211,9
00167487,455,9
00167525,493,10
00167568,279,26
00167606,360,41
00167614,313,35
00167622,280,25
00167649,465,26
00167746,471,11
00167789,224,38
00167835,261,2
00167853,199,7
00167878,305,18
00167886,222,27
00167932,217,34
00168009,246,27
00168025,347,17
00168033,376,43
00168505,62,44
00168521,289,24
00168556,419,25
00170291,226,7
0017467X,261,6
00179957,197,24
00179973,389,33
00191035,50,49
00192872,166,29
00202754,24,43
00205958,310,22
00206466,74,26
00206814,354,28
00206946,336,21
00207128,18,49
00207233,353,7
00211753,145,20
00212164,481,41
00217972,72,49
00218502,148,20
00218588,90,22
00219142,401,28
00219169,172,40
00221341,428,49
00221376,298,7
00221392,388,1
00221430,270,32
00221945,499,13
00222402,240,30
00222755,50,23
00223360,37,19
00223530,144,32
00223670,210,30
00223743,337,29
00224472,277,49
00224588,427,45
00224650,42,29
00224928,57,30
00225304,416,16
00229202,71,40
00241164,225,19
00243590,302,18
00244902,108,1
00244937,181,14
0024581X,369,47
00249521,223,2
00253227,44,49
00253235,458,30
0025326X,236,38
0025326x,110,4
00253324,440,1
00253359,471,8
00258296,140,29
00261114,266,39
00261165,14,3
00262803,227,32
00264598,264,10
0026461X,407,10
00264628,368,19
00267775,292,46
00270644,402,34
00270903,216,33
00280798,24,23
00283630,355,28
00283649,51,32
00288144,389,7
