Journal,Publications,Authors
00014788,112,34
00014826,445,38
00016373,358,33
00021121,280,24
00021466,116,15
00028282,81,30
00029092,198,42
00029246,30,17
0003603X,112,5
00036846,131,29
00048992,476,4
0004900X,224,10
00049018,340,17
00059080,468,10
00072303,382,20
00074918,109,24
0007666X,369,5
00077135,161,34
00083976,140,6
00084085,159,2
00085111,318,13
00121533,267,43
00128775,353,43
00129682,423,48
00129933,303,11
00129976,395,47
00129984,201,23
00130079,453,16
00130095,286,31
00130117,170,11
00130133,469,16
00130249,323,8
00130427,31,4
00130451,262,40
00130567,245,4
00130613,354,25
0013063X,58,3
00133035,484,32
00133264,179,27
0013791X,485,29
00142182,197,32
00142921,473,19
00143138,280,21
00144983,199,5
00151920,455,18
0015198X,184,28
00152218,455,42
00157325,60,22
00178012,373,21
00182702,64,6
00194646,253,1
00194670,329,5
00197416,140,41
00205346,494,12
00206598,316,26
00207063,144,46
00207276,30,34
0020871X,338,49
00213624,176,14
00214027,283,26
00218456,397,45
0021857X,98,27
00219398,325,9
00219436,23,26
00219886,251,47
00220078,274,22
00220485,355,47
00220507,62,30
00220515,395,43
00220531,349,48
00221082,101,17
00221090,376,26
0022166X,453,36
00221821,464,1
00221996,437,8
00222186,273,49
00222437,440,35
00222879,44,15
00223808,215,47
00224367,90,22
00224995,429,14
00225258,59,26
00235962,369,28
00237639,397,23
00238791,11,14
00246301,399,24
00261386,63,2
00269611,115,45
00279501,269,26
00280283,319,14
00307653,200,3
00323233,411,47
00335533,227,23
00342971,53,46
00346527,171,43
00346535,211,47
00346586,455,45
00346764,493,18
00346799,279,38
00347140,360,35
00352764,313,15
00355054,280,25
00356190,465,37
0035676X,471,28
00369292,224,10
00380121,261,39
00382280,199,17
00384038,305,39
00385859,222,22
00405833,217,26
0040747X,246,44
00413011,347,25
00413291,376,17
00428736,62,13
00442372,289,20
00443158,419,25
00443751,226,4
0046001X,261,10
00463892,197,3
00472506,389,41
00472727,50,45
00475394,166,18
00485829,24,47
00752800,310,36
00779954,74,47
00920703,354,22
00935301,336,34
00941190,18,47
00945056,353,8
00950696,138,40
00952583,145,49
00954918,481,44
00989258,72,19
00989495,148,42
01013157,90,41
01014161,401,37
01032003,172,6
01036351,428,26
01161105,298,34
01202596,270,6
01203584,499,37
01203592,240,33
01204483,50,22
01214772,37,21
01221450,144,6
01235923,337,48
01245996,277,4
0139570X,427,30
01409883,42,11
01418130,57,30
01435671,416,31
0144333X,71,24
01443585,225,9
01448188,302,3
01451707,108,31
01452258,181,40
01475967,369,37
0148558X,223,36
01486195,484,24
01492063,44,31
01543229,458,6
01548344,236,2
01559982,110,20
01603477,440,28
01618938,471,11
01622439,140,4
01640704,14,6
01651587,227,49
01651765,264,30
01651889,407,38
01654101,368,2
01660462,292,15
01672681,402,11
01674544,216,8
01674870,24,26
01676245,355,45
01676687,51,44
01677187,389,5
01687034,470,6
01695150,188,26
01761714,72,4
01762680,361,19
01851667,250,33
01956574,61,20
01974254,105,49
01976729,397,12
02017083,231,47
02053292,494,1
02100266,416,26
02101173,240,14
02102412,246,38
02126109,152,37
02133865,180,11
02174561,38,36
02175908,45,13
02190249,22,43
02190915,169,3
02197472,336,33
02244365,196,6
02494744,252,10
02512920,95,5
02521148,293,23
02543737,179,44
02548372,54,2
02573032,71,13
02583690,450,40
02586770,143,2
02601079,293,20
02615606,37,1
02637472,53,9
02649993,349,17
02650525,295,9
02659646,455,11
02662671,340,15
02663821,137,24
02664658,357,38
02664666,482,35
0266903X,240,30
02674424,199,31
02686902,234,49
02690942,394,5
02692171,386,44
02702592,292,14
02707314,455,11
02727757,130,9
02733072,125,34
02751100,470,12
02755319,242,35
02772027,268,35
02775921,368,1
02776693,207,40
02780380,465,22
03014207,146,8
03017036,327,11
03023052,174,41
03031853,234,37
03042758,316,14
