Journal,Publications,Authors
0003701X,112,49
00047120,445,46
00074802,358,31
00092355,280,35
00093092,116,33
00102180,81,21
00102202,198,32
00105082,30,23
00134651,112,33
00137308,131,3
00139157,476,18
00139998,224,25
00162361,340,42
00167169,468,31
00167460,97,3
00189499,382,40
00189510,109,46
00206067,369,24
0020708X,161,32
0020708x,140,47
00219487,159,22
00222739,318,23
00222755,267,2
00223115,353,27
00223131,423,42
00282421,303,2
00282448,395,26
00295450,201,17
00295493,453,40
00295639,286,33
00295922,170,9
00300608,469,43
00301388,323,48
00316423,31,39
00327867,245,42
00338451,354,26
00354066,58,35
00368792,484,25
00380741,68,24
0038092X,179,13
0038531X,485,7
00403636,197,36
00406015,473,45
00820784,280,20
00903507,199,1
00908312,455,8
00962015,184,46
00972460,455,16
01128116,60,14
01225383,373,12
01300997,64,23
01404067,253,15
01409883,329,28
01416421,140,34
01418130,494,2
01420615,316,32
01425919,144,23
01430750,30,22
01442600,338,25
01445987,176,22
01462520,283,22
01491423,397,49
01491970,98,42
01492136,325,6
01640313,23,15
01652370,251,43
01660810,274,37
01665162,355,33
01676105,62,8
01722190,395,44
01950738,101,5
01956574,376,39
01968904,453,4
01996231,464,6
01998595,437,45
02023822,273,32
0208189X,440,30
02185393,44,47
02357208,215,35
02365731,90,40
02532697,429,16
02533219,59,13
02539993,369,42
02540096,397,30
02546086,11,19
02552701,399,17
0256596X,63,19
02580926,115,28
02602814,269,26
02625091,319,37
02646811,486,26
02668920,200,23
02682575,411,9
02731371,227,12
02750473,53,1
02759306,171,1
03014215,211,47
0303240X,455,34
03062619,493,32
0306400X,360,25
03064549,313,40
0309524X,280,45
03097846,465,1
03549836,224,39
03601285,261,5
03603199,199,22
03605442,305,29
03614476,222,3
03615219,217,12
0363907X,246,26
03683281,347,16
03756505,62,22
03783820,419,14
03787753,226,28
03787796,261,5
03854213,197,47
03923029,389,49
04247760,50,30
05599350,166,46
05693799,24,5
05824664,310,12
07168756,74,16
07203322,354,26
07339402,336,26
07413335,138,39
07424795,145,36
07484658,481,33
08434379,72,30
08698643,90,23
08708312,401,10
0873948X,172,5
08843759,428,36
08858950,298,34
08858969,388,31
08858977,270,10
08870624,499,19
08904332,240,32
08905487,50,1
08936188,37,5
08941777,144,45
09168753,210,4
09191038,337,16
09203796,277,24
09204105,427,16
09214534,42,2
09231730,57,49
09270248,416,28
09323902,71,32
09504230,108,24
09547118,181,12
09571787,369,35
09576509,223,33
09582118,484,33
0958305X,44,43
09596526,458,37
09601481,236,12
09608524,110,3
09619534,440,1
09655441,471,33
09680802,140,40
09703888,266,10
0972057X,14,43
09720626,227,44
09724443,264,29
09726268,407,13
09730826,368,12
09741496,292,31
09743154,402,46
10000976,24,35
10001026,355,23
10003436,51,17
10003673,389,26
10006761,470,8
10006931,188,29
10008144,72,26
10011609,361,10
10018042,240,26
1002106X,250,34
10036520,61,41
10039953,105,7
10044388,397,4
10063471,231,45
10066748,494,11
10067043,416,29
10069305,240,36
1007449X,246,25
10183639,152,21
10238166,180,36
10406190,45,37
10440046,22,9
10485236,169,24
10519998,336,35
1054853X,196,49
10549811,252,35
1055677X,95,48
10563466,293,36
10618562,75,18
10627995,179,49
10634258,54,39
10646671,71,32
1064668X,450,24
10772618,143,23
10783466,293,32
10798765,37,37
1086055X,117,12
10868259,53,49
10916466,349,13
10933611,295,23
10946470,455,25
10954244,340,35
10986189,137,41
11100621,357,30
1110662X,482,17
11122242,240,49
12944475,199,20
1308772X,394,25
13150855,386,22
13468804,292,13
13522523,455,19
13540793,130,49
13594311,125,36
1362363X,470,12
13640321,242,41
13647830,268,19
13921649,368,12
14255960,207,9
1430144X,420,28
14315254,146,14
14328488,327,31
14513994,234,47
14514117,316,16
14514869,243,5
14642859,181,35
14724561,161,12
14728923,472,25
14738325,324,21
14746778,383,36
14753219,169,23
1476914X,105,16
14786451,481,39
1478646X,242,45
14802422,189,42
15112780,122,39
1513718X,327,14
15294900,451,31
15325008,61,5
15361055,277,35
15406008,395,29
15407977,396,43
15407985,122,11
15435075,110,18
15453669,122,47
1550624X,449,12
1553779X,90,9
15566560,196,10
15567036,122,44
15567249,11,17
15568318,139,38
15583724,229,7
15614417,63,46
1570646X,352,13
16130200,233,42
16146832,234,9
16156846,394,27
16725107,412,2
16735005,135,5
16737393,139,29
16743962,62,37
16829344,181,38
16876075,227,19
17293774,169,8
17385733,207,48
17408822,425,45
17416361,256,1
1741640X,333,22
17416418,448,17
17424267,212,7
17428297,193,25
17437601,132,45
17439671,410,4
17452058,264,36
17453194,303,6
