Journal,Publications,Authors
00011096,112,21
00011452,445,38
00012491,358,15
00012785,280,21
00014575,116,10
00015970,81,23
00016160,198,39
00017043,30,5
00019240,112,1
00022667,131,13
00023388,476,21
00025968,224,26
00026557,340,45
00028231,468,21
00028266,97,18
00028711,382,37
00030694,109,45
00034282,369,32
00034347,161,36
00036781,140,17
00036870,159,35
00036900,318,49
00036935,267,11
00036994,353,21
00037214,423,26
00038504,303,4
0003858X,395,34
0003861X,201,48
00038628,453,18
00038695,286,40
00039039,170,35
00039527,469,41
00040738,323,29
00040746,31,29
00040770,262,38
00045411,245,42
00046205,354,21
00047015,58,42
00047554,484,13
00049433,485,17
00051098,197,9
00051144,473,41
00051179,280,1
00059900,199,2
00063398,455,48
00066710,184,29
0007084X,455,33
00071137,60,10
00071641,373,40
0007215X,64,21
00073628,253,28
0007473X,329,11
0007506X,140,34
00078506,494,8
00082821,144,8
00083674,30,49
00084433,338,15
00088846,176,17
00092509,397,24
0009286X,98,45
00104485,325,19
00109525,251,32
0011085X,274,44
00114227,355,1
00117471,62,23
0011748X,395,37
00119164,349,8
00120413,101,13
00124419,376,8
0012494X,453,23
00127353,464,43
00127361,437,1
00134252,273,45
0013449X,440,24
00134503,44,35
00134902,215,24
00135194,90,17
00135585,429,5
00135852,59,20
00137219,369,21
00137308,397,40
00137480,11,31
00137782,399,46
00137898,63,36
0013791X,115,11
00137944,269,15
00139084,319,19
00139327,486,7
00140058,200,28
00144851,411,43
00147672,227,5
00150568,53,5
00151882,171,30
00152684,211,32
00154628,455,8
00157899,493,10
00160032,279,38
00161136,360,47
00162523,313,32
00163317,280,48
00167142,465,28
00171085,471,17
00174653,224,31
00179310,261,8
0018-9294,199,40
0018-9367,305,25
0018151X,217,2
00181536,246,15
00181544,347,3
00189197,376,49
00189200,62,36
00189219,289,4
00189235,419,14
00189251,226,41
0018926X,261,41
00189278,197,25
00189286,389,10
00189294,50,21
00189308,166,36
00189316,24,12
00189324,310,27
00189332,74,40
00189359,354,2
00189367,336,13
00189375,18,32
00189383,353,31
00189391,138,16
00189421,145,32
00189456,72,34
00189464,148,11
00189472,90,10
00189480,401,15
00189499,172,17
00189510,428,40
00189529,298,18
00189537,388,9
00189545,270,25
00189820,499,40
00190578,240,14
00197866,50,25
00197882,37,22
0019901X,144,30
00199958,210,20
00200255,337,21
00200271,277,44
00200883,427,32
00200891,42,46
00200956,57,49
00201154,416,21
00201200,71,35
00202274,225,32
00202967,302,30
00203386,181,49
00205012,369,12
00206024,223,41
00206318,484,47
00207179,44,18
00207209,458,21
00207217,236,13
00207225,110,21
00207357,471,46
00207373,140,40
00207403,266,46
00207462,14,7
00207543,227,23
00207683,264,44
00207721,407,32
00208442,368,11
0020868X,292,22
00212202,402,22
00213292,216,43
00214787,24,25
00214876,355,22
00214922,51,28
00218464,389,29
00218502,470,13
00218669,188,18
00218928,72,2
00218936,361,29
00218944,240,21
00218952,250,15
00219142,61,27
00219169,105,31
00219290,397,15
00219304,231,23
00219576,494,24
00219983,416,44
00220280,240,13
00220434,246,22
00220833,152,43
00220841,180,37
00221120,38,33
00221481,45,3
00221686,22,19
00222305,169,23
0022233X,336,29
00222461,196,30
00223107,252,39
00223654,95,44
00223719,75,25
00223735,179,37
00224065,54,47
00224375,71,8
00224502,450,42
0022460X,143,16
0022460x,293,8
00224650,37,1
00224898,117,44
00225088,53,5
00225096,349,3
00225215,295,1
00225304,455,4
0022815X,340,40
0023432X,137,35
00235334,357,32
00235954,482,42
0024094X,240,34
00247154,199,43
00249831,394,10
