Journal,Publications,Authors
00011541,112,49
00013986,445,45
00015342,358,29
00015504,280,30
0001771X,116,16
00021571,81,40
00022470,198,19
00025852,30,18
0003150X,112,1
00031569,131,14
00032654,476,47
00032670,224,2
0003455X,340,28
00034592,468,49
00037214,97,30
0003925X,382,38
00039896,109,4
00045500,369,1
00046981,161,8
00049573,140,29
00063207,159,39
00063517,318,3
00063657,267,32
0006579X,353,10
00074861,303,19
00074985,395,46
00083976,201,34
00098604,453,33
0010406X,286,23
00119164,170,28
00120235,469,32
00128228,323,7
00132942,31,29
00139157,262,8
00139165,245,1
00139351,354,3
0013936X,58,24
00139998,484,23
00140015,68,8
00142158,179,47
00150010,485,37
00151882,197,3
00153826,473,33
00154725,280,28
00155551,199,47
0015573X,455,8
0015749X,184,34
0016-7312,455,35
00163651,60,32
00165301,373,24
00167312,64,14
00167460,253,32
00167614,329,46
00168009,140,43
0017467X,316,4
00174815,144,37
00179078,30,21
00179957,338,14
00186368,283,48
00192872,397,18
00198366,98,7
00200883,325,10
00206024,23,7
00206466,251,33
00206946,274,23
00207128,355,21
00207233,62,19
00211192,395,48
00213551,349,19
00215007,101,36
00217972,453,18
00218502,464,2
00218901,437,1
00219169,273,47
00220477,440,5
00220493,44,20
00220892,215,11
00221139,90,42
00221392,429,2
00221686,59,3
00221694,369,23
00221708,397,12
00221945,11,20
00222216,399,5
00222372,63,37
00223891,115,38
0022409X,269,30
00224146,319,9
00224472,486,34
00224561,200,44
00224588,411,35
00225258,227,22
00225304,53,44
0022541X,171,24
00237639,211,17
00240966,455,10
00241148,493,30
00249521,279,46
00251291,360,23
00253162,313,32
0025326X,280,17
0025326x,465,17
00260576,471,14
00261114,224,9
00263648,261,40
00270520,199,2
00275107,305,45
00280615,222,25
00280798,217,39
00284939,246,9
00288330,347,22
00291277,376,43
00295493,62,46
00295604,289,4
00295922,419,26
00298018,226,29
00298131,261,45
00300632,197,34
00305693,389,23
00306053,50,37
00307270,166,11
00318663,310,18
00320714,74,21
00322474,354,42
00322687,336,36
00323632,18,41
00327786,353,38
00327867,138,34
00338451,145,17
00340111,481,37
00343331,72,25
00343404,148,38
00350796,90,12
0035113X,401,23
00351822,172,42
00351865,428,22
00353221,298,21
00353493,388,27
00353612,270,31
00356875,499,6
00357448,240,27
00358894,50,40
0035919X,37,34
00359211,144,12
00361488,210,45
00364827,337,7
00367842,277,10
00375330,427,45
00379395,42,17
00380326,71,28
00380741,225,46
00385859,302,2
00390771,108,43
00395471,181,1
00403709,369,36
00409960,484,29
00413291,44,21
00413763,458,11
00416436,236,40
00420980,110,11
00424730,440,36
0042790X,471,49
00429767,140,39
00430951,266,40
00430978,14,35
0043129X,264,47
00431303,407,24
00431354,368,22
00431370,292,5
00431397,402,33
00432822,216,36
00440477,24,47
00442259,355,20
00442836,51,19
00442887,389,35
00443468,470,43
00447447,188,17
00455067,72,45
00456535,361,43
0046225X,240,34
00465763,250,9
00472425,61,26
00472794,105,2
00478164,397,9
00480134,494,40
00483575,416,17
00487554,240,1
00489697,246,25
00496979,152,43
00498254,180,40
00656755,38,42
00664162,45,25
00666416,22,39
00671940,169,35
00679038,336,3
00699616,196,37
00716677,252,44
00741035,95,44
00741612,293,30
00749664,75,38
00751243,179,34
00756458,54,12
00781193,71,19
00790419,450,37
00792047,143,44
00792985,293,49
00798835,37,17
00837792,117,10
00855235,53,49
00903558,349,47
00904341,295,12
00908320,455,16
0091181X,340,24
00916765,357,8
00916773,482,31
