Journal,Publications,Authors
0002726X,112,21
00029459,445,32
00036870,358,23
00039985,280,33
00039993,116,3
00049514,81,18
00063398,198,25
00079782,30,42
00083194,112,31
00084123,131,3
00097209,224,46
00140139,340,24
00185787,97,47
00207144,382,22
00217646,369,2
00219924,161,27
00221058,140,42
00222194,159,2
00224707,318,26
00234494,267,17
00238309,353,40
00251003,423,33
00252514,303,9
00257664,395,43
00257826,201,48
00261270,453,39
00302813,286,29
00319023,469,26
00319155,323,35
00319406,31,25
00327875,262,24
00338397,245,13
00347515,354,7
00365505,58,36
0039906X,484,45
00405744,179,1
00476765,197,46
00487120,473,16
00678856,280,14
00905550,199,12
00913847,455,23
00914916,184,15
00916331,455,28
00917370,60,34
0093934X,373,2
0093934x,64,32
0094730X,253,23
00954470,329,22
01013289,140,25
01121642,494,22
01218123,144,49
01448420,30,42
01457217,338,6
01461044,176,15
01466453,283,43
01478885,397,37
01485598,98,33
01492195,325,8
01509861,23,44
01566555,274,5
01611461,355,39
01614754,62,4
01617346,395,6
01679899,349,45
01724622,101,32
0179051X,376,30
01906011,453,47
01924788,464,35
01942638,437,40
01959131,273,16
01960202,440,13
01974556,44,42
02115638,215,30
02128799,90,19
02144603,429,17
02210363,59,19
02219363,369,28
02423081,397,26
0242648X,11,37
0247106X,399,26
02611929,63,23
02640414,115,9
02656590,269,12
02666154,319,1
02692155,486,1
02699206,200,47
02701367,411,34
02703181,227,32
02729490,53,48
02735024,171,25
02738481,211,40
02755408,455,45
02780062,493,1
02784297,279,16
02784807,360,39
02785919,313,5
02841851,280,22
03000508,465,29
03015564,471,3
03015629,224,12
03063674,261,26
03067297,199,16
03080226,305,37
03093646,222,22
03422380,217,29
03423026,246,14
03425282,347,28
03445925,376,5
03634655,62,47
03635465,289,49
03796175,226,46
03799069,261,5
03930564,197,12
04280296,389,16
05678056,50,26
07209762,166,26
07319487,24,48
07340451,310,21
07340478,74,39
07359683,354,36
07365829,336,33
07369387,18,30
07380577,353,37
07399332,138,23
07411235,145,10
08100713,90,31
08164622,401,10
0860021X,172,19
08692084,428,32
08827524,298,1
08856257,388,5
08859701,270,45
08873852,499,4
08878013,240,16
08884773,50,24
08921997,37,16
08941130,144,2
08949115,210,49
08956111,337,28
08958017,277,32
08960267,427,27
08962960,42,20
08971889,57,24
08985669,416,12
08998493,71,35
09057188,225,33
09155287,302,33
09224777,108,43
09247025,181,37
09269630,369,12
09281231,223,3
09281258,484,1
09350020,44,33
09366652,458,40
09393889,236,10
09426086,440,44
09428623,471,29
09428925,140,13
09434747,266,12
09465448,14,31
09467785,227,46
09486143,264,2
0949328X,407,35
09553002,368,23
09582592,292,17
09583947,402,26
09593020,216,8
09593985,24,29
09605290,355,26
09607692,51,10
09617671,389,26
09622802,470,34
09644679,72,7
09652299,361,4
09667903,240,45
09685243,250,11
09687599,61,29
09725938,105,36
09803483,397,25
10111344,231,21
10217762,494,36
