Journal,Publications,Authors
00012815,112,26
00016934,445,8
0001706X,358,29
0001723X,280,26
00029637,116,10
00033898,81,26
00034150,198,34
00034967,30,41
00034983,112,7
00036072,131,4
00036838,476,45
0003925X,224,11
00039365,340,29
0004069X,468,36
00043591,97,25
00052086,382,21
0006341X,109,36
00063592,369,10
00064971,161,37
00074985,140,9
00084166,159,24
00088749,318,35
00099104,267,49
00124966,353,35
00142980,423,48
00144894,303,36
00155500,395,18
00155632,201,49
00155683,453,39
00170321,286,32
00192805,170,24
00199567,469,23
00202452,323,32
00207519,31,37
00207713,262,12
00212547,245,49
00215139,354,13
00218847,58,23
00219193,484,25
00221007,68,35
00221260,179,41
00221287,485,30
00221317,197,17
0022149X,473,49
0022149x,280,20
00221724,199,48
00221732,455,25
00221759,184,22
00221767,455,13
00222585,60,19
00222615,373,49
00223395,64,36
00223921,253,12
00225193,329,41
00225304,140,19
0022538X,494,12
00234001,316,9
00255564,144,7
0025682X,30,28
00262617,338,14
00262633,176,31
00282596,283,19
00311820,397,47
0031613X,98,16
00329592,325,5
00354082,23,35
00359203,251,12
00362174,274,25
00365548,355,21
00378682,62,36
00380717,395,23
00411132,349,16
00413232,101,39
00426822,376,45
00442208,453,42
00443255,464,39
00447897,437,14
00468991,273,31
00482951,440,5
00652776,44,35
00653527,215,23
00665665,90,29
0070217X,429,43
00794252,59,11
00796352,369,18
00900877,397,47
00901229,11,12
00916749,399,9
00917370,63,10
00928240,115,44
00937711,269,17
00961191,319,38
00978485,486,7
00992240,200,46
0100879X,411,13
0103846X,227,40
01052896,53,42
01054538,171,9
01080180,211,27
01080202,455,2
01081675,493,5
01089684,279,29
01214004,360,37
0125877X,313,38
01275720,280,19
01371320,465,8
01384988,471,48
01388878,224,45
01410229,261,1
01412760,199,22
01415492,305,17
01419838,222,7
0145305X,217,25
01460641,246,45
01460749,347,4
01466615,376,36
01475975,62,6
01479571,289,31
01490451,419,19
01496085,226,44
01615890,261,39
01617354,197,27
01630571,389,10
01633767,50,26
01650378,166,19
01652427,24,39
01652478,310,3
01655728,74,45
01655752,354,13
01656090,336,28
01660934,18,20
01663542,353,28
01666851,138,8
01674919,145,41
01675699,481,39
01677012,72,1
01681605,148,3
01681656,90,13
01681702,401,28
01686445,172,49
01686496,428,25
01694146,298,33
01694758,388,38
01711741,270,6
01712985,499,44
01728172,240,45
01757598,50,32
01766724,37,45
01772392,144,47
01782762,210,21
0178515X,337,16
01787888,277,21
01793098,427,11
01874640,42,37
01920561,57,36
01971522,416,35
01978357,71,19
01988859,225,20
02007713,302,18
02048809,108,47
02049155,181,41
0213005X,369,49
02134101,223,14
02139626,484,15
02220776,44,31
02314622,458,1
02324393,236,3
0233111X,110,16
02500868,440,23
02530716,471,11
02535076,140,12
02545101,266,10
02547600,14,32
02549670,227,16
02550857,264,8
02559625,407,38
02572389,368,12
0257277X,292,24
02614189,402,28
0264410X,216,8
02650762,24,28
02651351,355,36
02668254,51,26
02674440,389,8
02681218,470,28
0269283X,188,28
02699370,72,37
02717352,361,41
02719142,240,36
0272457X,250,27
02732289,61,17
02776766,105,9
02786222,397,33
03005526,231,20
03008584,494,13
03008878,416,28
03009475,240,48
03009742,246,29
03010546,152,13
0301486X,180,46
03015149,38,35
03028933,45,6
03034208,22,18
03044017,169,5
03048608,336,47
03051811,196,25
03064492,252,2
03075494,95,10
03079457,293,30
0315162X,75,45
03257541,179,5
03402118,54,33
03407004,71,1
03438651,450,18
03444325,143,32
03603997,293,47
03610470,37,49
0362028X,117,11
03653439,53,21
03659402,349,26
03701069,295,25
03721248,455,22
03735893,340,27
03750760,137,49
03781097,357,13
03781135,482,33
03784738,240,34
03855600,199,41
03855643,234,35
03915352,394,1
03926699,386,21
0392856X,292,48
03935965,455,6
0393974X,130,28
03946320,125,17
04406605,470,5
04533402,242,31
07173458,268,5
07222211,368,38
07232020,207,3
07246145,465,23
07246803,420,37
07326580,146,37
07349750,327,10
07364393,174,10
07376006,234,19
07388551,316,17
07400020,243,21
07415400,181,14
07428413,161,9
0749503X,472,46
07618328,324,1
07692617,383,45
08189641,169,13
08644551,105,4
08719721,481,1
08820139,242,49
08824010,189,40
08828245,122,32
08830185,327,34
08854513,451,28
08880786,61,31
08891591,277,8
08892229,304,39
08898561,395,26
08905436,396,34
0891060X,122,3
08914168,110,12
08916934,122,1
08923973,449,44
08927014,90,5
08928762,196,30
08935300,122,30
08938512,11,17
08949255,139,48
08960623,229,47
08968411,63,23
09020055,352,15
09054383,494,37
09056157,233,21
09065784,234,14
0908665X,394,2
09114300,412,11
09164804,135,39
09168451,139,38
09208569,62,34
09218319,181,38
0922338X,227,34
0923179X,169,18
09232494,207,30
09232508,425,15
09232516,256,27
09239820,333,34
09244204,448,38
09254692,212,33
09280197,193,24
09288244,132,15
09297855,410,30
