Journal,Publications,Authors
00027812,112,15
00027820,445,11
00028266,358,8
00028711,280,26
00029726,116,45
00033146,81,44
00035599,198,5
0004881X,30,6
00049417,112,26
00063525,131,4
00070599,224,20
00071641,340,33
00084433,468,20
00086223,97,49
00088846,382,12
00104361,109,47
00108545,369,1
00109312,161,26
00109371,140,14
0010938X,159,38
0011085X,318,37
00112275,267,11
00119164,353,36
00134651,423,13
00137944,303,43
00143057,395,3
00150193,201,33
00152684,286,10
00157473,170,5
00161152,469,23
00171050,323,10
00171557,31,44
00183768,262,2
00183830,245,13
00189383,354,40
00189464,58,2
0019493X,484,20
00198145,68,1
00198692,179,37
00201685,485,9
00201693,197,17
00202967,473,9
00203203,280,11
00205214,199,15
00207225,455,24
00207403,184,38
00207683,455,35
00211559,60,30
00211575,373,31
00214787,64,49
00214876,253,5
00218464,329,44
00218502,140,14
0021891X,494,11
00218995,316,9
00219304,144,34
0021955X,30,12
00219614,338,35
00219797,176,35
00219983,283,1
00220248,397,40
00221481,98,22
00222291,325,29
00222348,23,8
00222461,251,11
00223093,274,41
00223115,355,37
0022328X,62,14
0022328x,395,30
00223697,349,35
00223727,101,21
00223735,376,37
00224596,453,5
00224766,464,19
0022815X,437,14
00230561,273,26
00232904,440,4
0023432X,44,25
00234753,215,45
00249297,90,42
00249831,429,25
00255289,59,18
00255300,369,40
00255327,397,8
00255408,11,39
00260576,399,40
00260657,63,14
00260673,115,32
00260746,269,38
00260843,319,33
00260894,486,23
00262692,200,15
00262714,411,33
00272914,227,25
00295493,53,17
00303909,171,33
00303917,211,47
00303992,455,2
0030400X,493,14
00304018,279,40
00304026,360,40
00304077,313,39
00304921,280,6
0030770X,465,6
00318965,471,3
00319090,224,7
00319104,261,8
0031918X,199,42
00319236,305,15
00321400,217,29
00322725,246,33
00323861,347,30
00323888,376,39
00323896,62,27
00323918,289,36
00325899,419,29
0032678X,226,38
00326895,261,33
00330655,197,37
00331732,389,27
00338443,166,4
00345806,24,22
00347752,310,2
00348570,74,10
00351563,354,5
00354511,336,10
00359475,18,33
00359572,353,38
00360236,138,13
00360295,145,31
00360821,481,47
00368792,72,36
00372455,148,45
00373435,90,24
00375225,401,15
00379859,172,29
00379875,428,8
0038092X,298,5
00381098,388,29
00381101,270,47
0038111X,499,4
0038223X,240,12
0039095X,50,45
00396028,37,2
00405000,144,27
00405167,337,36
00405175,277,36
00406090,42,43
0042207X,57,27
00431648,416,5
00432288,71,20
00432296,225,11
00432822,302,10
00436011,108,40
00437719,181,38
00442968,369,6
00443093,223,8
00456152,484,23
00457949,44,47
00467316,458,26
00653195,440,12
00746843,471,26
00785466,140,13
00796425,266,40
00796700,14,18
00796727,227,25
00796786,264,33
00796816,407,47
00846600,368,40
00903973,292,43
00908657,402,12
00911062,216,44
00914037,24,36
00919578,355,48
00934658,51,4
00936413,389,5
00941492,470,37
00944289,188,8
00952443,72,42
00958972,361,49
00962430,240,28
00989886,250,31
01049224,105,29
01095641,397,14
01214470,231,40
01252526,494,41
01291564,416,22
01295721,240,11
01320890,246,23
01371339,180,46
01406566,38,37
01411594,45,21
01413910,22,26
01418610,169,46
01421123,336,36
01422421,196,23
01423304,252,1
01429418,95,40
01429612,293,15
01437496,75,21
01437836,179,47
01437838,54,9
01438166,71,9
0143974X,450,10
01440322,143,26
01445871,293,41
01448617,37,35
01468030,117,25
01480227,53,26
01486055,349,11
01486411,295,38
01495739,455,2
01496123,340,7
01519107,137,18
0160564X,357,27
01621432,482,34
01631829,240,27
01631918,199,17
01633767,234,43
01634429,394,44
01672584,386,24
01672738,292,25
01672991,455,7
01675729,130,6
0167577X,125,24
01676636,470,33
01677322,242,49
01678442,268,29
01679317,368,43
01694243,207,22
01694332,465,26
01696424,420,28
01700839,146,21
01739913,327,49
01774832,174,7
01909177,234,17
01915665,316,20
01932691,243,41
01936530,181,49
01937197,161,20
01950118,472,22
01970216,324,28
02043467,383,40
0218625X,169,49
02188635,105,7
0219581X,481,1
02321300,242,32
02504707,189,13
02521059,122,30
02532239,327,23
0253231X,451,19
02533200,61,32
02534177,277,30
02540096,304,29
02540584,395,49
02546051,396,45
02556952,122,29
02567679,110,30
02578972,122,16
02580322,449,40
02587025,90,19
02587076,196,18
02587106,122,1
02613069,11,14
02618028,139,47
02624893,229,2
02634368,63,28
02638223,352,49
02641275,494,30
02650916,233,38
02656027,234,4
02656582,394,1
02661144,412,8
02663538,135,29
02670836,139,39
02670844,62,3
02678292,227,10
02681242,169,10
02684764,207,19
02724324,425,46
02726343,256,34
02728397,333,33
02728842,448,23
02729172,212,28
02758687,193,32
02773813,132,7
02774275,410,29
02775387,264,8
0277786X,303,1
02786826,289,3
02832631,334,24
02850192,381,23
02874547,107,8
02884534,207,47
03009440,479,37
0301679X,404,3
03019233,249,33
0303402X,153,28
0304386X,210,8
03043886,133,34
03043991,196,35
03044285,335,32
03048853,473,24
03053091,358,14
03054608,268,32
03054829,157,46
03063453,261,43
03068919,452,16
03071693,429,4
03080161,355,21
03080501,460,14
03084590,156,31
03214095,157,48
03237648,361,18
0334181X,208,7
03346005,317,10
03346447,498,7
03346455,426,33
03347575,433,23
03348938,137,21
0340224X,48,19
0340255X,347,48
03404285,369,19
03404803,138,36
03410552,276,29
03412660,485,18
03421791,482,1
0350820X,443,47
03529045,160,5
03542025,424,20
03548996,487,11
03602133,307,42
03602141,108,2
03602559,272,3
03607275,261,23
03611000,153,12
03614395,355,20
03615235,121,5
03617610,69,37
03618773,378,38
03639061,11,30
03663175,394,9
03666352,313,34
03666913,263,44
03678369,149,35
03682048,462,22
03699420,169,24
03701972,18,17
03703657,242,10
03704467,108,30
03710459,156,46
03710580,313,23
0371750X,217,32
03736601,140,17
03743535,413,17
0376723X,161,14
03767388,63,9
03770257,129,40
03770486,170,2
0379153X,417,45
03795462,125,25
03796779,84,39
03797112,122,9
03862186,465,22
03871533,429,43
03875008,431,46
03913988,113,4
04121961,349,26
04492285,263,29
0449749X,236,45
04515994,121,34
0452599X,482,23
04545648,108,37
04652746,162,11
04925882,358,6
05075475,411,18
05145163,393,21
05328799,375,42
05435846,347,36
05695503,203,41
05698197,319,38
05769787,172,34
05891485,217,17
07053436,454,37
07168756,178,25
07173644,493,38
07205953,170,12
07217250,77,23
07243472,298,42
07306679,286,21
07315171,313,27
07316844,413,31
07339445,393,6
07341415,401,27
07342101,144,40
07356161,204,34
07387989,410,12
07403232,137,45
07413106,42,7
07424787,185,10
07426348,469,45
07437463,452,17
07479182,380,26
07491581,479,21
07496036,384,28
07496419,31,46
07540876,247,2
07761155,167,43
07802285,47,1
07921233,239,36
07921241,374,26
07984545,60,29
08266220,447,21
08327823,273,11
08576149,292,40
08607052,36,11
08625468,235,36
08708312,286,49
08709882,295,39
08827516,106,40
08832900,293,35
08835551,376,34
08837554,457,47
08837694,490,24
08839115,462,22
08842914,326,5
08843848,313,33
08846804,156,36
08853282,13,47
08857156,44,20
0887302X,201,19
0887624X,58,35
08876258,26,43
08876266,181,17
08879672,229,45
08887462,167,43
0889311X,486,34
0889325X,55,9
08909970,382,26
08927022,15,2
08927057,108,9
08931321,389,9
08943214,242,40
08946507,46,17
08952477,289,1
08961107,358,25
08974756,311,43
08982090,190,40
08991561,104,42
08999457,108,25
09144935,197,39
09145400,490,35
09149244,125,3
09151168,200,37
09151559,262,44
09168524,478,44
0917639X,425,30
09203796,480,38
09205063,170,34
09205071,265,12
09214526,332,19
09214534,137,37
09215093,27,44
09215107,290,49
09240136,499,17
09243046,232,10
09244247,63,49
09251030,67,47
09253467,332,12
09254005,369,16
09258388,183,24
09259635,289,19
09270248,123,8
09270256,297,31
09276440,440,21
09276513,351,17
09277056,160,23
0927796X,459,37
09280707,136,16
09281045,164,6
09284931,499,8
09287329,395,25
0929189X,483,18
0930486X,282,25
0930777X,113,12
0931704X,426,15
09317058,402,26
09323902,308,41
09335137,255,45
09340866,185,26
09347348,48,47
09349847,486,32
09351175,179,10
09359648,256,16
09367195,35,7
09408789,364,17
09431268,418,26
09467076,417,21
09467475,22,22
0947076X,325,7
09475117,400,14
09477047,322,15
09478396,45,7
09483276,182,9
09500618,29,48
09506608,330,8
09507116,273,23
09517197,409,29
09518339,151,18
0951953X,469,31
09525432,380,30
09531092,480,39
09532048,152,35
09538984,101,18
09540075,363,42
09540083,331,39
09540911,297,17
09552219,224,14
09556222,456,31
09558209,351,24
09574484,60,35
09574522,162,44
09574530,195,45
09574565,72,34
09582118,199,3
09589465,134,37
09592989,159,43
09598103,323,40
09599428,67,26
09601317,351,23
09603409,314,44
09608974,189,39
09636935,179,15
09638695,335,49
09641726,280,4
09645993,63,29
09648305,453,22
09650393,110,25
0965545X,490,13
09659773,273,18
09660844,62,33
09667822,69,16
09669795,117,45
09670912,14,42
09673911,112,44
09678638,205,2
09679782,271,35
09684328,374,42
09690239,489,34
09695990,381,30
09701893,359,13
09710426,56,13
09714588,364,18
0972172X,320,32
09722815,433,32
09738622,317,35
09740546,153,39
09763961,278,46
09977538,379,29
10002413,133,49
1000324X,115,29
10003304,167,44
10003851,156,16
10004343,154,44
1000582X,129,47
10007032,328,10
10007555,284,30
10007571,101,25
1000985X,67,39
10010521,448,20
10010963,355,5
10012249,238,1
10012486,483,30
10014381,126,49
10014977,327,3
10015493,288,45
10019731,136,14
10020071,402,30
1002185X,405,4
10026495,138,18
10036326,67,37
10040609,131,25
10042474,10,48
10044493,248,1
1004924X,299,46
1005023X,105,15
10050299,135,9
10050302,127,15
10053093,57,49
10054537,98,24
10055053,497,4
10059784,246,12
10062793,382,37
10063080,394,37
10063471,281,43
10066748,198,6
1006706X,496,39
10067191,201,46
10068023,456,24
10069321,78,11
10072012,287,13
10079289,358,34
10096264,256,25
10120386,460,7
10128425,85,4
10139826,163,8
10170715,153,20
10183639,444,29
10221336,494,45
10221344,95,46
10221352,194,10
10221360,294,43
10229760,471,34
1023666X,229,26
10238883,78,41
10241221,56,49
10241809,103,3
10249087,247,6
10261265,462,5
10263098,213,47
10274510,409,23
10275495,227,49
10286861,483,9
10295151,441,35
10299599,350,20
10402004,48,49
10406638,109,42
10407278,298,35
10407286,263,18
10408436,231,17
10411135,366,24
10420150,32,3
1042346X,259,32
10423915,19,35
10426914,255,38
10427147,334,13
10437398,109,47
10445803,299,25
1045389X,189,9
10457828,232,4
10474838,403,14
1049250X,259,37
10518223,156,34
10530495,451,11
10543414,105,41
10549714,266,3
10555269,334,28
10567895,13,29
10579257,25,9
10582916,289,3
10584587,345,25
10589759,256,34
10599495,267,12
10599630,485,42
10601325,393,9
1060992X,169,15
10611452,484,40
10613862,349,25
10618309,161,5
10620656,405,11
10623701,187,34
10627995,172,24
10631674,389,15
10634576,42,38
10637397,426,8
10637745,454,5
10637818,188,48
10637826,436,26
10637834,110,18
10642269,277,6
10647546,332,37
10647562,74,48
10657355,426,13
10667857,177,28
10678212,339,5
10681302,52,13
10683666,53,17
10683755,294,40
10685200,406,45
1068820X,21,32
10709789,104,29
10710922,311,3
10735615,395,40
10735623,262,34
10759417,251,40
1077260X,44,27
10775463,224,13
10810595,346,45
10812865,99,33
10833668,273,6
10834877,102,24
10835601,419,19
10840184,467,16
1084578X,99,40
10847529,427,28
10876596,124,33
10893954,114,48
10895647,400,41
10900268,205,13
1091028X,323,43
10910344,123,45
10925783,84,25
10928081,422,42
10928669,385,36
10933263,429,27
10933611,226,38
10971963,286,7
10973958,258,5
10980121,173,43
10990062,403,45
10996362,366,31
1110662X,466,23
11217588,417,42
11316756,201,10
11440546,236,32
11697954,186,43
11769114,108,30
11819510,45,39
12225347,475,31
12255475,496,18
12255947,105,36
12256463,161,2
12259438,160,14
1226119X,199,13
12261750,233,29
12293008,46,12
12297607,277,39
12297801,378,2
12299162,192,32
12299197,22,13
12299367,288,46
12303402,226,27
12303666,364,49
12660167,370,41
12860042,295,17
12928941,282,40
12932558,378,31
12962074,71,34
12962139,93,24
13003356,377,45
13007599,226,35
13104772,351,48
13136569,406,6
13261932,28,30
13350617,186,7
13351532,109,10
13364561,405,41
13417649,454,32
13447912,242,34
13449931,412,28
13459678,85,15
13468014,274,30
13479725,464,37
13480391,293,29
13492543,215,22
13504495,232,4
13506307,393,20
13506501,61,32
13542575,348,36
13544063,376,4
13560751,153,27
13565362,382,17
1357731X,78,12
1358314X,108,22
13590286,405,17
13590294,34,10
13595997,445,1
13596454,388,22
13596462,478,26
13597345,493,18
1359835X,62,14
13598368,160,47
13621718,153,29
13640461,66,12
13689290,48,36
13697021,118,35
13698001,190,12
13802224,51,7
13815148,195,29
13835416,432,11
13852000,407,33
13853449,232,6
1385772X,131,47
13869477,142,15
13871811,172,32
13877003,224,11
13880764,230,23
13886150,244,26
13899333,340,34
13921320,155,46
13928716,248,34
14182874,85,29
14226375,18,4
14246074,83,17
14258129,451,35
14281511,410,13
14306395,262,41
14328488,239,39
14328917,16,15
14337266,183,29
14345021,150,29
14346028,177,11
14347229,179,32
14350211,402,2
14381656,443,47
14387492,292,14
14397676,131,20
1450216X,203,22
14505339,14,11
14513749,38,27
14542331,174,3
14544164,431,17
14630184,348,44
1464391X,145,28
14644177,374,29
14644207,330,21
14658011,351,47
14666049,154,16
14668033,336,37
14668858,226,20
14686996,310,6
14709589,141,19
14710676,301,5
