Journal,Publications,Authors
00014346,112,17
00015342,445,43
00015954,358,44
00015962,280,24
00016969,116,25
00018678,81,7
00018708,198,6
00019054,30,24
00025232,112,33
00025240,131,49
00029327,224,43
00029890,340,22
00029920,468,26
00029939,97,28
00029947,382,21
00031305,109,49
0003486X,369,7
00036811,161,17
0003889X,140,20
00039519,159,41
00039527,318,49
00042080,267,20
00049581,353,22
00049727,423,28
0006341X,303,40
00063444,395,49
00063835,201,7
00071102,453,1
00074497,286,32
00074985,170,13
00080624,469,30
00080683,323,23
0008414X,31,19
00084395,262,32
0009725X,245,30
00100757,354,29
00101354,58,49
00102571,484,45
00102628,68,29
00103616,179,30
00103640,485,16
0010437X,197,40
0010485X,473,19
00114642,280,18
00120456,199,1
00122661,455,14
0012365X,184,47
0012365x,455,2
00123862,60,28
00127094,373,49
00129593,64,30
00130915,253,38
00131644,329,4
00131954,140,1
00150517,494,8
00160032,316,29
00162663,144,39
00162736,30,3
0016660X,338,32
00170895,176,10
0017095X,283,10
00180238,397,19
00182079,98,46
00188670,325,34
00189340,23,33
00189545,251,23
00190578,274,28
00192082,355,32
00193577,62,7
00195324,395,29
00195588,349,8
00195839,101,1
00200190,376,3
00200255,453,24
00202940,464,23
00203157,437,8
00205958,273,47
00207160,440,37
00207276,44,3
0020739X,215,33
00207403,90,28
00207462,429,47
00207683,59,8
00207721,369,34
00207748,397,35
00209910,11,32
00212172,399,24
00217670,63,14
00217824,115,32
00218693,269,46
00218928,319,43
00219002,486,16
00219045,200,4
00219991,411,37
00220000,227,21
00220396,53,14
0022040X,171,31
00220833,211,48
00221120,455,18
00221236,493,7
0022247X,279,10
0022247x,360,7
00222488,313,33
00222496,280,23
0022250X,465,21
00222518,471,19
00222526,224,48
0022314X,261,19
0022314x,199,36
00223239,305,29
00224049,222,18
00224502,217,2
00224715,246,1
00224812,347,47
00225193,376,5
00231584,62,20
00235954,289,11
0023608X,419,42
00243795,226,2
00246093,261,3
00246107,197,23
00246115,389,12
00252611,50,20
00255165,166,5
00255521,24,37
00255564,310,38
00255572,74,30
00255610,354,9
00255645,336,34
00255661,18,44
0025570X,353,35
00255718,138,22
00255742,481,24
00255793,72,17
00255831,148,10
0025584X,90,30
00255858,401,46
00255874,172,23
00261335,428,32
00261424,298,17
00262285,388,17
00269255,270,14
00273171,499,9
00277630,240,40
00294527,50,2
00295981,37,45
0029599X,144,25
00306126,210,39
00308730,337,9
00315303,277,22
00318019,427,43
00318949,42,46
00325155,57,4
00327867,416,26
00333123,71,29
00333883,225,45
00335177,302,34
00335606,108,23
00335614,181,37
0033569X,369,11
00344877,223,6
00345318,484,18
00347426,44,21
00353965,458,42
00355038,236,36
00356298,110,41
00357596,440,38
00359254,471,34
00360279,140,17
00361399,266,37
00361410,14,25
00361429,227,38
00361445,264,12
00371912,407,23
00374466,368,42
00375497,292,22
00378615,402,21
00378712,216,27
00379484,24,31
0038271X,355,6
00390402,51,27
00390526,389,40
00390631,470,34
00393215,188,12
00393223,72,45
00401706,361,7
00405779,240,10
0040585X,250,45
00408735,61,17
00409383,105,26
00410241,397,21
00410683,231,28
00411450,494,46
00415995,416,2
00416932,240,43
00418994,246,1
00442267,152,36
00442275,180,26
00443719,38,29
00448753,45,21
00457949,22,11
00465755,169,40
00472468,336,11
0047259X,196,36
00492930,252,49
00494704,95,39
00651036,293,40
00659266,75,35
00662216,179,34
00738301,54,47
00754102,71,24
00771554,450,22
00815438,143,5
00816906,293,33
00904104,37,36
00905364,117,47
00911798,53,20
00917036,349,19
0092599X,295,35
00927872,455,43
00928240,340,17
00949000,137,45
00949655,357,43
00954616,482,34
00958956,240,9
00963003,199,26
00973165,234,2
00975397,394,9
00983500,386,9
00989886,292,40
01003569,455,17
01030752,130,1
0103636X,125,25
01201751,470,43
01252526,242,40
01266705,268,42
01290533,368,25
0129055X,207,39
0129167X,465,35
01291831,420,3
01296264,146,37
01333852,327,44
01344889,174,44
01371223,234,30
01380680,316,38
01384821,243,34
01399918,181,12
0141982X,161,19
01421123,472,37
01432087,324,44
01433857,383,49
01439782,169,17
01464124,105,10
01471937,481,49
01605682,242,47
01611194,189,12
01611712,122,16
01621459,327,24
01628828,451,19
01630563,61,8
01650106,277,31
01650114,304,21
01651889,395,17
01652125,396,23
0166218X,122,37
01665316,110,16
01668641,122,6
01672789,449,8
01676377,90,25
01676393,196,18
01676423,122,25
01676687,11,12
01677152,139,15
01678019,229,26
01678094,63,41
01678191,352,45
01678396,494,26
01678442,233,47
01679473,234,32
01680072,394,10
01682024,412,16
0168874X,135,7
01689274,139,17
01689673,62,23
01692968,181,26
01704214,227,21
01735322,169,22
01744747,207,7
01764268,425,14
01764276,256,15
01770667,333,7
01782770,448,9
01784617,212,48
01787675,193,8
01788051,132,23
01795376,410,29
01878298,264,18
01887009,303,31
01912216,289,30
01915665,334,39
01928651,381,35
01956698,107,18
01966324,207,42
01966774,479,39
01968858,404,17
02084147,249,14
02086573,153,31
02099683,106,24
02112159,210,35
02131315,133,44
02132230,196,45
02141493,335,34
02180006,473,3
02181274,358,37
02181959,268,43
02181967,157,40
02182025,261,26
