Journal,Publications,Authors
00013765,112,25
00030996,445,45
00086452,358,41
00113891,280,29
00195596,116,15
00198447,81,45
00224456,198,1
0023074X,30,25
00238791,112,7
00278424,131,9
00280836,476,24
00308870,224,1
00317683,468,8
00359173,97,24
0035922X,382,11
00368075,109,17
00368504,369,8
00368733,161,35
00377333,140,35
00379565,159,33
00379603,318,5
00804703,267,42
0103944X,353,39
01253395,303,28
01266039,395,7
01321447,201,9
02181274,453,8
02529289,286,12
0253374X,170,34
02562499,469,33
02582724,323,48
02624079,31,23
03005208,262,24
03036758,245,37
03781844,354,35
04798023,58,44
04932137,484,40
0513353X,68,22
05296579,179,27
07168756,485,35
07485492,197,1
08695652,473,35
08903670,280,37
08923310,199,47
09704140,455,14
09717218,184,3
10016538,60,5
10062467,373,26
10064982,64,14
10070214,253,39
10071172,329,27
10071202,140,9
10080562,494,15
1015079X,316,15
10183647,30,42
10248684,338,13
10636145,176,32
10762787,283,39
11391472,397,49
12331821,98,32
13101331,325,4
13914588,251,37
13943065,274,23
1407009X,355,39
15131874,395,15
15168913,349,43
15174492,101,29
15469239,453,13
1661464X,437,7
16794974,273,22
16863933,44,2
17412242,215,42
17419174,90,45
1782348X,429,6
18125654,397,44
1816157X,11,44
18184952,399,20
18236782,63,30
19057873,115,11
19131844,269,28
19909233,200,33
19918178,411,1
19921454,227,27
19963343,53,13
20504837,171,41
20901232,455,39
20955138,493,6
20959273,279,8
20965168,360,27
20969457,313,9
20971095,280,37
21185735,465,33
21743487,471,42
2193567X,224,44
22143157,261,24
22434690,199,15
23074108,305,32
2405609X,246,41
24058440,347,49
2473599X,62,12
27089967,289,39
27668509,419,2
