Journal,Publications,Authors
00016314,112,45
00016322,445,1
00017604,358,16
00029238,280,39
0004282X,116,5
00057959,81,22
00063223,198,29
00068977,112,12
00068993,131,26
00071161,476,16
00074985,224,37
00100277,340,22
00109452,468,29
00121622,97,14
00121630,382,28
00124486,109,5
00134694,369,47
00139580,161,49
00143022,140,30
00144819,159,46
00144835,318,5
00144886,267,12
00178748,353,16
0018506X,303,26
00187208,395,48
00191442,201,21
00207454,453,39
00218359,286,36
0021843X,170,33
00219924,469,30
00219967,323,37
00222895,31,23
00223034,262,10
00223042,245,5
00223069,354,36
00223077,58,34
00223956,484,31
00225002,68,10
0022510X,179,19
0022510x,485,32
00282804,197,1
00283825,473,5
00283835,280,45
00283851,199,4
00283886,455,16
00283908,184,24
00283932,455,16
00303747,60,2
00303755,373,49
00315117,64,28
00315125,253,32
00319384,329,27
00352497,140,20
00353787,494,24
00353981,316,12
00356336,144,35
00426989,30,33
00444677,338,33
00485772,176,43
00651400,283,37
00747742,397,12
00778923,98,3
00796123,325,1
00810746,23,33
00902977,251,40
00904996,274,10
00905046,355,43
00913022,62,44
00913057,395,29
00928240,349,13
00932213,101,12
0093934X,376,31
0093934x,453,46
0094730X,464,2
00961523,437,35
00963445,273,23
00970549,440,17
0100879X,44,26
0140525X,215,8
01434179,90,29
01441795,429,26
01460404,59,10
01477552,369,26
0148639X,397,34
01497634,11,41
01616412,399,7
0161813X,63,4
01650173,115,45
01650254,269,11
01650270,319,29
01651781,486,36
01651838,200,25
01653806,411,21
01655728,227,36
01662236,53,10
01664328,171,37
01670115,211,9
0167594X,455,24
01677063,493,35
01678760,279,49
01680102,360,35
01685597,313,48
01688561,280,36
01688634,465,18
0169328X,471,49
0172780X,224,39
0175758X,261,32
01777955,199,24
01969781,305,23
01970186,222,32
01974580,217,37
02196352,246,12
02365383,347,49
02591278,376,13
02614189,62,23
0261510X,289,25
02637103,419,35
02643294,226,41
02687038,261,30
02698803,197,17
02699052,389,49
02706474,50,20
02713683,166,48
0271678X,24,25
02718235,310,22
02724340,74,13
02755408,354,19
02762366,336,49
02782626,18,36
02784327,353,12
02785846,138,41
02922509,145,19
03004864,481,12
03005062,72,9
03009564,148,7
03010066,90,28
03010082,401,14
03010511,172,31
03022803,428,19
0302282X,298,47
03036995,388,16
03043940,270,5
03043959,499,35
03051846,240,12
03064522,50,25
03064530,37,21
03171671,144,36
03341763,210,23
03405354,337,16
03407594,277,39
03601293,427,45
03604012,42,42
03610209,57,39
03619230,416,14
03640213,71,31
03643190,225,5
03645134,302,35
03647722,108,23
03766357,181,29
03785688,369,43
03785866,223,11
03785955,484,18
0379864X,44,47
03877604,458,12
03919048,236,9
03920461,110,10
03924483,440,44
03935264,471,17
07204299,140,38
0721832X,266,7
07219075,14,46
07225091,227,13
0727761X,264,40
07319487,407,42
07357044,368,9
07360258,292,27
07365748,402,2
07418329,216,5
0742941X,24,29
07928483,355,37
08674159,51,38
0883041X,389,19
08853185,470,8
08856222,188,48
08857490,72,45
08863350,361,1
08874476,240,22
08878250,250,17
08878994,61,7
08880395,105,25
08891591,397,45
08896313,231,4
08910618,494,36
08920362,416,6
08920915,240,31
08936080,246,19
08936609,152,44
08937648,180,39
08941491,38,27
0894878X,45,10
08958696,22,26
08960267,169,19
08966273,336,39
08966974,196,3
0898929X,252,45
08990220,95,13
08993289,293,28
08997667,75,20
09116044,179,28
09120890,54,8
09201211,71,41
09209964,450,39
09226028,143,1
09242708,293,3
0924977X,37,13
0924977x,117,28
0924980X,53,49
09252312,349,25
09254927,295,33
09266410,455,38
09284257,340,6
09290907,137,44
09295313,357,45
09363076,482,32
09391517,240,45
09401334,199,47
09419500,234,21
09448160,394,16
09465448,386,21
09470875,292,11
0950222X,455,37
09525238,130,36
09534180,125,35
0953816X,470,19
09538194,242,20
0954898X,268,18
09558829,368,47
0956523X,207,41
09574271,465,49
09594388,420,14
09594965,146,15
09595244,327,31
09599851,174,1
09605428,234,3
09607560,316,16
09608966,243,23
09609822,181,11
09621105,161,12
09642633,472,10
0964704X,324,32
09675868,383,16
09681302,169,8
09699961,105,38
09763147,242,24
09877053,189,28
09893105,122,8
10020829,327,28
10156305,451,36
10158154,61,26
10158618,277,8
10159770,304,28
10195815,395,28
10196099,396,37
10217401,110,36
1023618X,122,27
10253890,449,17
10276599,90,9
1028415X,196,33
1028768X,122,20
10298428,11,13
1039723X,139,28
10408827,229,48
10426922,63,29
10445765,352,13
10447393,494,46
10447431,233,35
10473211,234,6
10506411,394,18
10508392,412,5
10509631,135,47
10538119,139,25
1053881X,62,2
10589139,181,10
10591311,227,30
10597123,169,45
10640517,207,5
10656766,425,33
10659471,256,1
10720502,333,18
10738584,448,32
10747427,212,47
10749039,193,49
10843612,132,11
10859489,410,21
10870792,264,26
10883576,303,25
10947159,289,22
10950680,334,27
10976256,381,49
11099518,107,13
11209550,479,34
11406576,404,41
11496576,249,35
11554452,153,1
11766328,106,21
11792744,210,48
11804882,133,6
12036765,196,28
12100552,335,17
1214021X,473,5
12168068,358,31
1221356X,268,5
12948322,157,38
12949361,261,3
13000667,452,23
13035150,429,37
13231316,412,37
1337933X,355,10
13501925,156,19
13506285,157,17
13507540,361,21
13507702,208,14
13509462,317,9
13515101,498,46
13524585,426,1
13528963,433,45
13538020,137,13
13542516,48,4
13546805,347,1
13550284,369,49
13556177,138,40
1356918X,276,32
13594184,485,34
13624393,450,28
1363755X,482,31
13646613,443,8
13646745,160,39
13704621,424,26
13803395,487,34
1385299X,307,3
13872877,108,12
13882457,272,1
13890417,261,44
13891987,153,5
13985647,355,30
14198711,121,30
14203030,69,17
1420682X,378,48
14208008,11,47
14217082,394,23
14248522,313,15
1424862X,263,37
14439646,149,21
14469235,462,14
14616130,46,2
1471003X,169,11
14710048,18,39
14710552,242,38
14712202,108,34
14729288,156,38
14734222,313,34
1473558X,217,18
14737175,140,30
14778599,413,15
14796708,161,27
15220443,63,34
15253961,129,38
15255050,170,33
15258599,417,24
15265900,125,15
15268748,84,30
15284042,122,42
15294145,465,17
15307026,429,5
15317129,431,29
15333175,113,4
15344320,349,10
15345823,263,17
15347362,236,10
15351084,121,17
15392791,482,20
15402002,108,24
1541745X,162,5
15433633,358,34
15434494,411,6
15449173,393,2
15457885,375,13
15459683,347,43
15475654,203,43
15500594,319,48
15509389,172,11
15524841,217,47
15525260,454,23
1553734X,178,16
15548716,493,31
15571890,170,11
15597105,77,16
15622975,298,8
1565012X,407,4
15660702,286,40
15662772,313,4
15672026,413,25
15672050,393,3
15674231,401,32
1567424X,144,3
1568007X,204,27
15680150,410,29
15681637,137,32
15687759,42,19
15699048,185,21
1570159X,469,5
15739538,452,18
16011848,479,42
16085523,384,22
16118812,31,21
16124782,247,6
16140001,167,1
16398319,47,5
1645281X,239,41
16602854,374,12
16604431,60,26
16613406,447,46
16624548,273,34
16625099,292,49
16625102,36,14
16625110,235,26
16625129,286,45
16625137,295,27
16625145,106,9
16625153,293,26
16625161,376,47
16625188,457,22
16625196,490,47
16626443,462,30
16655044,326,43
16735374,313,48
16737067,156,17
16762649,13,26
16875265,44,36
16878337,201,1
17354668,58,8
17358639,26,49
17381088,181,35
17383684,229,15
17386586,167,47
17404118,486,22
1740925X,55,14
17412560,382,26
17422094,15,28
17438454,108,23
17448069,389,14
17449081,242,24
1745834X,46,2
17470919,289,45
17474930,358,26
17482321,311,14
17482968,190,7
17486645,104,3
17495016,108,47
17512271,197,23
17517885,490,46
17518423,125,43
17528054,200,47
17547326,262,45
17548403,478,18
17562856,425,38
17568757,480,35
17575664,170,15
17583772,265,25
17583837,332,37
17588928,137,28
17590914,27,10
17594758,290,39
17601703,499,17
17624231,232,39
17694493,63,22
1782348X,67,26
18029698,332,44
18171745,369,25
18236138,183,17
18410987,289,13
18438148,123,20
1844122X,297,25
18632653,440,4
18645909,351,10
18661947,160,3
18663370,459,41
18669956,136,45
18684483,164,18
18685021,499,47
18688497,395,36
18696716,483,47
18711340,282,22
18714080,113,34
18715249,426,47
18715273,402,8
18745490,308,40
18777171,255,49
18784755,185,44
18789293,48,19
1878948X,486,42
18796397,179,41
1895104X,256,37
18951171,35,6
19317557,364,26
19324502,315,34
19328451,418,45
19333196,417,6
19336896,22,37
19336918,325,33
19341482,400,22
