Journal,Publications,Authors
00020443,112,22
00028223,445,22
00029165,358,49
00029289,280,42
00040622,116,6
00071145,81,15
00075140,198,43
00079960,30,37
00165751,112,33
00169013,131,8
00207489,476,44
00208132,224,44
00219924,340,5
00223166,468,39
00224197,97,4
00225142,382,6
00234508,109,45
00257273,369,32
00257834,161,30
00258024,140,47
00259284,159,35
00261270,318,40
00264776,267,16
00296554,353,13
00296562,423,42
00296643,303,30
00296651,395,19
0029666X,201,17
00302813,453,19
00315982,170,26
00315990,469,37
00346659,323,26
00347167,31,23
00380814,262,9
00392499,245,12
00401374,354,1
00806234,58,1
00842230,484,47
00903159,68,34
00928615,179,32
00930334,485,48
0094730X,197,25
00979805,473,40
00991767,280,45
01040707,455,16
01041169,184,39
01043552,455,5
01486071,60,22
01495992,373,29
01510193,64,3
01612840,253,12
01621424,140,16
0162220X,494,37
01634372,316,22
01635581,144,29
01639366,30,14
01674943,338,28
01679228,176,5
01740008,283,47
01753851,397,49
01832980,98,30
0190535X,325,46
01924788,23,5
01939459,251,12
01956663,355,26
01974572,62,26
02116057,395,48
02121611,349,21
02144603,101,39
02416972,376,36
02423960,453,33
02506807,464,30
02601060,437,37
02606917,273,23
02615614,440,10
02634465,44,5
02660970,215,36
02666138,90,34
02676591,429,31
02687038,59,10
02703181,369,19
02715317,397,32
02738481,11,1
02784807,63,45
02795442,115,4
02810662,269,16
02940337,319,24
03004430,486,16
03009572,200,2
03009831,411,49
03010422,227,28
03014800,53,32
03066800,171,27
03070565,211,20
03084329,493,12
03092402,279,35
03106810,360,33
03403602,313,33
03410501,280,43
03605310,465,37
03611817,471,12
03616274,224,3
03795721,199,33
03836320,305,40
03935582,222,10
03974626,217,43
05123135,246,44
07149808,347,29
07177518,376,13
07263139,419,46
07304625,261,35
07315724,197,23
07317115,389,17
07334648,50,26
07340478,166,8
07371209,310,26
07405472,74,10
07415206,354,26
07446020,18,41
07492081,138,4
07980752,145,45
08098131,481,11
08109028,72,29
08130531,148,36
08740283,401,21
08825963,172,36
08839417,428,10
08842175,298,37
08845336,388,9
08853924,270,24
08879303,499,35
08880395,240,49
08881294,50,35
08894655,37,48
08895899,144,36
08904065,210,18
08921997,337,49
08930341,277,39
08932190,427,32
08932905,42,24
08943184,57,23
0894587X,416,32
08959420,71,37
08971897,225,12
08980101,302,49
08999007,108,13
09120009,181,23
09394753,223,35
09482393,484,41
09486704,44,30
09503293,458,17
09523871,236,49
09543007,110,20
09544224,440,48
09547762,471,25
09552863,140,22
09556664,266,13
09562737,14,19
09579672,227,49
09580670,264,36
09592598,407,12
09596682,368,41
09608923,292,19
09621067,402,12
09631801,216,9
09638172,24,7
09643397,51,14
09647058,389,31
09652299,470,19
09660429,72,16
09660461,361,5
09666532,240,35
09690700,250,12
09694900,61,25
09697330,105,21
09699260,397,36
09803483,231,23
09850562,494,16
09901310,416,39
10116877,240,45
10158154,246,42
10217762,152,39
10219056,180,14
1028415X,38,31
10361073,22,35
10367314,169,23
10416102,336,29
10434542,196,43
10447946,252,11
1049023X,179,9
10493867,54,10
10495150,71,44
10501606,450,17
10512276,143,38
10553290,37,46
10613706,117,13
10613749,53,40
10621458,349,42
10623264,295,9
10638628,455,27
10638652,340,2
10653058,137,5
1067991X,357,29
10736077,240,38
10749357,234,8
10767460,394,48
10783458,386,45
10787496,292,1
10788174,455,22
10797998,130,17
10884602,125,7
10899472,470,25
10903127,242,45
10921095,368,36
10924078,207,6
1096620X,465,31
10966218,420,19
10998004,146,44
11026510,327,39
11211539,234,10
1121421X,316,26
11298723,243,19
11302399,181,39
11308621,161,3
1134248X,383,28
1134928X,169,20
11353074,105,28
11663413,242,41
11738790,189,39
11781653,122,1
12124117,327,3
1226332X,451,13
12300322,61,28
1258780X,277,49
12594792,304,25
12686034,395,33
12797707,396,38
12797960,122,6
12798479,110,44
12938505,122,45
12959022,449,32
12975354,90,45
13227114,11,16
13368672,139,21
13446223,229,11
13463500,63,37
13510126,352,36
