Journal,Publications,Authors
00016659,112,49
00016667,445,14
00016675,358,15
00016683,280,31
00016764,116,1
00016837,81,3
00025887,198,16
00029289,30,23
00029459,112,11
00034509,131,12
00039780,476,10
00041254,224,32
00042927,340,16
00044172,468,8
00062952,97,38
00065250,382,12
00070785,109,24
00071188,369,28
00074861,161,8
00074985,140,28
00084212,159,36
00092363,318,26
00092797,267,8
00093157,353,28
00093165,423,28
00099236,395,41
0011393X,201,36
0011393x,453,27
00126578,286,17
00126683,170,9
00142999,323,20
00148172,31,13
00148229,262,28
00148237,245,48
0014827X,58,13
00154725,484,46
00156264,68,35
00170445,179,6
0018019X,485,18
00185787,197,5
00194522,473,47
0019462X,280,25
00195464,199,2
00195499,455,10
00215198,184,30
0021793X,455,45
00218820,60,5
00222135,373,33
00222623,64,1
00223549,253,18
00223565,329,32
00223573,140,47
00224901,494,49
00243205,316,11
00247804,144,21
00257656,30,26
0026895X,338,25
00281298,176,22
00283908,283,27
00316849,397,49
00316857,98,13
00316865,325,33
00316873,23,34
00316911,251,41
00316970,274,35
00316989,355,1
00316997,62,21
00317004,395,48
00317012,349,6
0031711X,101,28
00317144,453,5
00320943,464,31
00320994,437,5
00333158,273,38
00345164,440,3
00347515,44,23
00347752,215,37
00367508,90,37
00368709,429,10
0039128X,59,10
0039128x,369,19
00403709,397,17
00404020,11,21
00404039,399,14
00405973,63,9
0041008X,115,46
0041008x,269,1
00410101,319,45
00428809,486,13
00446394,200,4
00452068,411,1
00483664,227,49
00498254,53,40
00651508,171,32
00652229,211,34
00652490,455,28
00654299,493,31
00664758,279,8
00664804,360,39
00802042,313,26
00838969,280,34
00904341,465,3
0090466X,471,12
00906980,224,1
00909556,261,44
0091150X,199,5
00912700,305,30
00913057,222,30
00928240,217,17
00929867,246,48
00959065,347,47
00984108,376,23
0100879X,62,15
0102695X,289,37
01047930,419,21
01135244,226,14
01145916,261,2
01214004,197,11
01218123,389,39
01407783,50,38
01422782,166,34
01425463,24,38
01441795,310,34
01445952,74,18
01456008,354,30
01456296,336,15
01458884,18,27
01464760,353,34
01478087,138,38
01480545,145,33
01492918,481,24
01602446,72,15
01605402,148,30
01611933,90,42
0161813X,401,17
01623109,172,5
01630571,428,29
01633864,298,4
01634356,388,10
01637258,270,17
01646826,499,10
01651110,240,17
01651161,50,20
01651218,37,24
01656147,144,5
01663542,210,34
01673157,337,6
01676555,277,2
01676997,427,13
01677314,42,43
01683659,57,43
01688561,416,48
0168938X,71,11
0169409X,225,47
01744879,302,23
01787888,108,16
01896016,181,31
01920561,369,11
01926233,223,16
01971522,484,8
01972456,44,4
01986325,458,40
02127113,236,4
02130157,110,25
02140934,440,3
02143429,471,32
02179687,140,3
02235234,266,27
02496216,14,29
0250474X,227,32
02511649,264,19
02530716,407,21
02536269,368,5
02537613,292,18
02539756,402,28
02548704,216,42
0258851X,24,22
0260437X,355,21
02606267,51,6
0260647X,389,1
02611929,470,5
02624230,188,41
02650568,361,26
02650673,240,46
0265203X,250,34
02652048,61,49
02669536,105,14
02675323,397,26
02678357,231,45
02693879,494,27
02694727,416,9
02697491,240,26
02698811,246,47
02703211,152,22
0270322X,180,47
02720590,38,30
02723530,45,43
02724391,22,48
02732300,169,17
02738139,336,26
02751380,196,36
02782677,252,1
02785846,95,8
02786915,293,49
02797976,75,35
02810662,179,15
02881012,54,47
02939908,71,22
0300483X,450,14
03008533,143,26
03010244,293,28
03015149,37,23
03034240,117,14
03048616,53,24
03051870,349,2
03057453,295,45
03063623,455,26
03064492,340,14
03064603,137,7
03065251,357,3
03075494,482,47
0308051X,240,23
03091635,199,46
03106810,234,43
0311905X,394,47
03125963,386,45
03239950,292,18
03262383,455,38
03276309,130,35
03342190,125,15
03403157,470,25
03405761,242,37
03445704,268,28
03563456,368,10
03566528,207,39
03602532,465,17
03614387,420,39
03621642,146,22
03624803,327,26
03625478,174,44
03625664,234,25
03634655,316,17
03639045,243,13
03647722,181,20
03653439,161,25
03656233,472,4
03663507,324,10
0367326X,383,3
