Journal,Publications,Authors
00014966,112,11
00015237,445,4
00016705,358,15
00017701,280,6
00017884,116,49
00018686,81,30
00018732,198,38
00029505,30,2
00033804,112,15
00034169,131,11
00034916,476,8
0003682X,224,26
00036935,340,45
00036951,468,44
00037028,97,5
00046256,382,6
00046264,109,26
00046280,369,4
00046337,161,19
00046361,140,20
0004637X,159,33
0004640X,318,20
00049506,267,49
00058025,353,12
00058173,423,47
00063517,303,1
00084204,395,26
00088174,201,14
00088714,453,38
00092614,286,37
00102180,170,11
00102202,469,36
00103616,323,13
00104655,31,43
00105082,262,3
00107514,245,33
00109525,354,6
0011085X,58,10
00112275,484,5
00114226,68,23
00114626,179,10
0011748X,485,44
00134651,197,2
00143057,473,13
00147672,280,40
00150193,199,2
00154628,455,20
00158208,184,1
00159018,455,37
00179310,60,9
00180238,373,17
0018151X,253,11
00181544,329,15
00189197,140,24
00189375,494,38
00189456,316,35
00189480,144,30
00189499,30,31
00190578,338,49
00191035,176,5
00195596,283,44
00202940,397,14
00202967,98,11
00204412,325,9
0020708X,23,34
0020708x,251,12
00207403,274,35
00207608,355,35
00207683,62,1
00207748,395,40
00211575,349,22
00213640,101,29
00214876,376,8
00214922,453,11
00218286,464,41
00218464,437,37
00218936,273,14
00218944,440,30
00218979,44,35
00219037,215,21
00219606,90,37
00219614,429,5
00219991,59,19
00220248,369,14
00220434,397,26
00220744,11,4
00221120,399,25
00221481,63,45
00222291,115,42
00222313,269,25
00222348,319,18
00222488,486,40
00222852,200,8
00223093,411,39
00223115,227,40
00223131,53,14
00223689,171,32
00223697,211,38
00223700,455,33
00223719,493,23
00223727,279,15
00223735,360,33
00223778,313,25
00224073,280,17
00224596,465,33
0022460X,471,47
0022460x,224,2
00224715,261,14
00225096,199,40
00234753,305,40
0024998X,222,39
00255408,217,6
00256455,246,6
00256544,347,3
00260673,376,7
00260746,62,8
00260843,289,42
00260894,419,15
00262692,226,47
00262714,261,29
00268976,389,30
00270903,50,39
00271349,166,27
00294780,24,36
00295450,310,29
00295493,74,38
00295515,354,33
00295922,336,37
00296341,18,27
00297704,353,33
00303917,138,4
00303992,145,22
0030400X,481,2
00304018,72,10
00304026,148,5
00304034,90,10
00304077,401,33
0030493X,172,38
0030834X,428,13
00318086,298,31
00318388,388,47
00318655,270,36
00318949,499,45
00318965,240,24
0031899X,50,15
00319007,37,29
00319015,144,8
00319090,210,5
00319104,337,29
00319120,277,47
00319163,427,4
0031918X,42,12
00319201,57,45
0031921X,416,2
00319236,71,27
00320633,225,31
00321028,302,36
00325899,108,36
0032678X,181,26
0033068X,369,43
00335614,223,27
00337587,484,5
00338443,44,20
00344877,458,11
00344885,236,10
00346748,110,40
00346861,440,38
00348570,471,6
0035001X,140,8
00351563,266,23
00354511,14,47
00358711,227,26
0035872X,264,46
00360678,407,43
00361682,368,12
00380938,292,26
