Journal,Publications,Authors
00016918,112,24
00018449,445,5
00018791,358,34
0002726X,280,6
00027642,116,2
00029432,81,13
00029548,198,43
00029556,30,43
00029564,112,48
00030651,131,11
0003066X,476,47
00034487,224,23
00035033,340,16
00039373,468,31
00040002,97,11
00040576,382,16
00049530,109,8
00050067,369,4
00057894,161,40
00057916,140,4
00057967,159,25
00066761,318,3
00070955,267,32
00070998,353,3
00071102,423,27
00071268,303,29
00071269,395,32
0008400X,453,21
00093920,286,5
0009398X,170,18
00094056,469,28
00100277,323,42
00100285,31,22
0010440X,262,21
00107530,245,6
00109452,354,1
00121630,58,5
00121649,484,41
00121924,68,12
00131644,179,26
00137545,485,46
00147370,473,49
00169862,280,14
00174947,199,26
0018716X,455,45
00187208,184,27
00204277,455,9
00207144,60,26
00207187,373,47
00207578,253,47
00207594,329,30
00215368,140,43
00218308,494,48
00218774,316,17
00218855,144,26
00218863,30,36
00219010,338,1
00219029,176,8
00219630,283,49
00219762,397,35
00219924,98,15
0022006X,325,47
00220116,23,22
00220175,251,14
00220221,274,26
00220655,355,28
00220663,62,23
00220787,395,14
00220965,349,24
00220973,101,2
00221031,376,45
00221309,453,26
00221325,464,14
00221465,437,7
00221678,273,3
00222496,440,47
00222895,44,23
00223387,215,46
00223506,90,43
00223514,429,47
00223891,59,45
00223980,369,18
00223999,397,38
00224154,11,35
00224405,63,25
00224499,115,37
00224545,269,28
00225002,319,10
00225061,486,39
00239690,411,39
00250279,227,22
00259284,53,26
00273171,171,44
00283932,455,17
00315117,493,13
00315125,279,20
00315826,360,25
00319384,313,4
00327034,280,10
00332623,465,3
00332828,471,41
00332836,224,45
00332852,261,18
00332879,199,47
00332909,305,36
00332917,222,47
00332925,217,22
00332933,246,34
00332941,347,47
0033295X,376,8
00332968,62,40
00332984,289,49
00333077,419,44
00333085,226,19
00333123,261,42
00333174,197,41
00333182,389,37
00333190,50,6
00333204,166,26
00340553,24,34
00349690,310,45
00352942,74,6
00353981,354,37
00356492,336,33
00365041,18,22
00365564,353,21
00393320,138,6
00401625,145,6
00405833,481,48
00409375,72,4
00411868,148,30
00443409,90,11
00461520,401,30
00462772,172,31
00470767,428,24
00472328,298,9
00472352,388,3
00472662,270,31
00472891,499,40
00483486,240,37
00485705,50,36
00485772,37,24
00498637,144,31
0065860X,210,6
00665126,337,2
0075417X,277,20
00792993,427,28
0079726X,42,11
00797308,57,4
00812463,416,15
00846724,71,6
00902616,225,49
00904392,302,30
00904848,108,38
00904996,181,2
0090502X,369,15
00905550,223,11
00906905,484,8
00910562,44,26
00910627,458,45
00914150,236,44
00918369,110,5
0092623X,440,6
00926566,471,26
00932213,140,4
00938548,266,19
0093934X,14,20
0093934x,227,33
0094730X,264,20
00952990,407,49
00957984,368,12
0096140X,292,47
00961523,402,1
00963445,216,26
0096882X,24,14
00977403,355,38
00986283,51,37
00989258,389,11
01014838,470,36
01023772,188,13
01027182,72,43
01027972,361,3
0103166X,240,33
01035665,250,6
01036564,61,10
0103863X,105,5
01062301,397,23
0112109X,231,10
01200534,494,44
01217550,240,13
01401971,152,2
0140525X,180,20
01410423,38,1
01427164,45,37
01430343,22,9
01443410,169,17
01446657,336,9
01446665,196,11
0144686X,252,15
0144929X,95,24
01452134,293,38
01454455,75,35
01461672,179,30
01466216,54,31
01467239,71,49
01468693,450,5
01471767,143,44
01475916,293,14
01497189,37,11
01497634,117,9
01560417,53,34
01602896,295,35
01607715,455,35
01614576,340,1
0161956X,137,40
01623257,357,22
0162895X,482,29
01634445,240,8
01636383,199,11
01639625,234,41
01639641,394,37
01640275,386,14
01650254,292,30
01650327,455,35
01650653,130,21
01654896,125,37
01664115,470,5
0167482X,242,19
01674870,268,14
01678760,368,26
01679236,207,4
01679457,465,25
01688634,420,45
01690965,146,42
01691015,327,25
0175758X,174,18
01764268,234,40
01787667,316,8
01853325,243,39
01888145,161,14
01902725,472,32
01907409,324,38
