Journal,Publications,Authors
',112,16
00012343,445,31
0001253X,358,42
00012610,280,10
00012793,116,32
00014575,81,34
00015210,198,9
00015687,30,17
00015830,112,11
00016446,131,32
00016810,476,10
00016993,340,17
00018368,468,4
00018392,97,48
00018449,382,47
00018791,109,25
00019593,369,21
00019720,161,37
00019887,140,38
00019909,159,49
00020184,318,1
00020206,267,25
00020397,353,36
00020478,423,17
00024805,303,41
00025968,395,24
00027162,201,2
0002726X,453,40
00027294,286,15
00027316,170,32
00027642,469,39
00027685,323,6
00028312,262,47
00028762,245,23
00029114,354,39
0002919X,58,17
00029246,484,34
00029300,68,41
00029319,179,29
00029459,485,9
00029475,197,13
00029483,473,6
00029602,280,6
00030279,199,20
00030554,455,3
00030678,184,17
0003097X,60,12
00031186,373,48
00031224,64,47
00031232,253,45
00031283,329,1
00031615,140,17
00032468,494,3
00032573,316,26
00034010,144,15
00034304,30,36
00035459,338,32
00035483,176,32
00035491,283,4
00035521,397,18
00035548,98,49
00035815,325,19
0003598X,23,43
0003603X,251,35
00036293,274,40
00036870,355,14
00037877,62,33
00038032,395,14
00038105,349,34
0003813X,101,4
00038970,376,24
00039756,453,29
00039837,464,19
00040177,437,6
00040207,273,33
00040894,440,49
00040975,44,40
00043702,429,5
00044687,59,27
00045322,369,16
00045608,397,6
00049182,399,13
00049190,63,48
00049441,115,35
00049468,269,19
00049522,319,12
00049913,486,16
00050601,200,43
00058076,227,25
0006128X,53,20
00062006,171,31
00062294,211,4
00067237,493,23
00070955,279,2
00070998,360,22
00071013,313,37
00071234,280,8
00071315,465,7
00074217,224,3
00074640,261,16
0007473X,199,19
00074918,305,18
00076503,222,16
00076899,217,8
00077712,246,33
00077720,347,49
00078069,376,12
00079766,62,11
00079871,289,5
00080055,419,27
00080276,226,12
00083496,197,6
00083658,389,33
00083968,50,5
00084131,166,28
00084239,24,14
00084506,310,5
00084840,74,33
00084948,354,48
00085006,336,41
00085111,18,19
00087750,353,22
00089192,138,5
00093920,481,30
00094056,72,47
00094455,148,39
00096067,401,33
0009837X,428,20
00100277,298,7
00100285,388,15
00101931,499,14
00102601,240,23
00103381,50,19
00103802,144,20
00103853,210,29
00104086,337,24
00104132,277,18
00104140,427,10
00104175,42,41
00104817,57,8
00108367,416,26
00108812,71,29
00108847,225,10
00111384,108,2
00111562,181,6
00111570,369,5
00111600,223,28
00113131,484,41
00113204,44,5
00113921,458,18
00115258,236,26
00115266,110,20
00118265,440,41
00119741,471,49
00120413,140,27
00120936,266,49
00121533,14,12
0012155X,227,7
00121649,264,3
00123846,407,10
00124508,292,25
00126837,402,35
00128449,216,16
00129976,24,2
00129984,355,24
00130079,51,10
00130095,389,38
00130567,470,22
00131644,72,43
00131857,361,39
00131881,240,27
0013189X,250,29
00131911,61,47
00131954,105,38
00132004,397,20
00132586,231,27
00136662,416,20
00137545,240,44
0013791X,246,19
0013838X,152,20
00139572,180,35
00139696,38,47
00139998,45,2
00140015,22,30
00140139,169,34
00140481,336,22
00140759,196,3
00141496,252,6
00141801,293,27
00141836,75,10
00141844,179,9
0014200X,54,33
00142182,71,32
00143006,450,48
00143138,143,6
00144940,293,41
00145858,37,36
00146242,117,2
00147370,349,4
00150010,455,19
00155403,340,26
0015587X,137,25
00156191,357,10
0015704X,482,15
00157120,240,22
0015718X,199,48
00157228,234,21
00157813,394,22
00158518,386,36
00159409,292,34
0016-7312,455,30
0016111X,130,25
00161128,125,45
00163287,470,28
00165492,242,1
00165522,268,49
00166987,368,45
00167185,207,4
00167193,465,7
00167223,420,49
00167282,146,9
00167312,327,36
00167363,174,19
00167398,234,1
00167428,316,10
00167460,243,36
00167479,181,9
00167487,161,45
00168890,169,32
00169161,105,6
00169862,481,48
00171298,242,38
0017257X,189,17
00173916,122,10
00178063,327,27
00178969,61,21
00180777,277,25
0018098X,304,28
00181005,395,47
00181560,396,15
00182168,122,4
00182257,110,29
00182680,122,9
00184306,449,27
0018439X,90,26
0018442X,196,19
00187208,122,28
00187259,11,17
00187267,139,43
00189359,229,41
00189448,63,42
00189855,352,20
0019042X,494,45
0019042x,233,40
00190829,234,39
00190993,394,49
00194646,135,47
00196665,139,32
00197246,62,47
00197262,181,33
00197289,227,46
00197858,169,5
00202754,256,34
00204277,333,40
0020577X,448,11
00205850,212,3
00205893,193,33
00207020,132,11
00207071,410,16
00207152,264,18
00207187,303,30
00207209,289,48
00207233,334,10
00207276,381,18
0020739X,107,38
00207438,207,19
00207810,479,36
00207837,404,13
00207985,249,46
00208442,106,10
00208523,210,38
00208566,133,1
00208590,196,27
00208701,335,46
0020871X,473,8
00208728,358,46
00208833,268,42
00210862,157,17
00210870,261,9
00210889,452,6
00211818,429,43
00212059,412,25
00212237,355,39
00214027,157,33
00214922,361,37
00215597,208,9
00216682,317,18
00216704,498,21
00216941,426,2
0021762X,433,43
00218499,137,38
00218510,48,40
00218553,347,36
00218715,369,43
00218758,138,37
00218855,276,15
00219096,485,28
00219118,450,18
00219266,482,34
00219320,443,22
00219371,424,13
00219495,487,4
00219576,307,22
00219584,108,7
0021969X,272,43
00219886,261,24
00219916,153,4
00219924,355,28
00220027,121,15
00220078,69,1
00220094,378,3
00220175,11,14
00220221,394,38
00220256,313,1
00220272,263,38
00220337,149,38
00220388,462,21
00220418,46,48
00220426,169,29
00220485,18,5
00220620,242,49
00220655,108,10
00220663,156,28
00220671,313,21
00220973,217,7
00221031,140,3
00221309,413,45
00221325,161,47
00221341,63,20
00221678,129,19
00221791,170,35
00222097,417,4
0022216X,125,5
00222186,84,1
00222194,122,4
00222208,465,12
00222216,429,27
00222267,431,42
00222445,349,25
0022250X,263,21
00222623,236,24
0022278X,121,25
00222968,482,45
00223344,108,46
00223433,162,32
00223514,358,32
00223816,411,5
00223980,393,36
00224146,375,46
00224308,203,49
00224391,319,42
00224405,172,39
00224480,217,16
00224499,454,33
00224529,178,49
00224537,493,21
00224634,170,9
00224669,77,6
00224871,298,45
00224995,407,35
00225258,286,39
00225266,313,22
00225363,413,41
00227498,393,5
00231940,401,42
00232653,144,23
00233919,204,17
00238309,137,23
00238333,42,16
00238368,185,3
00238791,469,30
00238856,452,22
00239186,380,9
00239216,479,29
00239690,384,47
00239909,31,37
00242020,247,23
00242160,167,13
00242535,47,32
00242594,239,46
00242667,374,47
00243841,60,48
00243892,447,23
00243922,273,45
00243949,292,17
00244457,36,40
00246301,235,21
00246859,286,2
00249521,295,37
00251003,293,44
00251534,376,18
00251569,457,30
00252344,490,22
00255742,462,33
00258024,313,17
00258296,156,43
00258385,13,32
00260452,44,42
00262234,201,14
00263141,58,10
00263206,26,47
00264695,229,34
0026637X,486,42
00267074,55,28
0026749X,382,11
00267503,15,14
00267902,108,39
00267910,389,47
00267937,242,19
00267961,46,15
00268232,289,28
00269301,358,24
00270520,311,8
00272671,104,9
00272841,108,47
00274909,490,33
0027514X,125,19
00277738,200,3
00280844,425,47
00282677,480,42
00283754,265,29
00286060,332,34
00286583,137,13
00287504,27,1
00288144,290,34
00288276,499,29
00291951,63,47
00293571,67,13
00293970,332,48
00294586,369,49
00297054,183,29
00298077,289,39
00298115,123,24
00299138,297,26
00302228,440,17
00304387,351,7
00305227,160,13
00305278,459,5
00305375,136,26
00305472,164,49
00306428,499,3
00308129,395,7
0030851X,483,49
00309230,282,39
00309729,113,1
00310328,426,49
00311294,402,17
00311723,308,43
00312290,255,25
00312746,185,3
0031322X,48,15
00313831,486,29
00314773,179,43
00317217,256,32
00317977,35,26
00317985,364,16
00318388,315,25
00319120,418,28
0031921X,417,9
00320714,325,29
00322474,400,22
00322687,322,16
00323179,45,41
00323195,182,44
00323217,29,41
00323233,330,7
00323292,273,14
0032342X,409,29
00323470,151,19
00323497,469,19
00324000,380,2
0032423X,480,41
