Journal,Publications,Authors
00014192,112,32
0001706X,445,32
00017213,358,24
00029645,280,41
00031488,116,49
00034118,81,49
00034193,198,12
00039098,30,39
00039438,112,2
00050423,131,3
00052086,476,49
00059366,224,37
00071935,340,49
00083984,468,17
00084050,97,49
00085286,382,2
00219975,369,28
00222585,161,23
00224510,140,37
00232076,159,32
00236764,318,33
00236772,267,1
0025004X,353,19
00258628,423,2
00302465,303,44
0032681X,395,26
00345288,201,32
00351555,453,6
00351865,286,32
00367281,170,4
00401889,323,17
00407453,31,38
00424870,262,24
00424900,245,5
0043535X,354,34
00443255,58,6
00443565,484,22
00443581,68,11
0044605X,485,16
00471917,197,33
00472565,473,9
00480169,280,6
00493864,199,16
00494747,455,29
00651699,184,3
0093691X,455,20
0093691x,60,36
00937355,373,19
01002430,64,26
0100736X,253,3
01020935,329,19
0103846X,140,20
01038478,494,32
01080288,316,7
01200690,144,41
01256491,30,33
01256726,338,40
01407775,176,39
01407783,283,18
01456296,397,40
01479571,98,1
01613499,325,11
01628941,23,28
01652176,251,25
01652427,274,23
01657380,355,31
01675877,62,30
01681591,395,42
01770543,349,35
01777726,101,7
01874640,376,16
01931903,453,26
01955616,464,48
02128292,437,49
02366290,273,2
02538318,440,1
02539411,44,48
0263841X,215,12
0264410X,90,5
0269283X,429,37
02756382,59,32
03009858,369,9
0301486X,397,41
03016226,11,35
0301732X,399,19
03039021,63,48
03044017,115,16
03079457,269,3
0310138X,319,20
03349152,486,24
03354997,200,33
03402096,411,24
03416593,227,11
03507149,53,49
03653439,171,8
03676722,211,36
03678318,455,38
03680762,493,40
03725480,279,20
03751325,360,35
03758427,313,48
03781135,280,25
03784320,465,35
03943151,471,25
04251644,224,29
0505401X,261,18
05678315,199,46
05872871,305,18
07198000,222,2
07370806,217,35
07397240,246,16
0748321X,347,41
07490720,376,36
07490739,62,33
07542186,289,4
07581882,419,33
07982259,226,14
08309000,261,21
08604037,197,48
08820511,389,20
08916640,50,8
08927936,166,7
08987564,24,3
09013393,310,17
09064702,74,33
09167250,354,48
09214488,336,12
09284249,18,22
09311793,353,22
0931184X,138,46
09312439,145,30
09312668,481,38
09320113,72,38
09320814,148,45
09398600,90,8
09577734,401,27
09594493,172,27
09627286,428,34
09712119,298,21
09716157,270,33
09728988,499,28
10199128,240,47
10406387,50,33
10427260,37,5
1055937X,144,48
10576614,210,19
10588183,337,4
10600558,277,35
10631119,427,49
10712232,42,17
10826742,57,44
10888705,416,28
10900233,71,30
10949194,225,29
1098612X,302,46
11205776,108,6
11244593,181,35
11261668,369,41
1229845X,223,37
1252607X,484,24
13000128,44,29
13000861,458,49
13006045,236,46
13100351,110,31
13411357,440,35
13922130,471,33
14137054,266,32
14139596,14,23
14341239,407,18
14635216,292,42
14672987,402,31
14765810,216,3
14793261,24,40
15051773,355,46
15283593,389,32
15320820,470,47
1537209X,188,22
15422666,72,23
15473317,361,2
15574555,240,27
15575063,250,42
15587878,61,2
15804003,105,26
16073894,397,17
16129199,231,40
16423402,494,33
16615751,416,9
16731581,246,48
16780345,152,39
16805593,180,29
16823419,38,42
16828356,45,26
16839919,22,35
16996887,169,25
17281997,196,13
1745039X,252,7
17552540,95,36
17602734,293,45
17624215,75,20
17674417,179,1
17922720,54,8
18069614,71,46
18119743,450,16
18209955,143,14
18631959,293,12
18651674,37,23
18711413,117,15
19389736,53,28
19408307,349,34
19926197,295,2
19998732,455,32
20071124,340,23
20088140,137,22
20906269,482,22
20907001,240,22
20953119,199,49
20957505,234,42
20965451,394,6
21606056,386,15
21658102,292,43
22145672,455,37
22264485,130,33
23093331,242,44
23144599,268,5
23223553,368,39
23992050,207,4
24056545,465,6
24210684,420,45
24507393,327,30
24555673,174,47
24664812,234,35
25092715,316,40
25901389,243,16
26720191,181,13
27377466,161,42
87507943,383,17
