Journal,Publications,Authors
00012351,112,5
00015202,445,22
00015288,358,31
00015296,280,3
0001530X,116,30
00015342,81,21
00015504,198,35
00016454,30,6
00016594,112,28
00016977,131,32
00017051,476,42
0001706X,224,37
00017272,340,25
00017302,468,32
00018244,97,35
00021121,382,22
00021369,109,24
00021466,369,39
00021482,161,30
00021857,140,32
00021962,159,31
00024619,318,23
00025852,267,40
00027014,353,33
00027626,423,25
00027685,303,36
00028223,395,24
00028320,201,31
00028444,453,39
00028487,286,46
00029092,170,13
00029122,469,10
00029254,323,23
00030147,31,18
00030589,262,32
00031062,245,33
00031569,354,36
0003276X,58,28
00032786,484,16
00033472,68,16
00033480,179,18
00033561,485,8
00033847,197,42
00034088,473,16
0003424X,280,11
00034312,199,6
00034339,455,1
00034541,184,12
0003455X,455,38
00034746,60,28
00035017,373,45
00035548,64,17
00036862,253,1
00039098,329,32
00039136,140,8
0003925X,494,40
00039365,316,43
0003942X,144,46
00039438,30,24
00039623,338,10
00040592,176,47
00040843,283,39
00048038,397,39
00049158,98,10
00049409,325,36
00049417,23,25
00049433,251,10
00049573,274,19
0004959X,355,46
00052086,62,45
0005772X,395,15
00057940,349,16
00057959,101,2
00059080,376,29
00062928,453,4
00063088,464,29
00063134,437,31
00063185,273,17
00063207,440,10
00063231,44,27
0006324X,215,41
00063347,90,15
0006341X,429,44
00063444,59,31
00063517,369,21
00063568,397,41
00063606,11,46
00063657,399,45
00065196,63,26
00065471,115,38
0006579X,269,36
00068055,319,17
0006808X,486,3
00068101,200,14
00068241,411,49
00068705,227,13
00070335,53,41
0007070X,171,27
00071595,211,1
00071617,455,17
00071668,493,48
0007196X,279,34
00072745,360,14
00074853,313,17
00074977,280,3
00074985,465,34
00075922,471,40
00079510,261,2
00079723,199,34
00080845,305,26
0008347X,222,31
00083550,217,9
00083976,246,30
00083984,347,20
00084026,376,21
00084093,62,29
00084220,289,25
00084271,419,38
00084301,226,44
00087114,261,25
00087475,197,9
00090352,389,39
00093130,50,44
00098604,166,26
0010065X,24,37
00100730,310,16
00103624,74,37
00105422,354,12
0011183X,336,24
0011216X,18,26
00112240,353,20
00114529,138,9
00114545,145,23
00120413,481,39
00124966,72,29
00126772,148,31
00129615,90,19
00129658,401,20
00130001,172,23
00138703,428,43
00138711,298,27
0013872X,388,30
00138738,270,21
00138746,499,44
00138797,240,35
00138878,50,49
00138894,37,7
00138959,144,22
00140309,210,10
00142182,337,23
00142336,277,15
00143065,427,30
00143820,42,34
00144797,57,13
00148962,416,4
00150010,71,18
00153826,225,23
00154040,302,33
00154725,108,34
00155713,181,34
00156426,369,36
00157473,223,35
0015749X,484,17
0015752X,44,28
00157546,458,14
00158003,236,34
0015931X,110,48
00165301,440,11
00166480,471,13
00166707,140,33
00167061,266,2
00170070,14,34
00172294,227,29
00173134,264,37
00173495,407,4
00180831,368,12
0018084X,292,26
00183768,402,28
0018456X,216,3
00185345,24,20
00187143,355,10
00188158,51,18
00191019,389,27
0019638X,470,31
0019901X,188,27
00201812,72,42
00203203,361,1
00207322,240,6
00208841,250,11
00209309,61,34
0021213X,105,39
00212210,397,20
00213551,231,21
00215007,494,21
00215090,416,18
00215104,240,21
00215392,246,19
00218375,152,4
00218561,180,13
0021857X,38,18
00218588,45,29
00218596,22,25
00218634,169,13
00218782,336,27
00218790,196,19
00218812,252,49
00218839,95,1
00219266,293,38
00220019,75,19
00220299,179,1
00220302,54,40
00220477,71,17
00220493,450,21
00220930,143,22
00220949,293,15
00220957,37,39
00220981,117,48
0022104X,53,39
00221112,349,32
00221147,295,49
00221155,455,4
00221201,340,44
0022149X,137,45
0022149x,357,32
00221511,482,4
00221589,240,1
00221910,199,33
00221945,234,7
00222011,394,9
00222062,386,1
00222372,292,16
00222585,455,18
00222844,130,47
00222933,125,6
0022300X,470,2
00223395,242,9
00223646,268,4
0022409X,368,45
00224561,207,23
00224588,465,43
0022474X,420,45
00224901,146,43
00225010,327,8
00225142,174,39
00225193,234,25
0022538X,316,16
0022541X,243,35
00228567,181,17
00231347,161,18
00233374,472,27
00236152,324,15
00236438,383,17
00236764,169,43
00236772,105,5
00237302,481,16
00240966,242,15
00241148,189,42
00241164,122,46
00242829,327,34
00243590,451,48
00243620,61,19
00244066,277,8
00244074,304,47
00244082,395,10
00251291,396,5
00251461,122,48
00253154,110,26
00253162,122,22
0025326X,449,44
0025326x,90,23
00255270,196,13
00255564,122,9
00256153,11,49
